row_id,dataset,molecule_index,component_split,parent_atoms,maskable_atom_fraction,mask_id,mask_atoms,mask_size,valid_unique_mutants,local_supported_mutants,absolute_in_domain_mutants,covered,failure
CHEMBL1862_Ki:141,CHEMBL1862_Ki,141,calibration,33,0.6666666666666666,3,[18],1,8,8,1,True,
CHEMBL1862_Ki:141,CHEMBL1862_Ki,141,calibration,33,0.6666666666666666,4,[19],1,8,8,0,True,
CHEMBL1862_Ki:141,CHEMBL1862_Ki,141,calibration,33,0.6666666666666666,5,[25],1,7,7,6,True,
CHEMBL1862_Ki:141,CHEMBL1862_Ki,141,calibration,33,0.6666666666666666,6,[28],1,8,8,8,True,
CHEMBL1862_Ki:141,CHEMBL1862_Ki,141,calibration,33,0.6666666666666666,7,[29],1,8,8,8,True,
CHEMBL1862_Ki:141,CHEMBL1862_Ki,141,calibration,33,0.6666666666666666,8,"[26, 27]",2,7,7,7,True,
CHEMBL1862_Ki:141,CHEMBL1862_Ki,141,calibration,33,0.6666666666666666,9,"[5, 6, 8, 9, 10, 11]",6,6,6,1,True,
CHEMBL1862_Ki:141,CHEMBL1862_Ki,141,calibration,33,0.6666666666666666,10,"[20, 21, 22, 23, 24, 30]",6,8,8,2,True,
CHEMBL1862_Ki:143,CHEMBL1862_Ki,143,calibration,29,0.6206896551724138,0,[0],1,7,7,4,True,
CHEMBL1862_Ki:143,CHEMBL1862_Ki,143,calibration,29,0.6206896551724138,1,[1],1,8,8,7,True,
CHEMBL1862_Ki:143,CHEMBL1862_Ki,143,calibration,29,0.6206896551724138,2,[7],1,8,8,1,True,
CHEMBL1862_Ki:143,CHEMBL1862_Ki,143,calibration,29,0.6206896551724138,3,[16],1,8,8,0,True,
CHEMBL1862_Ki:143,CHEMBL1862_Ki,143,calibration,29,0.6206896551724138,4,[21],1,8,8,0,True,
CHEMBL1862_Ki:143,CHEMBL1862_Ki,143,calibration,29,0.6206896551724138,5,[25],1,8,8,0,True,
CHEMBL1862_Ki:143,CHEMBL1862_Ki,143,calibration,29,0.6206896551724138,6,"[2, 3, 4, 5, 6, 28]",6,7,7,2,True,
CHEMBL1862_Ki:143,CHEMBL1862_Ki,143,calibration,29,0.6206896551724138,7,"[14, 15, 17, 18, 19, 20]",6,8,8,0,True,
CHEMBL1862_Ki:144,CHEMBL1862_Ki,144,test,28,0.6071428571428571,0,[0],1,8,8,0,True,
CHEMBL1862_Ki:144,CHEMBL1862_Ki,144,test,28,0.6071428571428571,1,[7],1,8,8,0,True,
CHEMBL1862_Ki:144,CHEMBL1862_Ki,144,test,28,0.6071428571428571,2,[12],1,8,8,0,True,
CHEMBL1862_Ki:144,CHEMBL1862_Ki,144,test,28,0.6071428571428571,3,[18],1,8,7,0,True,
CHEMBL1862_Ki:144,CHEMBL1862_Ki,144,test,28,0.6071428571428571,4,[24],1,8,8,6,True,
CHEMBL1862_Ki:144,CHEMBL1862_Ki,144,test,28,0.6071428571428571,5,"[5, 6, 8, 9, 10, 11]",6,5,5,0,True,
CHEMBL1862_Ki:144,CHEMBL1862_Ki,144,test,28,0.6071428571428571,6,"[19, 20, 21, 22, 23, 25]",6,8,7,2,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,0,[0],1,8,8,0,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,1,[7],1,8,8,0,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,2,[12],1,8,8,0,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,3,[18],1,8,8,0,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,4,[24],1,7,7,1,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,5,[27],1,8,8,0,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,6,[28],1,8,8,2,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,7,"[25, 26]",2,8,8,0,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,8,"[5, 6, 8, 9, 10, 11]",6,7,7,0,True,
CHEMBL1862_Ki:145,CHEMBL1862_Ki,145,calibration,32,0.65625,9,"[19, 20, 21, 22, 23, 29]",6,8,8,0,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,0,[0],1,7,7,6,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,1,[1],1,8,8,0,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,2,[5],1,8,8,0,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,3,[11],1,8,8,8,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,4,[17],1,2,2,1,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,5,[18],1,8,8,6,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,6,[19],1,8,8,8,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,7,"[6, 7, 8, 9, 10, 12]",6,8,7,3,True,
CHEMBL1862_Ki:163,CHEMBL1862_Ki,163,test,28,0.6785714285714286,8,"[20, 21, 22, 23, 24, 25]",6,8,8,8,True,
CHEMBL1862_Ki:164,CHEMBL1862_Ki,164,calibration,26,0.6538461538461539,0,[0],1,8,8,1,True,
CHEMBL1862_Ki:164,CHEMBL1862_Ki,164,calibration,26,0.6538461538461539,1,[6],1,8,8,0,True,
CHEMBL1862_Ki:164,CHEMBL1862_Ki,164,calibration,26,0.6538461538461539,2,[7],1,8,7,0,True,
CHEMBL1862_Ki:164,CHEMBL1862_Ki,164,calibration,26,0.6538461538461539,3,[17],1,8,8,5,True,
CHEMBL1862_Ki:164,CHEMBL1862_Ki,164,calibration,26,0.6538461538461539,4,[18],1,8,8,8,True,
CHEMBL1862_Ki:164,CHEMBL1862_Ki,164,calibration,26,0.6538461538461539,5,"[1, 2, 3, 4, 5, 25]",6,8,6,1,True,
CHEMBL1862_Ki:164,CHEMBL1862_Ki,164,calibration,26,0.6538461538461539,6,"[19, 20, 21, 22, 23, 24]",6,8,8,5,True,
CHEMBL1862_Ki:431,CHEMBL1862_Ki,431,test,25,0.6,0,[0],1,8,8,1,True,
CHEMBL1862_Ki:431,CHEMBL1862_Ki,431,test,25,0.6,1,[5],1,8,8,0,True,
CHEMBL1862_Ki:431,CHEMBL1862_Ki,431,test,25,0.6,2,[14],1,8,8,2,True,
CHEMBL1862_Ki:431,CHEMBL1862_Ki,431,test,25,0.6,3,[18],1,8,8,8,True,
CHEMBL1862_Ki:431,CHEMBL1862_Ki,431,test,25,0.6,4,"[15, 16]",2,6,6,5,True,
CHEMBL1862_Ki:431,CHEMBL1862_Ki,431,test,25,0.6,5,"[17, 19, 20]",3,8,8,8,True,
CHEMBL1862_Ki:431,CHEMBL1862_Ki,431,test,25,0.6,6,"[1, 2, 3, 4, 6, 7]",6,7,5,1,True,
CHEMBL1862_Ki:454,CHEMBL1862_Ki,454,calibration,27,0.6296296296296297,0,[0],1,8,8,3,True,
CHEMBL1862_Ki:454,CHEMBL1862_Ki,454,calibration,27,0.6296296296296297,1,[5],1,8,8,4,True,
CHEMBL1862_Ki:454,CHEMBL1862_Ki,454,calibration,27,0.6296296296296297,2,[14],1,8,8,1,True,
CHEMBL1862_Ki:454,CHEMBL1862_Ki,454,calibration,27,0.6296296296296297,3,"[15, 16]",2,8,6,6,True,
CHEMBL1862_Ki:454,CHEMBL1862_Ki,454,calibration,27,0.6296296296296297,4,"[1, 2, 3, 4, 6, 7]",6,8,5,4,True,
CHEMBL1862_Ki:454,CHEMBL1862_Ki,454,calibration,27,0.6296296296296297,5,"[17, 18, 19, 20, 21, 22]",6,8,6,8,True,
CHEMBL1862_Ki:455,CHEMBL1862_Ki,455,calibration,28,0.6428571428571429,0,[0],1,8,8,8,True,
CHEMBL1862_Ki:455,CHEMBL1862_Ki,455,calibration,28,0.6428571428571429,1,[5],1,8,8,8,True,
CHEMBL1862_Ki:455,CHEMBL1862_Ki,455,calibration,28,0.6428571428571429,2,[14],1,8,8,0,True,
CHEMBL1862_Ki:455,CHEMBL1862_Ki,455,calibration,28,0.6428571428571429,3,[23],1,8,8,8,True,
CHEMBL1862_Ki:455,CHEMBL1862_Ki,455,calibration,28,0.6428571428571429,4,"[15, 16]",2,8,4,4,True,
