dataset,row_id,component_split,mask_id,scored_mutants,fallback_mutants,any_unimol_2d_fallback
CHEMBL233_Ki,CHEMBL233_Ki:775,calibration,7,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:775,calibration,8,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:775,calibration,9,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:775,calibration,10,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:775,calibration,11,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,0,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,1,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,2,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,3,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,4,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,5,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,6,2,2,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,7,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,8,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,9,4,4,True
CHEMBL233_Ki,CHEMBL233_Ki:778,calibration,11,3,3,True
CHEMBL236_Ki,CHEMBL236_Ki:2040,test,11,4,1,True
CHEMBL236_Ki,CHEMBL236_Ki:2040,test,12,4,1,True
CHEMBL236_Ki,CHEMBL236_Ki:2040,test,25,4,1,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,0,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,1,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,2,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,3,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,4,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,5,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,6,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,7,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,8,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,9,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:915,test,10,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,0,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,1,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,2,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,3,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,4,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,5,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,6,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,7,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,8,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,9,4,4,True
CHEMBL236_Ki,CHEMBL236_Ki:930,test,10,4,4,True
CHEMBL237_EC50,CHEMBL237_EC50:821,test,0,4,1,True
CHEMBL237_EC50,CHEMBL237_EC50:821,test,2,4,1,True
CHEMBL237_Ki,CHEMBL237_Ki:1313,calibration,0,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1313,calibration,1,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1313,calibration,2,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1313,calibration,3,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1313,calibration,4,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1313,calibration,5,2,2,True
CHEMBL237_Ki,CHEMBL237_Ki:1313,calibration,7,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1315,calibration,0,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1315,calibration,1,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1315,calibration,2,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1315,calibration,3,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1315,calibration,4,4,4,True
CHEMBL237_Ki,CHEMBL237_Ki:1315,calibration,5,2,2,True
CHEMBL237_Ki,CHEMBL237_Ki:1315,calibration,7,4,4,True
CHEMBL238_Ki,CHEMBL238_Ki:221,test,0,4,4,True
CHEMBL238_Ki,CHEMBL238_Ki:221,test,1,4,4,True
CHEMBL238_Ki,CHEMBL238_Ki:221,test,2,4,4,True
CHEMBL238_Ki,CHEMBL238_Ki:221,test,3,4,4,True
CHEMBL238_Ki,CHEMBL238_Ki:221,test,4,4,4,True
CHEMBL238_Ki,CHEMBL238_Ki:221,test,5,1,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3013,test,2,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3013,test,5,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3013,test,11,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3013,test,13,4,2,True
CHEMBL244_Ki,CHEMBL244_Ki:3013,test,15,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3013,test,16,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3013,test,18,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,0,4,2,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,1,4,4,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,2,4,3,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,3,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,5,4,3,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,6,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,7,4,2,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,8,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,9,4,2,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,10,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,11,4,3,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,12,4,3,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,13,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,14,4,1,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,15,4,2,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,16,4,2,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,17,4,4,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,18,4,3,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,19,4,4,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,20,4,3,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,21,4,3,True
CHEMBL244_Ki,CHEMBL244_Ki:3019,test,22,4,1,True
CHEMBL287_Ki,CHEMBL287_Ki:402,test,3,4,1,True
