dataset,median_changed_support,median_unchanged_support,median_support_gap,pairs
CHEMBL1862_Ki,0.8452380952380952,0.5675057208237986,0.3014593748421956,8
CHEMBL1871_Ki,0.5,0.38235294117647056,0.08333333333333331,11
CHEMBL2034_Ki,0.7147435897435898,0.36397058823529416,0.22962454212454214,12
CHEMBL2047_EC50,0.9230769230769231,0.8041125541125541,0.04700854700854701,10
CHEMBL204_Ki,1.0,0.75,0.032258064516129004,47
CHEMBL2147_Ki,1.0,0.625,0.1125356125356125,13
CHEMBL218_EC50,0.8596059113300492,0.6729411764705883,0.14983579638752048,20
CHEMBL219_Ki,0.5147058823529411,0.5811688311688312,-0.027368464868464875,34
CHEMBL228_Ki,0.7727272727272727,0.5,0.27999999999999997,31
CHEMBL231_Ki,1.0,0.8863636363636364,0.0,15
CHEMBL233_Ki,1.0,0.5165031222123104,0.2779761904761905,46
CHEMBL236_Ki,0.8,0.4166666666666667,0.19047619047619047,37
CHEMBL237_EC50,0.8285714285714285,0.3208333333333333,0.47916666666666663,18
CHEMBL237_Ki,1.0,0.44655797101449274,0.3283359722038967,40
CHEMBL238_Ki,0.8421052631578947,0.5714285714285714,0.1785714285714286,19
CHEMBL239_EC50,1.0,0.9074074074074074,0.0,33
CHEMBL244_Ki,1.0,0.8413690476190476,0.0,52
CHEMBL262_Ki,0.625,0.631578947368421,0.0,13
CHEMBL264_Ki,0.7638888888888888,0.7272727272727273,0.017441860465116255,46
CHEMBL2835_Ki,0.8333333333333334,0.3684210526315789,0.3944099378881988,5
CHEMBL287_Ki,0.8395833333333333,0.6111111111111112,0.14619883040935666,26
CHEMBL2971_Ki,0.8,0.5813953488372093,0.28421052631578947,11
CHEMBL3979_EC50,1.0,0.8421052631578947,0.0,17
CHEMBL4005_Ki,0.75,0.5121951219512195,0.2155172413793104,17
CHEMBL4203_Ki,0.5192307692307692,0.7136363636363636,-0.1944055944055944,6
CHEMBL4616_EC50,0.8181818181818182,0.6538461538461539,0.12852664576802508,9
CHEMBL4792_Ki,1.0,0.7,0.18867924528301883,21
