dataset,component_id,atoms,positive_atoms,prevalence,replicates,mean_random_ap,median_random_ap,random_ap_ci95_low,random_ap_ci95_high,mean_random_nap,median_random_nap,random_nap_ci95_low,random_nap_ci95_high
CHEMBL1862_Ki,3,58,12,0.20689655172413793,100,0.260738009714044,0.2418027160567578,0.15757782358031286,0.47260222474862434,0.06788705572640323,0.04401212024547724,-0.06218448331177942,0.3350201964221785
CHEMBL1862_Ki,8,41,13,0.3170731707317073,100,0.3629269692888716,0.35235825889181493,0.24922412496218796,0.5068244603611975,0.0671430621729906,0.05166745052015762,-0.09935038844822477,0.27785010267175353
CHEMBL1862_Ki,9,57,19,0.3333333333333333,100,0.37359897738386705,0.3700006370348652,0.27231679603985015,0.5012089648622495,0.060398466075800634,0.0550009555522978,-0.09152480594022473,0.2518134472933743
CHEMBL1862_Ki,10,56,15,0.26785714285714285,100,0.3252830024438535,0.3204066755866509,0.21437431130947632,0.4815935780695416,0.07843532041111696,0.07177497153298659,-0.07304972113827622,0.29193269199742267
CHEMBL1862_Ki,19,49,13,0.2653061224489796,100,0.31123681550131577,0.3043429850104915,0.21635823558725115,0.46848002579338166,0.06251677665456873,0.0531335073753912,-0.0666235126729082,0.27654225732988064
CHEMBL1862_Ki,22,58,22,0.3793103448275862,100,0.4155271973775754,0.42134037629288434,0.31769995022620456,0.5507912378969616,0.058349373552760354,0.06771505069409148,-0.09926119130222591,0.27627477216732704
CHEMBL1862_Ki,25,52,46,0.8846153846153846,100,0.8934115534282004,0.8953051498674616,0.8022845252065077,0.960722342852755,0.07623346304440597,0.09264463218466673,-0.713534114876933,0.6595936380572107
CHEMBL1862_Ki,27,60,14,0.23333333333333334,100,0.27008318164262346,0.25195095935074874,0.17934721070465626,0.4180488114786144,0.04793458475124797,0.024283860022715705,-0.07041668168957879,0.24093323236341008
CHEMBL1871_Ki,1,54,12,0.2222222222222222,100,0.2715883731855348,0.25853484117568004,0.18514692064794727,0.43964699971374377,0.06347076552425907,0.046687652940160106,-0.04766824488121062,0.2795461424890991
CHEMBL1871_Ki,6,46,12,0.2608695652173913,100,0.33496352921030864,0.3116395312108238,0.21061852935264794,0.5786296939462898,0.10024477481394709,0.06868877752052632,-0.06798669558171158,0.42991076239792164
CHEMBL1871_Ki,9,41,9,0.21951219512195122,100,0.2584058534626968,0.24487452824600042,0.1603225312164455,0.4511110238895564,0.049832499749080286,0.032495489315188045,-0.0758367568789292,0.29673599935849404
CHEMBL1871_Ki,12,66,17,0.25757575757575757,100,0.3138741108785579,0.30729298301078334,0.1982909204261828,0.4414885255635156,0.07583043506091468,0.06696605874921835,-0.07985304595657013,0.24771923851412306
