dataset,interaction,contrast,estimate
CHEMBL231_Ki,predictor_by_explainer,average_over_representations,0.002035747674111956
CHEMBL233_Ki,representation_by_predictor,molformer_vs_morgan,0.05074114111869116
CHEMBL233_Ki,representation_by_explainer,molformer_vs_morgan,0.03271328207402115
CHEMBL233_Ki,three_way,molformer_vs_morgan,0.04062956668673236
CHEMBL233_Ki,representation_by_predictor,unimol_vs_morgan,-0.03219637408768466
CHEMBL233_Ki,representation_by_explainer,unimol_vs_morgan,0.025775405025756596
CHEMBL233_Ki,three_way,unimol_vs_morgan,-0.055569845911393745
CHEMBL233_Ki,predictor_by_explainer,average_over_representations,0.029951510609806928
CHEMBL236_Ki,representation_by_predictor,molformer_vs_morgan,0.04965405039414935
CHEMBL236_Ki,representation_by_explainer,molformer_vs_morgan,0.03116229530587731
CHEMBL236_Ki,three_way,molformer_vs_morgan,0.04082404927406226
CHEMBL236_Ki,representation_by_predictor,unimol_vs_morgan,0.04600374135245345
CHEMBL236_Ki,representation_by_explainer,unimol_vs_morgan,-0.0014469957663370316
CHEMBL236_Ki,three_way,unimol_vs_morgan,0.009915225713094118
CHEMBL236_Ki,predictor_by_explainer,average_over_representations,-0.03142247290045406
CHEMBL237_EC50,representation_by_predictor,molformer_vs_morgan,-0.025996458053569767
CHEMBL237_EC50,representation_by_explainer,molformer_vs_morgan,0.10100687043543236
CHEMBL237_EC50,three_way,molformer_vs_morgan,-0.04043621231416555
CHEMBL237_EC50,representation_by_predictor,unimol_vs_morgan,-0.03383356953273324
CHEMBL237_EC50,representation_by_explainer,unimol_vs_morgan,0.014582403939568372
CHEMBL237_EC50,three_way,unimol_vs_morgan,-0.082916965040191
CHEMBL237_EC50,predictor_by_explainer,average_over_representations,-0.00971755889368993
CHEMBL237_Ki,representation_by_predictor,molformer_vs_morgan,0.007447918332922694
CHEMBL237_Ki,representation_by_explainer,molformer_vs_morgan,0.015394356368741764
CHEMBL237_Ki,three_way,molformer_vs_morgan,-0.1272422006818466
CHEMBL237_Ki,representation_by_predictor,unimol_vs_morgan,0.00917975925706685
CHEMBL237_Ki,representation_by_explainer,unimol_vs_morgan,-0.007047120990519323
CHEMBL237_Ki,three_way,unimol_vs_morgan,-0.14972098928128336
CHEMBL237_Ki,predictor_by_explainer,average_over_representations,-0.004973596001944448
CHEMBL238_Ki,representation_by_predictor,molformer_vs_morgan,0.04575477706632723
CHEMBL238_Ki,representation_by_explainer,molformer_vs_morgan,0.10232425672574827
CHEMBL238_Ki,three_way,molformer_vs_morgan,0.08575709224784892
CHEMBL238_Ki,representation_by_predictor,unimol_vs_morgan,0.10571172469456666
CHEMBL238_Ki,representation_by_explainer,unimol_vs_morgan,0.11398356960320107
CHEMBL238_Ki,three_way,unimol_vs_morgan,0.06494360237898941
CHEMBL238_Ki,predictor_by_explainer,average_over_representations,-0.06007830738050116
CHEMBL239_EC50,representation_by_predictor,molformer_vs_morgan,0.05028970267104523
