bin,pairs
"(-0.001, 0.05]",6
"(0.05, 0.1]",79
"(0.1, 0.2]",178
"(0.2, 0.3]",174
"(0.3, 0.4]",92
"(0.4, 0.5]",41
"(0.5, 0.75]",38
"(0.75, 1.0]",9
