dataset,median_trained_seed_sd,median_permuted_seed_sd,median_matched_delta_seed_sd
CHEMBL1862_Ki,0.05962414970416441,0.1250424497207463,0.1451994348776422
CHEMBL1871_Ki,0.050878801081532796,0.11411340412988519,0.13303446144974668
CHEMBL2034_Ki,0.043578329898982644,0.10734595120894035,0.12824967339054005
CHEMBL2047_EC50,0.05119691365510014,0.09958955627643923,0.12028095026819802
CHEMBL204_Ki,0.0496550404758715,0.1106390624009498,0.1297843481828565
CHEMBL2147_Ki,0.03419053630641397,0.13653088952894385,0.14889974696128333
CHEMBL218_EC50,0.07755873637276578,0.12474224908293509,0.14584935512756694
CHEMBL219_Ki,0.040229980414964395,0.09100665352950614,0.11622628025233422
CHEMBL228_Ki,0.045255637795513504,0.10092408379467334,0.12281947296093457
CHEMBL231_Ki,0.03897301053654015,0.11289347901228239,0.1302112237143202
CHEMBL233_Ki,0.0502510536113323,0.11095612859770898,0.13203958061968435
CHEMBL236_Ki,0.035420367792420374,0.10340381178518573,0.12262193218487072
CHEMBL237_EC50,0.057776027344390274,0.12549621285750895,0.16437997680238456
CHEMBL237_Ki,0.04245565615859064,0.10344653293474936,0.13441715826969453
CHEMBL238_Ki,0.048811273935223616,0.10621577589686576,0.14176697768644053
CHEMBL239_EC50,0.046285407698831896,0.09262657731305754,0.11484567236614954
CHEMBL244_Ki,0.04013586283643154,0.09799067064602549,0.11256417895016374
CHEMBL262_Ki,0.08116339986272542,0.13686428315764446,0.17691410883298608
CHEMBL264_Ki,0.05551745780400501,0.12461276726218262,0.1554951920052041
CHEMBL2835_Ki,0.04261243858437815,0.16558590867606648,0.1851860348647441
CHEMBL287_Ki,0.0461870304145217,0.12102324699523218,0.15402038473491525
CHEMBL2971_Ki,0.051991799244273565,0.12178416904467233,0.14087092644923707
CHEMBL3979_EC50,0.03489812048722188,0.0884834422813282,0.11506398845349326
CHEMBL4005_Ki,0.04712229149732149,0.13744623631971747,0.1700372233506574
CHEMBL4203_Ki,0.05097777791103067,0.11266505798524161,0.11931698423441046
CHEMBL4616_EC50,0.03924774624414411,0.12264907022991763,0.1278654037045749
CHEMBL4792_Ki,0.05590216880899672,0.14978051804388504,0.1647190701265627
