dataset,component_id,left_index,right_index,representation,predictor,explainer,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_ap,delta_nap
CHEMBL1862_Ki,3,60,126,molformer,mlp,crem_lime,0.17870861064235563,-0.0355413170161602,0.200623472565153,-0.00790953459176357,0.2068965517241379,-0.021914861922797374,-0.02763178242439663
CHEMBL1862_Ki,3,60,126,molformer,mlp,crem_mean,0.2610672529902082,0.06830218855287128,0.3091706337978553,0.12895427739729584,0.2068965517241379,-0.04810338080764709,-0.060652088844424565
CHEMBL1862_Ki,3,60,126,molformer,xgboost,crem_lime,0.2770287978062922,0.08842761462532489,0.21062338494488278,0.004699050582678333,0.2068965517241379,0.06640541286140941,0.08372856404264656
CHEMBL1862_Ki,3,60,126,molformer,xgboost,crem_mean,0.3398771143773147,0.16767114421487508,0.3186833350265405,0.14094855285955102,0.2068965517241379,0.02119377935077421,0.026722591355324066
CHEMBL1862_Ki,3,60,126,morgan,mlp,crem_lime,0.3865034304138218,0.22646084704351455,0.4621769037982182,0.32187522652818806,0.2068965517241379,-0.0756734733843964,-0.09541437948467352
CHEMBL1862_Ki,3,60,126,morgan,mlp,crem_mean,0.40196228945206175,0.24595245191781692,0.45792023875321625,0.3165081271236205,0.2068965517241379,-0.0559579493011545,-0.07055567520580355
CHEMBL1862_Ki,3,60,126,morgan,xgboost,crem_lime,0.22432925637313061,0.0219803667313387,0.2566886724325242,0.06278136958883486,0.2068965517241379,-0.032359416059393575,-0.04080100285749616
CHEMBL1862_Ki,3,60,126,morgan,xgboost,crem_mean,0.49421311157091924,0.36226870589376775,0.33900595118384297,0.16657272105788895,0.2068965517241379,0.15520716038707627,0.1956959848358788
CHEMBL1862_Ki,3,60,126,unimol,mlp,crem_lime,0.25899467452425023,0.0656889374436199,0.17307351263372414,-0.04264644059226073,0.2068965517241379,0.0859211618905261,0.10833537803588061
CHEMBL1862_Ki,3,60,126,unimol,mlp,crem_mean,0.3021164941852818,0.12005992745100742,0.29857761286376755,0.11559785969779379,0.2068965517241379,0.0035388813215142534,0.0044620677532136305
CHEMBL1862_Ki,3,60,126,unimol,xgboost,crem_lime,0.23537551571130574,0.03590825894034196,0.31794951163268553,0.1400232972759948,0.2068965517241379,-0.08257399592137979,-0.10411503833565283
CHEMBL1862_Ki,3,60,126,unimol,xgboost,crem_mean,0.33318389682348054,0.15923186990786672,0.33630405165930294,0.16316597817912107,0.2068965517241379,-0.0031201548358223974,-0.003934108271254344
CHEMBL1862_Ki,8,109,114,molformer,mlp,crem_lime,0.3517289920629388,0.05074602409216047,0.35065413942605056,0.049172132731002634,0.3170731707317073,0.0010748526368882239,0.0015738913611578337
CHEMBL1862_Ki,8,109,114,molformer,mlp,crem_mean,0.30537527464025,-0.0171290621339196,0.34635123911825594,0.04287145728030331,0.3170731707317073,-0.040975964478005944,-0.06000051941422291
CHEMBL1862_Ki,8,109,114,molformer,xgboost,crem_lime,0.48042214216116735,0.23918956530742352,0.30277662764034047,-0.0209342238123585,0.3170731707317073,0.17764551452082689,0.260123789119782
CHEMBL1862_Ki,8,109,114,molformer,xgboost,crem_mean,0.345159947038137,0.041127065305843535,0.352485409708491,0.051853635644576235,0.3170731707317073,-0.007325462670353999,-0.0107265703387327
CHEMBL1862_Ki,8,109,114,morgan,mlp,crem_lime,0.3050107026570341,-0.01766289968077143,0.5482069418329385,0.3384458791125171,0.3170731707317073,-0.24319623917590438,-0.35610877879328856
CHEMBL1862_Ki,8,109,114,morgan,mlp,crem_mean,0.33893340566801666,0.03200962972816727,0.4107853333058549,0.1372213809121447,0.3170731707317073,-0.07185192763783826,-0.10521175118397744
CHEMBL1862_Ki,8,109,114,morgan,xgboost,crem_lime,0.30561166559572583,-0.016782918234829934,0.5025742664252016,0.27162660440833103,0.3170731707317073,-0.1969626008294758,-0.28840952264316094
CHEMBL1862_Ki,8,109,114,morgan,xgboost,crem_mean,0.3817061075339641,0.09464108603187614,0.3884131691370086,0.10446214052204834,0.3170731707317073,-0.006707061603044462,-0.009821054490172204
CHEMBL1862_Ki,8,109,114,unimol,mlp,crem_lime,0.37672960223297175,0.08735406041256578,0.4375636991877985,0.17643255952499073,0.3170731707317073,-0.06083409695482678,-0.08907849911242495
CHEMBL1862_Ki,8,109,114,unimol,mlp,crem_mean,0.3581343068694034,0.06012523505876923,0.40467152228739156,0.12826901477796612,0.3170731707317073,-0.046537215417988165,-0.06814377971919688
CHEMBL1862_Ki,8,109,114,unimol,xgboost,crem_lime,0.3709079232463747,0.07882945903933443,0.49003056542103257,0.25325904222365486,0.3170731707317073,-0.11912264217465784,-0.17442958318432045
CHEMBL1862_Ki,8,109,114,unimol,xgboost,crem_mean,0.39306279152412604,0.1112705161603274,0.39066871690381344,0.10776490689486967,0.3170731707317073,0.002394074620312603,0.003505609265457732
CHEMBL1862_Ki,9,115,163,molformer,mlp,crem_lime,0.47468356573674947,0.21202534860512426,0.3844609204947072,0.07669138074206083,0.3333333333333333,0.09022264524204227,0.13533396786306343
CHEMBL1862_Ki,9,115,163,molformer,mlp,crem_mean,0.41029080938172563,0.11543621407258849,0.40453298932062265,0.10679948398093397,0.3333333333333333,0.005757820061102981,0.008636730091654513
CHEMBL1862_Ki,9,115,163,molformer,xgboost,crem_lime,0.37488738492266016,0.06233107738399041,0.46653805048301944,0.19980707572452908,0.3333333333333333,-0.09165066556035928,-0.13747599834053867
CHEMBL1862_Ki,9,115,163,molformer,xgboost,crem_mean,0.42102251275320945,0.13153376912981418,0.41980989273983976,0.12971483910975967,0.3333333333333333,0.0012126200133696918,0.00181893002005451
CHEMBL1862_Ki,9,115,163,morgan,mlp,crem_lime,0.5205649766279002,0.28084746494185037,0.434822463145727,0.1522336947185904,0.3333333333333333,0.08574251348217327,0.12861377022325995
CHEMBL1862_Ki,9,115,163,morgan,mlp,crem_mean,0.5067066798642018,0.2600600197963027,0.464995861935611,0.19749379290341648,0.3333333333333333,0.041710817928590826,0.06256622689288624
CHEMBL1862_Ki,9,115,163,morgan,xgboost,crem_lime,0.40329155346483386,0.10493733019725081,0.42720708531734547,0.1408106279760182,0.3333333333333333,-0.023915531852511607,-0.035873297778767396
CHEMBL1862_Ki,9,115,163,morgan,xgboost,crem_mean,0.37221352168294825,0.0583202825244224,0.45272853728586715,0.1790928059288006,0.3333333333333333,-0.0805150156029189,-0.12077252340437822
CHEMBL1862_Ki,9,115,163,unimol,mlp,crem_lime,0.415361380729776,0.1230420710946641,0.5065419640030466,0.25981294600456994,0.3333333333333333,-0.09118058327327061,-0.13677087490990586
CHEMBL1862_Ki,9,115,163,unimol,mlp,crem_mean,0.3876617511473029,0.08149262672095434,0.517037134778593,0.2755557021678896,0.3333333333333333,-0.12937538363129014,-0.19406307544693527
CHEMBL1862_Ki,9,115,163,unimol,xgboost,crem_lime,0.4855152856970759,0.22827292854561387,0.39337700393381186,0.09006550590071788,0.3333333333333333,0.09213828176326405,0.138207422644896
CHEMBL1862_Ki,9,115,163,unimol,xgboost,crem_mean,0.5750420193838829,0.36256302907582433,0.48997283196532804,0.23495924794799194,0.3333333333333333,0.08506918741855485,0.12760378112783238
CHEMBL1862_Ki,10,135,144,molformer,mlp,crem_lime,0.23819351561271818,-0.040516173797262835,0.2610554025474041,-0.009290181886472364,0.2678571428571428,-0.022861886934685938,-0.031225991910790472
CHEMBL1862_Ki,10,135,144,molformer,mlp,crem_mean,0.4029244441654504,0.1844821676406152,0.3887041536657905,0.16505933183620158,0.2678571428571428,0.014220290499659949,0.01942283580441362
CHEMBL1862_Ki,10,135,144,molformer,xgboost,crem_lime,0.28101278346935593,0.017968679860583765,0.276872894059572,0.012314196764293467,0.2678571428571428,0.004139889409783937,0.005654483096290299
CHEMBL1862_Ki,10,135,144,molformer,xgboost,crem_mean,0.4096571239218298,0.19367802291762115,0.360308735171384,0.1262753455999391,0.2678571428571428,0.04934838875044578,0.06740267731768204
CHEMBL1862_Ki,10,135,144,morgan,mlp,crem_lime,0.37641535512412466,0.14827463138904826,0.4852943233713644,0.2969873685072294,0.2678571428571428,-0.10887896824723975,-0.14871273711818114
CHEMBL1862_Ki,10,135,144,morgan,mlp,crem_mean,0.4762719606704839,0.28466414140358764,0.465620682446531,0.2701160540733107,0.2678571428571428,0.010651278223952898,0.01454808733027696
CHEMBL1862_Ki,10,135,144,morgan,xgboost,crem_lime,0.4779070417453095,0.28689742287164216,0.3357506402594699,0.0927325818178125,0.2678571428571428,0.14215640148583963,0.19416484105382964
CHEMBL1862_Ki,10,135,144,morgan,xgboost,crem_mean,0.4830798569271055,0.29396273141263185,0.36472571798445624,0.1323082977348671,0.2678571428571428,0.11835413894264923,0.16165443367776475
CHEMBL1862_Ki,10,135,144,unimol,mlp,crem_lime,0.3689403720010029,0.1380648983428332,0.322687790399587,0.07489064054577743,0.2678571428571428,0.046252581601415876,0.06317425779705577
CHEMBL1862_Ki,10,135,144,unimol,mlp,crem_mean,0.4744498452506691,0.28217539839115774,0.4008140740916632,0.1815997109544668,0.2678571428571428,0.07363577115900588,0.10057568743669093
CHEMBL1862_Ki,10,135,144,unimol,xgboost,crem_lime,0.2922938046219183,0.03337690387383963,0.295022161009355,0.03710343942741183,0.2678571428571428,-0.0027283563874367367,-0.003726535553572198
CHEMBL1862_Ki,10,135,144,unimol,xgboost,crem_mean,0.5040759846730998,0.32264036930959966,0.355861757418209,0.12020142476633426,0.2678571428571428,0.14821422725489075,0.2024389445432654
CHEMBL1862_Ki,19,431,477,molformer,mlp,crem_lime,0.3362388133757954,0.09654727376149926,0.3980177047220725,0.18063520920504308,0.2653061224489796,-0.061778891346277065,-0.08408793544354383
CHEMBL1862_Ki,19,431,477,molformer,mlp,crem_mean,0.36529644559421687,0.13609793983657295,0.5313203927562714,0.3620749790293694,0.2653061224489796,-0.16602394716205454,-0.22597703919279646
