dataset,component_id,changed_atoms,unchanged_atoms,changed_support_fraction,unchanged_support_fraction,changed_minus_unchanged_support,changed_mean_local_supported_mutants,unchanged_mean_local_supported_mutants
CHEMBL1862_Ki,3,12,46,0.8333333333333334,0.6086956521739131,0.2246376811594203,6.666666666666667,4.565217391304348
CHEMBL1862_Ki,8,13,28,0.7692307692307693,0.75,0.019230769230769273,2.3846153846153846,2.7857142857142856
CHEMBL1862_Ki,9,19,38,0.9473684210526315,0.5263157894736842,0.42105263157894735,6.631578947368421,4.105263157894737
CHEMBL1862_Ki,10,15,41,0.8666666666666667,0.5121951219512195,0.3544715447154472,5.866666666666666,3.731707317073171
CHEMBL1862_Ki,19,13,36,0.7692307692307693,0.3611111111111111,0.40811965811965817,5.3076923076923075,2.5277777777777777
CHEMBL1862_Ki,22,22,36,1.0,0.4444444444444444,0.5555555555555556,5.181818181818182,3.0555555555555554
CHEMBL1862_Ki,25,46,6,0.5652173913043478,1.0,-0.4347826086956522,2.1739130434782608,5.333333333333333
CHEMBL1862_Ki,27,14,46,0.8571428571428571,0.6086956521739131,0.248447204968944,5.214285714285714,4.3478260869565215
CHEMBL1871_Ki,1,12,42,0.5,0.2857142857142857,0.2142857142857143,3.5833333333333335,2.238095238095238
CHEMBL1871_Ki,6,12,34,0.25,0.38235294117647056,-0.13235294117647056,2.0,2.9411764705882355
CHEMBL1871_Ki,9,9,32,0.3333333333333333,0.25,0.08333333333333331,2.6666666666666665,1.84375
CHEMBL1871_Ki,12,17,49,0.8823529411764706,0.5510204081632653,0.3313325330132053,7.0588235294117645,2.5306122448979593
CHEMBL1871_Ki,14,8,38,0.25,0.5789473684210527,-0.32894736842105265,2.0,3.6052631578947367
CHEMBL1871_Ki,18,6,32,0.8333333333333334,0.34375,0.48958333333333337,6.166666666666667,2.5625
CHEMBL1871_Ki,19,7,29,0.8571428571428571,0.27586206896551724,0.5812807881773399,5.285714285714286,1.9655172413793103
CHEMBL1871_Ki,25,4,47,0.25,0.2553191489361702,-0.005319148936170193,2.0,2.0425531914893615
CHEMBL1871_Ki,35,19,50,0.5263157894736842,0.72,-0.1936842105263158,3.9473684210526314,3.5
CHEMBL1871_Ki,37,14,46,0.42857142857142855,0.6521739130434783,-0.22360248447204972,3.2142857142857144,3.239130434782609
CHEMBL1871_Ki,38,12,52,1.0,0.5384615384615384,0.46153846153846156,7.833333333333333,2.5961538461538463
CHEMBL2034_Ki,1,8,46,1.0,0.21739130434782608,0.782608695652174,7.75,1.7173913043478262
CHEMBL2034_Ki,3,11,48,0.18181818181818182,0.375,-0.19318181818181818,1.4545454545454546,1.5
CHEMBL2034_Ki,8,4,51,0.25,0.35294117647058826,-0.10294117647058826,2.0,2.235294117647059
CHEMBL2034_Ki,9,12,54,0.5833333333333334,0.2777777777777778,0.3055555555555556,4.166666666666667,2.111111111111111
CHEMBL2034_Ki,16,13,64,0.8461538461538461,0.625,0.22115384615384615,6.230769230769231,4.53125
CHEMBL2034_Ki,20,12,38,0.16666666666666666,0.15789473684210525,0.008771929824561403,0.4166666666666667,0.7368421052631579
CHEMBL2034_Ki,31,9,56,1.0,0.5,0.5,7.0,3.5892857142857144
CHEMBL2034_Ki,34,14,40,1.0,0.3,0.7,4.071428571428571,2.1
CHEMBL2034_Ki,36,21,48,0.9047619047619048,0.6666666666666666,0.23809523809523814,5.476190476190476,4.8125
CHEMBL2034_Ki,38,19,58,1.0,0.5172413793103449,0.48275862068965514,7.894736842105263,3.9655172413793105
CHEMBL2034_Ki,41,11,37,0.09090909090909091,0.5945945945945946,-0.5036855036855037,0.7272727272727273,2.864864864864865
CHEMBL2034_Ki,46,28,28,0.35714285714285715,0.14285714285714285,0.2142857142857143,2.857142857142857,1.1428571428571428
CHEMBL2047_EC50,0,12,52,0.25,0.5192307692307693,-0.2692307692307693,1.9166666666666667,4.076923076923077
CHEMBL2047_EC50,2,20,44,1.0,0.8863636363636364,0.11363636363636365,5.3,5.863636363636363
CHEMBL2047_EC50,3,13,56,0.8461538461538461,1.0,-0.15384615384615385,6.769230769230769,6.464285714285714
CHEMBL2047_EC50,5,12,55,0.4166666666666667,0.9636363636363636,-0.5469696969696969,3.0833333333333335,5.581818181818182
CHEMBL2047_EC50,8,6,72,0.16666666666666666,0.7222222222222222,-0.5555555555555556,1.3333333333333333,5.055555555555555
CHEMBL2047_EC50,13,22,54,1.0,0.48148148148148145,0.5185185185185186,7.909090909090909,3.740740740740741
CHEMBL2047_EC50,17,18,44,1.0,0.7272727272727273,0.2727272727272727,6.5,3.4545454545454546
CHEMBL2047_EC50,19,18,46,1.0,1.0,0.0,5.444444444444445,5.5
CHEMBL2047_EC50,30,18,52,0.5555555555555556,0.46153846153846156,0.09401709401709402,3.611111111111111,3.6923076923076925
CHEMBL2047_EC50,31,18,42,1.0,0.8809523809523809,0.11904761904761907,7.166666666666667,5.714285714285714
CHEMBL204_Ki,0,9,65,0.8888888888888888,0.4307692307692308,0.45811965811965805,7.111111111111111,3.246153846153846
CHEMBL204_Ki,4,12,40,0.8333333333333334,1.0,-0.16666666666666663,6.5,6.125
CHEMBL204_Ki,16,12,64,1.0,1.0,0.0,7.75,7.015625
CHEMBL204_Ki,17,14,55,1.0,0.6363636363636364,0.36363636363636365,7.142857142857143,4.890909090909091
CHEMBL204_Ki,20,12,52,1.0,1.0,0.0,8.0,5.5
