margin,confidence_level,primary_ci_low,primary_ci_high,primary_equivalent,nominally_equivalent_target_configuration_cells,target_configuration_cells,nominally_equivalent_fraction
0.025,0.9,-0.01905864134879489,-0.005794535581342642,True,7,324,0.021604938271604937
0.025,0.95,-0.020685980705197875,-0.004341383447346482,True,1,324,0.0030864197530864196
0.05,0.9,-0.01905864134879489,-0.005794535581342642,True,58,324,0.17901234567901234
0.05,0.95,-0.020685980705197875,-0.004341383447346482,True,41,324,0.12654320987654322
0.075,0.9,-0.01905864134879489,-0.005794535581342642,True,116,324,0.35802469135802467
0.075,0.95,-0.020685980705197875,-0.004341383447346482,True,91,324,0.2808641975308642
0.1,0.9,-0.01905864134879489,-0.005794535581342642,True,164,324,0.5061728395061729
0.1,0.95,-0.020685980705197875,-0.004341383447346482,True,134,324,0.41358024691358025
