dataset,component_id,baseline,average_precision,prevalence,normalized_ap_lift
CHEMBL1862_Ki,3,support_any,0.2537810042347247,0.20689655172413793,0.05911517925247899
CHEMBL1862_Ki,3,mask_membership_count,0.24281609195402298,0.20689655172413793,0.04528985507246376
CHEMBL1862_Ki,3,valid_mutant_count,0.27958079783637596,0.20689655172413793,0.09164535379369143
CHEMBL1862_Ki,3,local_supported_mutant_count,0.27958079783637596,0.20689655172413793,0.09164535379369143
CHEMBL1862_Ki,3,absolute_in_domain_mutant_count,0.3172462913842224,0.20689655172413793,0.13913662826706302
CHEMBL1862_Ki,3,local_support_fraction,0.2537810042347247,0.20689655172413793,0.05911517925247899
CHEMBL1862_Ki,3,selected_mutant_count,0.2659642401021712,0.20689655172413793,0.07447665056360714
CHEMBL1862_Ki,3,selected_mean_parent_tanimoto,0.19226695258909415,0.20689655172413793,-0.018446016300707368
CHEMBL1862_Ki,3,selected_mean_nearest_train_tanimoto,0.2548599194665275,0.20689655172413793,0.060475550631708556
CHEMBL1862_Ki,3,inverse_mask_size,0.305316091954023,0.20689655172413793,0.12409420289855072
CHEMBL1862_Ki,8,support_any,0.3213096895236942,0.3170731707317073,0.006203473945409372
CHEMBL1862_Ki,8,mask_membership_count,0.3170731707317073,0.3170731707317073,0.0
CHEMBL1862_Ki,8,valid_mutant_count,0.325,0.3170731707317073,0.011607142857142868
CHEMBL1862_Ki,8,local_supported_mutant_count,0.31929970612413267,0.3170731707317073,0.003260283967479968
CHEMBL1862_Ki,8,absolute_in_domain_mutant_count,0.3907859078590786,0.3170731707317073,0.10793650793650791
CHEMBL1862_Ki,8,local_support_fraction,0.31929970612413267,0.3170731707317073,0.003260283967479968
CHEMBL1862_Ki,8,selected_mutant_count,0.3044171527800409,0.3170731707317073,-0.018532026286368707
CHEMBL1862_Ki,8,selected_mean_parent_tanimoto,0.3867248246731747,0.3170731707317073,0.10198992184286296
CHEMBL1862_Ki,8,selected_mean_nearest_train_tanimoto,0.4019239832866556,0.3170731707317073,0.12424583266974566
CHEMBL1862_Ki,8,inverse_mask_size,0.27313191434301615,0.3170731707317073,-0.06434255399772637
CHEMBL1862_Ki,9,support_any,0.46629732225300086,0.3333333333333333,0.19944598337950128
CHEMBL1862_Ki,9,mask_membership_count,0.48717948717948717,0.3333333333333333,0.23076923076923075
CHEMBL1862_Ki,9,valid_mutant_count,0.4390943819817862,0.3333333333333333,0.15864157297267928
CHEMBL1862_Ki,9,local_supported_mutant_count,0.4291430330211493,0.3333333333333333,0.14371454953172397
CHEMBL1862_Ki,9,absolute_in_domain_mutant_count,0.5073443412452701,0.3333333333333333,0.2610165118679051
CHEMBL1862_Ki,9,local_support_fraction,0.46240189289012,0.3333333333333333,0.19360283933518002
CHEMBL1862_Ki,9,selected_mutant_count,0.44167436134195137,0.3333333333333333,0.16251154201292706
CHEMBL1862_Ki,9,selected_mean_parent_tanimoto,0.6640118015344876,0.3333333333333333,0.49601770230173137
CHEMBL1862_Ki,9,selected_mean_nearest_train_tanimoto,0.6945309617627888,0.3333333333333333,0.5417964426441833
CHEMBL1862_Ki,9,inverse_mask_size,0.629689608636977,0.3333333333333333,0.4445344129554655
CHEMBL1862_Ki,10,support_any,0.36708683473389353,0.26785714285714285,0.135533237685318
CHEMBL1862_Ki,10,mask_membership_count,0.36708683473389353,0.26785714285714285,0.135533237685318
CHEMBL1862_Ki,10,valid_mutant_count,0.3502801120448179,0.26785714285714285,0.11257771401243422
CHEMBL1862_Ki,10,local_supported_mutant_count,0.31885154061624654,0.26785714285714285,0.06965088474414162
CHEMBL1862_Ki,10,absolute_in_domain_mutant_count,0.2892857142857143,0.26785714285714285,0.029268292682926876
CHEMBL1862_Ki,10,local_support_fraction,0.3284313725490196,0.26785714285714285,0.08273553323768532
