dataset,supported_spearman,all_atom_spearman,all_minus_supported
CHEMBL1862_Ki,0.2011225444340505,0.6012006016481632,0.4000780572141127
CHEMBL1871_Ki,0.25394561292917006,0.7215315226458481,0.467585909716678
CHEMBL2034_Ki,0.2346389150166011,0.7559999505083956,0.5213610354917946
CHEMBL2047_EC50,0.20743080104272327,0.4920192035651001,0.2845884025223768
CHEMBL204_Ki,0.21393527548452634,0.4149665537980523,0.20103127831352596
CHEMBL2147_Ki,0.24280288350785434,0.5505144849432142,0.30771160143535986
CHEMBL218_EC50,0.24712739595683525,0.5880800584357946,0.34095266247895933
CHEMBL219_Ki,0.1962353663269818,0.718341263471273,0.5221058971442912
CHEMBL228_Ki,0.27879397094505315,0.7237546776684392,0.444960706723386
CHEMBL231_Ki,0.15316580880160813,0.4204154647368602,0.2672496559352521
CHEMBL233_Ki,0.2183544303797468,0.6426492304504763,0.4242948000707295
CHEMBL236_Ki,0.2144948518687399,0.6745501890471343,0.46005533717839436
CHEMBL237_EC50,0.19221683827983038,0.6488475386734434,0.456630700393613
CHEMBL237_Ki,0.20670786134973124,0.7195345660043864,0.5128267046546551
CHEMBL238_Ki,0.34637929113940474,0.6676986584107326,0.32131936727132787
CHEMBL239_EC50,0.2024957458876914,0.36784659011542054,0.16535084422772914
CHEMBL244_Ki,0.19498521253893308,0.45846933665432243,0.26348412411538935
CHEMBL262_Ki,0.25127163269827646,0.6923568566962129,0.4410852239979365
CHEMBL264_Ki,0.20967469932987176,0.5629231953260954,0.3532484959962236
CHEMBL2835_Ki,0.12018140589569155,0.8210435833029067,0.7008621774072151
CHEMBL287_Ki,0.2289156626506023,0.6323989990434584,0.40348333639285616
CHEMBL2971_Ki,0.2349987123358228,0.6510832383124286,0.41608452597660583
CHEMBL3979_EC50,0.14778317214881326,0.4137854903689035,0.26600231822009024
CHEMBL4005_Ki,0.21564438298819422,0.6683825047976055,0.4527381218094113
CHEMBL4203_Ki,0.07712097182690911,0.7288499832416555,0.6517290114147464
CHEMBL4616_EC50,0.17698562083329944,0.48736018753043553,0.3103745666971361
CHEMBL4792_Ki,0.24185909534260885,0.5631699846860644,0.32131088934345553
