dataset,row_id,representation,predictor,seed,label_permuted,trained,trained_minus_permuted_r2
CHEMBL1862_Ki,CHEMBL1862_Ki:114,molformer,mlp,42,0.911552856986938,0.8761629294191366,-0.03538992756780135
CHEMBL1862_Ki,CHEMBL1862_Ki:114,molformer,xgboost,11,0.9092178916582137,0.8625988888722225,-0.04661900278599118
CHEMBL1862_Ki,CHEMBL1862_Ki:114,molformer,xgboost,23,0.8942619237954909,0.8430027467947735,-0.05125917700071736
CHEMBL1862_Ki,CHEMBL1862_Ki:114,molformer,xgboost,42,0.9089767920252836,0.8940868790065712,-0.014889913018712342
CHEMBL1862_Ki,CHEMBL1862_Ki:114,morgan,mlp,11,0.8906135046498781,0.9177757047204212,0.027162200070543152
CHEMBL1862_Ki,CHEMBL1862_Ki:114,morgan,mlp,23,0.912914716678006,0.9154148873730684,0.0025001706950623648
CHEMBL1862_Ki,CHEMBL1862_Ki:114,morgan,mlp,42,0.9187256197255266,0.890959958402261,-0.027765661323265522
CHEMBL1862_Ki,CHEMBL1862_Ki:114,morgan,xgboost,11,0.0,0.930683947282456,0.930683947282456
CHEMBL1862_Ki,CHEMBL1862_Ki:114,morgan,xgboost,23,0.9289045924477428,0.9371645230718432,0.008259930624100353
CHEMBL1862_Ki,CHEMBL1862_Ki:114,morgan,xgboost,42,0.97584894650662,0.937974611561616,-0.03787433494500403
CHEMBL1862_Ki,CHEMBL1862_Ki:114,unimol,mlp,11,0.9401851533085388,0.913632980210614,-0.02655217309792479
CHEMBL1862_Ki,CHEMBL1862_Ki:114,unimol,mlp,23,0.90759368253191,0.8952344736690152,-0.012359208862894766
CHEMBL1862_Ki,CHEMBL1862_Ki:114,unimol,mlp,42,0.91206474953592,0.8878438596556474,-0.0242208898802726
CHEMBL1862_Ki,CHEMBL1862_Ki:114,unimol,xgboost,11,0.8990233360846404,0.9335118967810968,0.03448856069645645
CHEMBL1862_Ki,CHEMBL1862_Ki:114,unimol,xgboost,23,0.8695068173576235,0.9328111634572224,0.0633043460995989
CHEMBL1862_Ki,CHEMBL1862_Ki:114,unimol,xgboost,42,0.8785215896650848,0.9289845860232436,0.050462996358158874
CHEMBL1862_Ki,CHEMBL1862_Ki:115,molformer,mlp,11,0.9578489498733348,0.9736819678338328,0.015833017960497964
CHEMBL1862_Ki,CHEMBL1862_Ki:115,molformer,mlp,23,0.9482662058206908,0.9765724518812258,0.028306246060535
CHEMBL1862_Ki,CHEMBL1862_Ki:115,molformer,mlp,42,0.9572660105422284,0.9705019456080152,0.013235935065786797
CHEMBL1862_Ki,CHEMBL1862_Ki:115,molformer,xgboost,11,0.9617526617693212,0.9622204991188412,0.0004678373495200505
CHEMBL1862_Ki,CHEMBL1862_Ki:115,molformer,xgboost,23,0.9408196266667788,0.9720325329383102,0.031212906271531393
CHEMBL1862_Ki,CHEMBL1862_Ki:115,molformer,xgboost,42,0.9564867676347596,0.9528945136770796,-0.003592253957680036
CHEMBL1862_Ki,CHEMBL1862_Ki:115,morgan,mlp,11,0.9541667621001996,0.9612062790445388,0.007039516944339241
CHEMBL1862_Ki,CHEMBL1862_Ki:115,morgan,mlp,23,0.9589712352906652,0.943891196656958,-0.015080038633707216
CHEMBL1862_Ki,CHEMBL1862_Ki:115,morgan,mlp,42,0.9600827156207784,0.9419951004051804,-0.018087615215597985
CHEMBL1862_Ki,CHEMBL1862_Ki:115,morgan,xgboost,11,0.9552224311299528,0.9727617311250852,0.017539299995132485
CHEMBL1862_Ki,CHEMBL1862_Ki:115,morgan,xgboost,23,0.9605637919736784,0.9718595115193536,0.011295719545675209
CHEMBL1862_Ki,CHEMBL1862_Ki:115,morgan,xgboost,42,0.959759462622226,0.9708274508237292,0.011067988201503232
CHEMBL1862_Ki,CHEMBL1862_Ki:115,unimol,mlp,11,0.947990199633919,0.949517786445867,0.0015275868119480895
CHEMBL1862_Ki,CHEMBL1862_Ki:115,unimol,mlp,23,0.9600303574912972,0.9375504806352144,-0.02247987685608277
CHEMBL1862_Ki,CHEMBL1862_Ki:115,unimol,mlp,42,0.9485223502434532,0.938758820306271,-0.009763529937182214
CHEMBL1862_Ki,CHEMBL1862_Ki:115,unimol,xgboost,11,0.9593312785695454,0.94850602901746,-0.010825249552085414
CHEMBL1862_Ki,CHEMBL1862_Ki:115,unimol,xgboost,23,0.925236698769647,0.9495121256113542,0.02427542684170725
CHEMBL1862_Ki,CHEMBL1862_Ki:115,unimol,xgboost,42,0.9565308109086244,0.9474865323089682,-0.009044278599656175
