dataset,component_id,representation,predictor,explainer,seed,label_permuted,trained,matched_seed_delta
CHEMBL1862_Ki,8,morgan,mlp,crem_mean,42,0.1827850720707863,0.0637798925640116,-0.11900517950677468
CHEMBL1862_Ki,8,morgan,xgboost,crem_lime,11,0.2781254902893559,-0.0951772971464096,-0.3733027874357655
CHEMBL1862_Ki,8,morgan,xgboost,crem_lime,23,0.1249594430860415,0.0810131836917551,-0.0439462593942864
CHEMBL1862_Ki,8,morgan,xgboost,crem_lime,42,0.4117948798495957,-0.0361846412498353,-0.44797952109943096
CHEMBL1862_Ki,8,morgan,xgboost,crem_mean,11,0.0618131868131868,0.1193310657596371,0.0575178789464503
CHEMBL1862_Ki,8,morgan,xgboost,crem_mean,23,0.1369735487247008,0.1008357282118801,-0.036137820512820704
CHEMBL1862_Ki,8,morgan,xgboost,crem_mean,42,0.1145996860282574,0.0637564641241112,-0.050843221904146196
CHEMBL1862_Ki,8,unimol,mlp,crem_lime,11,0.3026528377283872,0.2078152493566026,-0.0948375883717846
CHEMBL1862_Ki,8,unimol,mlp,crem_lime,23,0.138116392939906,0.0669948573047312,-0.07112153563517479
CHEMBL1862_Ki,8,unimol,mlp,crem_lime,42,0.088528447906679,-0.0127479254236364,-0.1012763733303154
CHEMBL1862_Ki,8,unimol,mlp,crem_mean,11,0.1817240162508704,0.124412812462263,-0.05731120378860739
CHEMBL1862_Ki,8,unimol,mlp,crem_mean,23,0.0871489621489621,0.0634910788136594,-0.023657883335302707
CHEMBL1862_Ki,8,unimol,mlp,crem_mean,42,0.1159340659340659,-0.0075281860996147,-0.1234622520336806
CHEMBL1862_Ki,8,unimol,xgboost,crem_lime,11,0.2130430537599655,-0.0615988711187603,-0.2746419248787258
CHEMBL1862_Ki,8,unimol,xgboost,crem_lime,23,0.3454055733682138,0.0918335929284865,-0.2535719804397273
CHEMBL1862_Ki,8,unimol,xgboost,crem_lime,42,0.2013284995427853,0.2062536553082771,0.0049251557654917955
CHEMBL1862_Ki,8,unimol,xgboost,crem_mean,11,0.193805473372781,0.0549441361314271,-0.1388613372413539
CHEMBL1862_Ki,8,unimol,xgboost,crem_mean,23,0.1516025641025641,0.0840871925693354,-0.06751537153322869
CHEMBL1862_Ki,8,unimol,xgboost,crem_mean,42,-0.0221133167907361,0.1947802197802197,0.2168935365709558
CHEMBL1862_Ki,9,molformer,mlp,crem_lime,11,0.1599737648320167,0.2932948329620156,0.1333210681299989
CHEMBL1862_Ki,9,molformer,mlp,crem_lime,23,0.1173905698210013,0.2305754607630941,0.1131848909420928
CHEMBL1862_Ki,9,molformer,mlp,crem_lime,42,-0.0472901924268355,0.1122057520902631,0.1594959445170986
CHEMBL1862_Ki,9,molformer,mlp,crem_mean,11,0.1683133039076496,0.1983692774348519,0.030055973527202295
CHEMBL1862_Ki,9,molformer,mlp,crem_mean,23,0.1127465176240313,0.0915779108737979,-0.02116860675023341
CHEMBL1862_Ki,9,molformer,mlp,crem_mean,42,0.039338630411121,0.0563614539091157,0.0170228234979947
CHEMBL1862_Ki,9,molformer,xgboost,crem_lime,11,0.2261881243024789,-0.0079457493959588,-0.2341338736984377
CHEMBL1862_Ki,9,molformer,xgboost,crem_lime,23,0.3320618823480128,0.1550613306690372,-0.1770005516789756
CHEMBL1862_Ki,9,molformer,xgboost,crem_lime,42,0.0411712205230955,0.0398776508788928,-0.0012935696442026995
CHEMBL1862_Ki,9,molformer,xgboost,crem_mean,11,0.0303391040690812,0.1037019093408059,0.0733628052717247
CHEMBL1862_Ki,9,molformer,xgboost,crem_mean,23,0.1712113336948642,0.1679286948667146,-0.003282638828149581
CHEMBL1862_Ki,9,molformer,xgboost,crem_mean,42,0.1875940795653336,0.122970703181922,-0.0646233763834116
CHEMBL1862_Ki,9,morgan,mlp,crem_lime,11,0.1103695176007783,0.4255493044142669,0.3151797868134886
CHEMBL1862_Ki,9,morgan,mlp,crem_lime,23,0.3460328305195583,0.0132194970071495,-0.3328133335124088
CHEMBL1862_Ki,9,morgan,mlp,crem_lime,42,0.0002987360354347,0.4037735934041347,0.40347485736870004
CHEMBL1862_Ki,9,morgan,mlp,crem_mean,11,0.0909874698612742,0.242311981260861,0.1513245113995868
CHEMBL1862_Ki,9,morgan,mlp,crem_mean,23,0.2493617893059801,0.1964870507501973,-0.05287473855578281
CHEMBL1862_Ki,9,morgan,mlp,crem_mean,42,0.2521321195429951,0.3413810273778499,0.08924890783485484
CHEMBL1862_Ki,9,morgan,xgboost,crem_lime,11,0.2589332152612816,0.1013889030593137,-0.1575443122019679
CHEMBL1862_Ki,9,morgan,xgboost,crem_lime,23,0.1213996529350567,0.0419420882081469,-0.07945756472690979
CHEMBL1862_Ki,9,morgan,xgboost,crem_lime,42,0.0420990157317163,0.1714809993242918,0.12938198359257552
