representation,predictor,permuted_median_r2,trained_median_r2,median_r2_difference,permuted_fraction_ge_08
molformer,mlp,0.9529346779589636,0.954925891005115,0.0006283784698516981,0.9846526655896607
molformer,xgboost,0.9399309072381715,0.945825502774404,0.004972797967837395,0.9676898222940227
morgan,mlp,0.9516703956624954,0.9549652920788696,0.003662101593033096,0.9857296715131934
morgan,xgboost,0.9493846561483597,0.9658800692067764,0.014595168278931758,0.8535271943995691
unimol,mlp,0.9362464395146062,0.9380519740602913,0.0018591835451124417,0.9717285945072698
unimol,xgboost,0.9307512346972282,0.9354054974554404,0.004952148431137393,0.9598815293484114
