dataset,permuted_median_r2,trained_median_r2,median_r2_difference
CHEMBL1862_Ki,0.937616244471703,0.9385777769705308,0.00015404485399050927
CHEMBL1871_Ki,0.9457484412296975,0.953245404151973,0.004081115992953965
CHEMBL2034_Ki,0.9486534372598694,0.9538795066790484,0.002963241820268636
CHEMBL2047_EC50,0.9505681712682129,0.9547450873908077,0.0027697156591388605
CHEMBL204_Ki,0.9468839980016543,0.9556487392017086,0.006080047103085684
CHEMBL2147_Ki,0.9476407255372283,0.9513308074978657,0.0007751915874471549
CHEMBL218_EC50,0.9444687819348987,0.9486895701746301,0.003060086148862773
CHEMBL219_Ki,0.9260709098141817,0.9318615311208559,0.005823054118273996
CHEMBL228_Ki,0.9295080021317002,0.9356942332566911,0.005392465447435935
CHEMBL231_Ki,0.9435085744324705,0.9480666667300195,0.0003682881088157286
CHEMBL233_Ki,0.9474431777546175,0.9514249025817689,0.003936846961100471
CHEMBL236_Ki,0.9464574040139713,0.9514612963685446,0.003000960065579039
CHEMBL237_EC50,0.9524616489650379,0.9581449489329764,0.004429913209897218
CHEMBL237_Ki,0.9530383692891944,0.9610264841229414,0.005466212212048405
CHEMBL238_Ki,0.9251115011517831,0.9361668116597294,0.00867950540958462
CHEMBL239_EC50,0.9471114425851885,0.9504320266250774,0.002712148704489159
CHEMBL244_Ki,0.9561629189706965,0.961222944411239,0.005587689770650772
CHEMBL262_Ki,0.9287377171184437,0.933084687354806,0.003842851074135789
CHEMBL264_Ki,0.9233040827217898,0.9336654008355207,0.008742267076684351
CHEMBL2835_Ki,0.9432266246772498,0.9445026002444974,0.003148603948713302
CHEMBL287_Ki,0.9080768871312628,0.9237946336601959,0.011455323876383705
CHEMBL2971_Ki,0.9359295078074032,0.9333009382109361,0.0032056924357818373
CHEMBL3979_EC50,0.9471617028673924,0.9534222235206791,0.005460814964006244
CHEMBL4005_Ki,0.9486924942974782,0.9562712431163625,0.0038344102544662917
CHEMBL4203_Ki,0.91772206363482,0.9094749179062691,-0.004810706054672431
CHEMBL4616_EC50,0.9562866055026651,0.9609928856961518,0.0009765124367970834
CHEMBL4792_Ki,0.9489723863149451,0.9526027888345882,0.004495339931417375
