Margin,CI,Nominally eq.,Trained,Permuted,Inconclusive,2/3 gate
0.025,90%,7/162,1,3,151,Fail
0.025,95%,1/162,1,1,159,Fail
0.050,90%,50/162,1,0,111,Fail
0.050,95%,36/162,1,0,125,Fail
0.075,90%,87/162,1,0,74,Fail
0.075,95%,73/162,1,0,88,Fail
0.100,90%,111/162,1,0,50,Pass
0.100,95%,98/162,1,0,63,Fail
