Analysis,Delta nAP,90% CI,95% CI,Targets,Components,Configs
Unadjusted boundary-extended,-0.005233,"[-0.012815, -0.000816]","[-0.013903, 0.000000]",27,617,6
Tie-preserving null-adjusted boundary-extended,-0.008317,"[-0.014837, -0.003784]","[-0.015768, -0.002769]",27,617,6
Null-adjusted prevalence <=0.8,-0.006453,"[-0.014648, -0.003552]","[-0.015657, -0.002547]",27,609,6
