Neighborhood,Variant,In-sample R^2,PRESS R^2,5-fold R^2,Eff. df,Samples,Bits,5-fold avail.
fixed selected absolute domain only,Label-permuted,0.9496,-0.1034,-0.0903,17.11,22.50,174.8,0.837
fixed selected absolute domain only,Trained,0.9519,0.0006,0.0003,17.11,22.50,174.8,0.848
fixed selected support 0 60,Label-permuted,0.9474,-0.0205,-0.0303,26.57,35.75,292.0,0.971
fixed selected support 0 60,Trained,0.9509,0.0759,0.0599,26.57,35.75,292.0,0.990
fixed selected support 0 70 restriction,Label-permuted,0.9577,-0.0729,-0.0858,19.54,24.25,206.0,0.903
fixed selected support 0 70 restriction,Trained,0.9581,0.0189,-0.0059,19.54,24.25,206.0,0.914
