k,Permutation IDs,Delta _knAP,Delta _10nAP,Absolute difference
1,42,0.000000,-0.013503,0.013503
3,"42,43,44",-0.007693,-0.013503,0.005810
5,"42,43,44,45,46",-0.008597,-0.013503,0.004906
10,"42,43,44,45,46,47,48,49,50,51",-0.013503,-0.013503,0.000000
