variant,representation,predictor,median_local_weighted_r2,fifth_percentile_r2,molecules
label_permuted,molformer,mlp,0.9529346779589636,0.8700190038969935,3714
label_permuted,molformer,xgboost,0.9399309072381715,0.8367949536744249,3714
label_permuted,morgan,mlp,0.9516703956624954,0.8666936909187241,3714
label_permuted,morgan,xgboost,0.9493846561483597,0.0,3714
label_permuted,unimol,mlp,0.9362464395146062,0.834329017349843,3714
label_permuted,unimol,xgboost,0.9307512346972282,0.8177386705156033,3714
trained,molformer,mlp,0.954925891005115,0.8718629416955326,3714
trained,molformer,xgboost,0.945825502774404,0.8547109042235139,3714
trained,morgan,mlp,0.9549652920788696,0.874709869692095,3714
trained,morgan,xgboost,0.9658800692067764,0.876373155278758,3714
trained,unimol,mlp,0.9380519740602913,0.8397856146251998,3714
trained,unimol,xgboost,0.9354054974554404,0.8393036965357744,3714
