dataset,representation,predictor,explainer,median_delta,ci_low,ci_high,components,equivalent
CHEMBL1862_Ki,molformer,mlp,crem_lime,-0.02942888716759355,-0.11430296697922775,0.13533396786306343,8,False
CHEMBL1862_Ki,molformer,mlp,crem_mean,-0.060326304129323736,-0.13135219175976454,0.01942283580441362,8,False
CHEMBL1862_Ki,molformer,xgboost,crem_lime,0.0033552530517161902,-0.13747599834053867,0.19689823738514295,8,False
CHEMBL1862_Ki,molformer,xgboost,crem_mean,0.019020743692622268,-0.0107265703387327,0.06740267731768204,8,False
CHEMBL1862_Ki,morgan,mlp,crem_lime,-0.1465479258826465,-0.35610877879328856,-0.08826505663048016,8,False
CHEMBL1862_Ki,morgan,mlp,crem_mean,-0.0878837131948905,-0.4398400396624905,0.054137618887258265,8,False
CHEMBL1862_Ki,morgan,xgboost,crem_lime,-0.03833715031813178,-0.294061974936071,0.19416484105382964,8,False
CHEMBL1862_Ki,morgan,xgboost,crem_mean,-0.014112733462999356,-0.47145806385108496,0.1956959848358788,8,False
CHEMBL1862_Ki,unimol,mlp,crem_lime,0.01653490796523023,-0.10624094986592403,0.10833537803588061,8,False
CHEMBL1862_Ki,unimol,mlp,crem_mean,0.01979746854021342,-0.10931067140497575,0.19555910111631192,8,False
CHEMBL1862_Ki,unimol,xgboost,crem_lime,-0.0479732174642523,-0.10411503833565283,0.006126628008539969,8,False
CHEMBL1862_Ki,unimol,xgboost,crem_mean,0.11898789695584189,-0.003934108271254344,0.2024389445432654,8,False
CHEMBL1871_Ki,molformer,mlp,crem_lime,-0.04108345240596245,-0.15446079019737835,0.2643873591895777,11,False
CHEMBL1871_Ki,molformer,mlp,crem_mean,-0.007819364550320618,-0.036152810680831864,0.112685134624813,11,False
CHEMBL1871_Ki,molformer,xgboost,crem_lime,0.030792503819061595,-0.19536394815162567,0.16282454385808032,11,False
CHEMBL1871_Ki,molformer,xgboost,crem_mean,0.0007535460992907674,-0.0181731958517673,0.10234937476316788,11,False
CHEMBL1871_Ki,morgan,mlp,crem_lime,0.0031799735423443665,-0.2136551133715494,0.1382251049293004,11,False
CHEMBL1871_Ki,morgan,mlp,crem_mean,-0.005228704813192334,-0.08203925463843878,0.15605471399742238,11,False
CHEMBL1871_Ki,morgan,xgboost,crem_lime,0.1290398192532407,0.014176989025082187,0.32036685969910084,11,False
CHEMBL1871_Ki,morgan,xgboost,crem_mean,0.0354456018518519,-0.08055506230713981,0.107086017430845,11,False
CHEMBL1871_Ki,unimol,mlp,crem_lime,0.014478173664587174,-0.12010105914726066,0.11835889953458023,11,False
CHEMBL1871_Ki,unimol,mlp,crem_mean,7.728677941439867e-05,-0.09865168589126924,0.020777410329284228,11,False
CHEMBL1871_Ki,unimol,xgboost,crem_lime,0.025286934653730997,-0.10936759982952765,0.07922028670078513,11,False
CHEMBL1871_Ki,unimol,xgboost,crem_mean,-0.008668671230247449,-0.0430597771023303,0.010591258647981404,11,True
CHEMBL2034_Ki,molformer,mlp,crem_lime,-0.007175632717317578,-0.2650444486111084,0.18827528851237102,12,False
CHEMBL2034_Ki,molformer,mlp,crem_mean,0.01383294484074266,-0.07056794551542456,0.04240378682888682,12,False
CHEMBL2034_Ki,molformer,xgboost,crem_lime,-0.04115788915856766,-0.09639815022671018,0.10245832486474998,12,False
