scenario,targets,pair_rows,trained_delta_rows,primary_median,ci_low,ci_high,primary_equivalent,equivalent_cells,cells,equivalent_cell_fraction
primary,27,44424,22212,-0.018700440012929552,-0.026725765401752203,-0.009538866713681456,True,40,324,0.12345679012345678
exclude_endpoint_constant_model_cells,27,44232,22116,-0.019903800609758493,-0.02755392277419071,-0.010813142669956003,True,40,320,0.125
exclude_unimol_fallback_pairs,27,44304,22152,-0.018700440012929552,-0.02722803750778936,-0.009893978569961107,True,40,324,0.12345679012345678
combined_exclusions,27,44112,22056,-0.019903800609758493,-0.027774154700557066,-0.010841384336670618,True,39,320,0.121875
