estimand,estimate,ci95_low,ci95_high,targets,components
Post-confirmation unadjusted,-0.00523271980315315,-0.013903418315426621,-4.996003610813204e-16,27,617
Pair-null adjusted,-0.008317338515946767,-0.01576845069243632,-0.0027686620181753933,27,617
Strict unmatched,-0.01052106439240727,-0.017689896756032965,-0.005922321710873854,27,581
Prevalence ≤ 0.8,-0.006452554752578251,-0.015657035795203847,-0.0025472681483899155,27,609
Calibration qualified,-0.007433400566558312,-0.022146325383234106,-0.0009078350930107501,26,606
