representation,predictor,targets,boundary_components,target_balanced_median_observed_nap_trained,target_balanced_median_observed_nap_permuted,target_balanced_median_null_adjusted_nap_trained,target_balanced_median_null_adjusted_nap_permuted,unadjusted_delta_nap,null_adjusted_delta_nap,strict_unmatched_components,strict_unmatched_null_adjusted_delta_nap,configuration,aggregation
morgan,xgboost,27,617,0.0793128508379837,0.1013923395445134,0.0252272467727081,0.0721437720073835,-0.008521127205708,-0.0205493079066263,581,-0.0201522325897731,Morgan · XGB,seed-averaged within component; median within target; median across targets
molformer,mlp,27,617,0.0804040866429942,0.1097408346785525,0.0335691176032116,0.0574676102138208,-0.0097370341642895,-0.008771163459886,581,-0.0082906593406593,MoLFormer · MLP,seed-averaged within component; median within target; median across targets
molformer,xgboost,27,617,0.0914998005826572,0.1233559317371912,0.0471558648093958,0.076095181059938,-0.0116361885663355,-0.0111318241313847,581,-0.0056156277415341,MoLFormer · XGB,seed-averaged within component; median within target; median across targets
morgan,mlp,27,617,0.0934890719369245,0.1520570130945889,0.0500148610444153,0.1049526145845653,-0.0130810654033066,-0.0095708891987053,581,-0.015826935730795,Morgan · MLP,seed-averaged within component; median within target; median across targets
unimol,xgboost,27,617,0.1091551298046829,0.1217044219581217,0.0568314024675378,0.0793699033431747,-0.000284657391462,0.0,581,-0.0028413299663299,Uni-Mol · XGB,seed-averaged within component; median within target; median across targets
unimol,mlp,27,617,0.1004132939130606,0.1350661842101957,0.0569279327221091,0.0879555105491155,-0.0005566967587725,-0.0019083409020337,581,-0.0132307886117409,Uni-Mol · MLP,seed-averaged within component; median within target; median across targets
