dataset,MoLFormer · MLP,MoLFormer · XGB,Morgan · MLP,Morgan · XGB,Uni-Mol · MLP,Uni-Mol · XGB
CHEMBL231_Ki,-0.008771163459886,-0.030061280155822,-0.1033388677054371,-0.0822259401988711,-0.0322667659434209,-0.0099656397824644
CHEMBL4203_Ki,-0.0320378041178591,-0.1108751226364991,-0.0330324271254791,0.026846274440282,0.03569916539048,-0.0182263594331678
CHEMBL4005_Ki,-0.0251462573018371,0.0440154953402004,-0.0837259163122411,0.010585273585118,-0.0586255301995253,-0.0245269705789379
CHEMBL262_Ki,-0.036199722953629,-0.0229476999047646,-0.0071663171398745,-0.0605199999999999,0.0363467142630873,0.0422345803431053
CHEMBL244_Ki,-0.008419615546407,-0.0040323452286457,-0.0407208184181231,-0.0321343379173169,-0.0187264241642241,0.0176901884526292
CHEMBL1862_Ki,-0.0500631524919675,0.0283109468281264,-0.0921226920741374,-0.0494062484555434,0.0228927410858756,0.1202049080817169
CHEMBL237_Ki,-0.0288714981916586,-0.0159524753371997,-0.0253018245758803,0.0378070588063187,-0.0002252059267196,-0.0099827603962552
CHEMBL3979_EC50,-0.0307053721624776,-0.0156570357952038,-0.0124273171477663,-0.0133186396714639,-0.012399030106549,0.0079053675900336
CHEMBL236_Ki,-0.0157750953845714,0.001543201324596,-0.0727926517611177,-0.045228155899397,-0.0090842823100165,0.0026846531990981
CHEMBL239_EC50,0.0173050924309113,-0.0191763723421288,-0.0163167243385036,-0.0294429872082801,-0.0079326316966331,0.0080398043283088
CHEMBL2047_EC50,-0.024707401488907,-0.0304416325981464,0.0117657509156482,-0.0140808347592821,-0.0094974004821973,0.0005699948215261
CHEMBL2971_Ki,-0.0535610634440569,-0.0225016099970955,-0.000217032967033,-0.0319347854526426,0.0025349816849816,0.0022150581865504
CHEMBL233_Ki,-0.002204059922321,-0.0411220875210902,-0.0089667252339334,-0.0221961218308558,-0.0112044355568358,-0.0113300505362504
CHEMBL2034_Ki,0.0026452142912991,0.0089824137622591,0.0364644150770559,-0.0205493079066263,-0.0373947041892899,-0.0369832351960416
CHEMBL204_Ki,0.0252296049180167,-0.0111318241313847,-0.0116565783315783,-0.030907890745208,-0.0052772814111144,-0.0048863478573212
CHEMBL237_EC50,-0.0196423212011927,-0.0385024293137909,0.0036585033685241,-0.0225429129319754,0.0471523997834332,0.0109377996225966
CHEMBL1871_Ki,-0.010921257802186,-0.0059978097257352,-0.0086479904758471,0.0013283512205387,0.0041038925022967,-0.0115195193193751
CHEMBL219_Ki,-0.0067145138958973,-0.0059116399133775,-0.0188136147302221,-0.0066401201520758,-0.0062241929268356,-0.0137622922187024
CHEMBL4616_EC50,-0.0131799712103795,0.0,-0.0095708891987053,0.0842661989376297,-0.01300682957225,0.0
CHEMBL2147_Ki,0.0,-0.0784420531710568,-0.0284253140596106,-0.0050542447990569,0.0028600949023366,-0.0008171467893433
CHEMBL238_Ki,0.0017655677655677,-0.0023736263736263,-0.0018170900492982,-0.0307632795567006,0.0360243442296824,-0.0443748647731796
CHEMBL228_Ki,-0.0099243314580654,-0.0062288646384479,-0.0014329836829836,0.0193040950553926,0.0076484272710485,0.0013904428904428
CHEMBL287_Ki,0.0035471602499244,-0.0002840590754449,-0.0091938940910169,0.0023225223725272,-0.02038022086215,0.0010442375155196
CHEMBL264_Ki,0.001053728699778,-0.0162865353210132,0.0074226027157637,0.0183404607806887,0.0027569075329599,-0.0011315080487781
CHEMBL218_EC50,0.031967108472785,0.0040290808394243,0.0127424614967403,-0.0211637593620875,-0.0019083409020337,0.0081302451856619
CHEMBL2835_Ki,-0.0005990549897191,0.0129952846738276,-0.0103641103672974,-0.1660974945333304,0.0269573819309735,0.1921845077200921
CHEMBL4792_Ki,0.0177541839830276,-0.0366234075779289,0.0311569761918362,0.0505159380679501,0.0167865949793497,-0.0042977325740441
