analysis,estimate,ci95_low,ci95_high,interval_available
"Calibration-qualified
26 datasets, 82 cells",-0.007433400566558312,-0.022146325383234106,-0.0009078350930107501,True
"Ten permutations
27 datasets, randomized-model seed 42",-0.013502912477144299,,,False
"Component-median sentinel
27 datasets, 618 comps, seed 42",0.0,-0.008450751315270703,0.0,True
