dataset,representation,predictor,components,median_delta_nap,median_delta_null_adjusted_nap,configuration
CHEMBL233_Ki,molformer,mlp,46,-0.0025389412144442,-0.002204059922321,MoLFormer · MLP
CHEMBL233_Ki,molformer,xgboost,46,-0.0372473354993845,-0.0411220875210902,MoLFormer · XGB
CHEMBL233_Ki,morgan,mlp,46,-0.0053622303622303,-0.0089667252339334,Morgan · MLP
CHEMBL233_Ki,morgan,xgboost,46,-0.0096442668718457,-0.0221961218308558,Morgan · XGB
CHEMBL233_Ki,unimol,mlp,46,-0.0040074223951035,-0.0112044355568358,Uni-Mol · MLP
CHEMBL233_Ki,unimol,xgboost,46,-0.0038780077727311,-0.0113300505362504,Uni-Mol · XGB
CHEMBL236_Ki,molformer,mlp,37,-0.0128730781526767,-0.0157750953845714,MoLFormer · MLP
CHEMBL236_Ki,molformer,xgboost,37,-0.0007182681913864,0.001543201324596,MoLFormer · XGB
CHEMBL236_Ki,morgan,mlp,37,-0.0764288846729977,-0.0727926517611177,Morgan · MLP
CHEMBL236_Ki,morgan,xgboost,37,-0.0350320489545892,-0.045228155899397,Morgan · XGB
CHEMBL236_Ki,unimol,mlp,37,-0.0003507072225021,-0.0090842823100165,Uni-Mol · MLP
CHEMBL236_Ki,unimol,xgboost,37,0.0,0.0026846531990981,Uni-Mol · XGB
CHEMBL237_EC50,molformer,mlp,18,-0.0180529083663171,-0.0196423212011927,MoLFormer · MLP
CHEMBL237_EC50,molformer,xgboost,18,-0.0366292793112196,-0.0385024293137909,MoLFormer · XGB
CHEMBL237_EC50,morgan,mlp,18,0.0074607082911248,0.0036585033685241,Morgan · MLP
CHEMBL237_EC50,morgan,xgboost,18,-0.0168940145502644,-0.0225429129319754,Morgan · XGB
CHEMBL237_EC50,unimol,mlp,18,0.0466114143121709,0.0471523997834332,Uni-Mol · MLP
CHEMBL237_EC50,unimol,xgboost,18,0.0146317784834193,0.0109377996225966,Uni-Mol · XGB
CHEMBL237_Ki,molformer,mlp,40,-0.0269216016716179,-0.0288714981916586,MoLFormer · MLP
CHEMBL237_Ki,molformer,xgboost,40,-0.0210097001763667,-0.0159524753371997,MoLFormer · XGB
CHEMBL237_Ki,morgan,mlp,40,-0.0250545199054683,-0.0253018245758803,Morgan · MLP
CHEMBL237_Ki,morgan,xgboost,40,0.0519264002636287,0.0378070588063187,Morgan · XGB
CHEMBL237_Ki,unimol,mlp,40,-0.0063160782145434,-0.0002252059267196,Uni-Mol · MLP
CHEMBL237_Ki,unimol,xgboost,40,-0.0133754119431548,-0.0099827603962552,Uni-Mol · XGB
CHEMBL238_Ki,molformer,mlp,19,-0.000436765615337,0.0017655677655677,MoLFormer · MLP
CHEMBL238_Ki,molformer,xgboost,19,0.0,-0.0023736263736263,MoLFormer · XGB
