dataset,boundary_extended,strict_unmatched
CHEMBL1862_Ki,-0.013256753684833877,-0.058095381605838325
CHEMBL1871_Ki,-0.00732290010079115,-0.0189960765386092
CHEMBL2034_Ki,-0.0089520468076636,-0.023800969980914626
CHEMBL2047_EC50,-0.011789117620739675,-0.010053844822040525
CHEMBL204_Ki,-0.00820455277124955,-0.00711815190597065
CHEMBL2147_Ki,-0.0029356957942001,-0.008293433514032725
CHEMBL218_EC50,0.0060796630125431,-0.01293736654137735
CHEMBL219_Ki,-0.00667731702398655,-0.00867990458615455
CHEMBL228_Ki,-2.1270396270400057e-05,-0.00227591433930535
CHEMBL231_Ki,-0.031164023049621452,-0.0201569111746703
CHEMBL233_Ki,-0.01126724304654305,-0.017131282552202448
CHEMBL236_Ki,-0.012429688847293948,-0.0067148788638353
CHEMBL237_EC50,-0.007991908916334299,-0.010919724256815151
CHEMBL237_Ki,-0.012967617866727475,-0.014836153735163
CHEMBL238_Ki,-0.00209535821146225,0.0016880344605223
CHEMBL239_EC50,-0.01212467801756835,0.0017255178603562
CHEMBL244_Ki,-0.013573019855315576,-0.014355595521709424
CHEMBL262_Ki,-0.015057008522319549,-0.00628485622700025
CHEMBL264_Ki,0.0019053181163689917,-0.0124065817670609
CHEMBL2835_Ki,0.00619811484205425,-0.0189633019087012
CHEMBL287_Ki,0.0003800892200373499,0.00443539570473085
CHEMBL2971_Ki,-0.01135932148206425,-0.01689445674221265
CHEMBL3979_EC50,-0.012872978409615099,-0.018957978039281675
CHEMBL4005_Ki,-0.024836613940387497,-0.0440955580944846
CHEMBL4203_Ki,-0.025132081775513425,-0.0178314436885865
CHEMBL4616_EC50,-0.00478544459935265,-0.0089905996852625
CHEMBL4792_Ki,0.01727038948118865,-0.003192045961454175
