dataset,representation,predictor,permutations,spearman_defined_permutations,spearman_mean,spearman_sd,direction_accuracy_mean,direction_accuracy_sd,delta_mae_mean,delta_mae_sd,delta_rmse_mean,delta_rmse_sd,median_absolute_predicted_delta_mean,median_absolute_predicted_delta_sd
CHEMBL1862_Ki,molformer,mlp,10,10,0.23809523809523814,0.2497163924214647,0.5875,0.1449377260910507,2.213769867805428,0.03606495471117112,2.41788922711368,0.09948507794047376,0.12639293074607844,0.18823780274469942
CHEMBL1862_Ki,molformer,xgboost,10,10,0.12246057854253425,0.25338531993211894,0.5,0.21245914639969937,2.22502649703402,0.06992313583703406,2.420300234329951,0.07323772252243956,0.10859654545783992,0.05939702652363924
CHEMBL1862_Ki,morgan,mlp,10,10,0.29761904761904767,0.1348038710433574,0.725,0.12909944487358058,2.169879987625069,0.02884474097550693,2.3620056693343012,0.028302219307303093,0.10939962863922115,0.0267149986707362
CHEMBL1862_Ki,morgan,xgboost,10,9,0.05673640176578798,0.3536193662601623,0.2125,0.2433133553442739,2.2368352351464695,0.023993602869035378,2.423440863250648,0.023790474421868494,0.01711390018463134,0.04105436275340854
CHEMBL1862_Ki,unimol,mlp,10,10,0.20000000000000004,0.20487876571761976,0.5125,0.13756311682682648,2.233717840699143,0.060671727334664326,2.4015114304770275,0.05014868676757986,0.1314325213432312,0.07345319406306833
CHEMBL1862_Ki,unimol,xgboost,10,10,-0.13948285558564483,0.46477922808370986,0.35,0.23422448870925328,2.2777862889446685,0.10044134051543778,2.461865793703097,0.08267926890812143,0.09345093369483942,0.09433799622081555
CHEMBL1871_Ki,molformer,mlp,10,10,-0.14181818181818182,0.34109961006325945,0.3727272727272727,0.18899958944863848,1.6725642394716824,0.023876957887610913,1.7904609298754164,0.023447748743443148,0.05505853891372675,0.024255868648094866
CHEMBL1871_Ki,molformer,xgboost,10,10,-0.10209139729301353,0.314871224892616,0.38181818181818183,0.18080525927486424,1.6440541566199258,0.02836535467752019,1.7708904590588126,0.023440741247961996,0.05040168762207028,0.029104145443025167
CHEMBL1871_Ki,morgan,mlp,10,10,0.30363636363636365,0.148898619530443,0.49090909090909085,0.12271791958373686,1.653673601632341,0.028147816421276745,1.7861845281634174,0.08192121401165957,0.15479224920272822,0.11084772682793573
CHEMBL1871_Ki,morgan,xgboost,10,8,-0.008335483034954225,0.2524676871141857,0.13636363636363638,0.20214642521403534,1.6429172717138507,0.02322746313369231,1.7681775583293973,0.02302510370955958,0.017925095558166498,0.030514908812884763
CHEMBL1871_Ki,unimol,mlp,10,10,-0.11909090909090911,0.22827858224351913,0.4727272727272728,0.19069251784911845,1.6788391000271576,0.14389236352479004,1.8364981095221349,0.1560267672463261,0.187936520576477,0.16238386449474546
CHEMBL1871_Ki,unimol,xgboost,10,10,0.04706655322821658,0.2943857617393559,0.4909090909090909,0.18282549247270735,1.6385343752905108,0.026727418659506678,1.7581350696850033,0.02700712387319012,0.06347762346267696,0.07052917894468085
CHEMBL2034_Ki,molformer,mlp,10,10,-0.28881118881118883,0.2079183520811452,0.35,0.11653431646335019,1.5950667026019407,0.02009818034750623,1.7147560758119997,0.01865623464577855,0.04529099166393276,0.01944734515784357
CHEMBL2034_Ki,molformer,xgboost,10,10,-0.06399104274361474,0.2867005575892909,0.4083333333333333,0.23717082451262844,1.5743085590378754,0.03439238791962765,1.7019447823504947,0.034107708809355666,0.05422226786613461,0.036814001057819595
