representation,predictor,permutations,spearman_mean,spearman_sd,direction_accuracy_mean,direction_accuracy_sd,delta_mae_mean,delta_mae_sd,delta_rmse_mean,delta_rmse_sd
molformer,mlp,10,-2.2038419097240163e-05,0.059999201071971556,0.49269792225818954,0.024946374957142893,1.7750628527140448,0.02157201891354814,1.8911278422383215,0.01852849392258084
molformer,xgboost,10,0.010082718543483736,0.06243640328638694,0.38083984192426196,0.06158552037679643,1.769146771051814,0.01323402859795981,1.893111689386134,0.019730041986532453
morgan,mlp,10,0.01453475635458063,0.042086179635927895,0.5142946675768953,0.014006274383715345,1.7758146111523996,0.026051073728620616,1.9005403690319462,0.01623155174882455
morgan,xgboost,10,-0.006986219799742517,0.060051999913793855,0.1476843807992011,0.05433402675053022,1.778952668998792,0.012957472976684568,1.9047836925669297,0.019851462378560395
unimol,mlp,10,0.011774562931607089,0.04987788610171641,0.5016300843775404,0.020361367986201064,1.7727221071378794,0.01911003038651762,1.9036908010018856,0.029359136232750497
unimol,xgboost,10,0.010120003366971227,0.06259327863271659,0.45835739423974714,0.04245330233512084,1.7705328695374356,0.008054549747542435,1.892465634276541,0.01559161461441779
