permutations_used,permutation_ids,target_balanced_trained_nap,target_balanced_random_nap,target_balanced_trained_minus_random_nap,targets,full_10_trained_minus_random_nap,difference_from_10,absolute_difference_from_10
1,42,0.09175434828985314,0.0972433219451697,0.0003145664067949656,27,-0.01860139088345425,0.018915957290249214,0.018915957290249214
3,"42,43,44",0.09175434828985314,0.12557309791523646,-0.015453034858118133,27,-0.01860139088345425,0.0031483560253361166,0.0031483560253361166
5,"42,43,44,45,46",0.09175434828985314,0.13625022705582718,-0.01815226948710701,27,-0.01860139088345425,0.00044912139634724,0.00044912139634724
10,"42,43,44,45,46,47,48,49,50,51",0.09175434828985314,0.13279277643699466,-0.01860139088345425,27,-0.01860139088345425,0.0,0.0
