dataset,representation,predictor,explainer,trained_seed_mean_nap,random_permutation_mean_nap,trained_minus_random_nap,test_pairs,permutations_used,permutation_ids,full_10_trained_minus_random_nap,difference_from_10,absolute_difference_from_10
CHEMBL1862_Ki,molformer,mlp,crem_lime,0.07364664892682986,-0.0020155590015001473,0.015186058715308533,8,1,42,-0.04710870219750453,0.062294760912813066,0.062294760912813066
CHEMBL1862_Ki,molformer,mlp,crem_mean,0.12576707695458073,0.18050558521274895,0.0026039485862443413,8,1,42,-0.06789591356726893,0.07049986215351327,0.07049986215351327
CHEMBL1862_Ki,molformer,xgboost,crem_lime,0.07537934600465765,0.014207001321120499,0.05881231269821455,8,1,42,-0.04488186148547488,0.10369417418368942,0.10369417418368942
CHEMBL1862_Ki,molformer,xgboost,crem_mean,0.1806745835662481,0.12142441601242836,0.012234725988126862,8,1,42,0.014100217934463068,-0.001865491946336206,0.001865491946336206
CHEMBL1862_Ki,morgan,mlp,crem_lime,-0.01573924214384073,0.18730708355187745,-0.17269373453545567,8,1,42,-0.21389765569007296,0.041203921154617296,0.041203921154617296
CHEMBL1862_Ki,morgan,mlp,crem_mean,0.1596171672790891,0.24776633180268084,-0.11517860908758498,8,1,42,-0.14287926757706962,0.027700658489484636,0.027700658489484636
CHEMBL1862_Ki,morgan,xgboost,crem_lime,0.06345884846429475,0.07578050349749804,-0.00039737365743819364,8,1,42,-0.06368912215559445,0.06329174849815626,0.06329174849815626
CHEMBL1862_Ki,morgan,xgboost,crem_mean,0.10504708564897045,0.0787672343184765,0.047747242634841744,8,1,42,0.037362365485396926,0.010384877149444818,0.010384877149444818
CHEMBL1862_Ki,unimol,mlp,crem_lime,0.09814101543070947,0.080505682054195,0.032203797323504486,8,1,42,-0.02397129000252772,0.05617508732603221,0.05617508732603221
CHEMBL1862_Ki,unimol,mlp,crem_mean,0.10387890152728932,0.14006379300345925,0.05935494304922268,8,1,42,0.027256132260846756,0.032098810788375925,0.032098810788375925
CHEMBL1862_Ki,unimol,xgboost,crem_lime,0.05736885898983819,0.19939210793237439,-0.19897592744216744,8,1,42,-0.018599060169143505,-0.18037686727302393,0.18037686727302393
CHEMBL1862_Ki,unimol,xgboost,crem_mean,0.24093611960873318,0.12714826958793907,0.1322467957127839,8,1,42,0.07995228575306772,0.05229450995971617,0.05229450995971617
CHEMBL1871_Ki,molformer,mlp,crem_lime,0.11322997171464948,0.0002051133148694,0.18852813096767648,11,1,42,0.07072253214447122,0.11780559882320527,0.11780559882320527
CHEMBL1871_Ki,molformer,mlp,crem_mean,0.0651602628230779,0.1143617021276595,-0.016488190172400736,11,1,42,0.017549683960097,-0.03403787413249773,0.03403787413249773
CHEMBL1871_Ki,molformer,xgboost,crem_lime,0.14789792622052958,0.0812370870808556,0.10310566998698444,11,1,42,0.08460427577775381,0.018501394209230623,0.018501394209230623
CHEMBL1871_Ki,molformer,xgboost,crem_mean,0.12955960161842506,0.2100127197280898,-0.006033324939142066,11,1,42,-0.020559349322479548,0.014526024383337482,0.014526024383337482
CHEMBL1871_Ki,morgan,mlp,crem_lime,0.18956271649031262,0.1938593142758072,0.006971326627019381,11,1,42,-0.04330542048686317,0.05027674711388255,0.05027674711388255
CHEMBL1871_Ki,morgan,mlp,crem_mean,0.0543902030509173,0.0806122448979591,0.01234827264239027,11,1,42,0.00025176230843466235,0.012096510333955608,0.012096510333955608
