representation,predictor,explainer,permutation_id,target_balanced_median_normalized_ap_lift,targets
molformer,mlp,crem_lime,42,0.0806046212757653,27
molformer,mlp,crem_lime,43,0.07909107320184355,27
molformer,mlp,crem_lime,44,0.09264660458132845,27
molformer,mlp,crem_lime,45,0.058175955735822155,27
molformer,mlp,crem_lime,46,0.064872023052801,27
molformer,mlp,crem_lime,47,0.0560740227367272,27
molformer,mlp,crem_lime,48,0.05399931498043705,27
molformer,mlp,crem_lime,49,0.06977868198539965,27
molformer,mlp,crem_lime,50,0.0839068763027095,27
molformer,mlp,crem_lime,51,0.0872127067779241,27
molformer,mlp,crem_mean,42,0.10887403337403335,27
molformer,mlp,crem_mean,43,0.0933104420026163,27
molformer,mlp,crem_mean,44,0.0897911787835392,27
molformer,mlp,crem_mean,45,0.0930944503525148,27
molformer,mlp,crem_mean,46,0.1105639220871028,27
molformer,mlp,crem_mean,47,0.08886034848088209,27
molformer,mlp,crem_mean,48,0.104938981402156,27
molformer,mlp,crem_mean,49,0.10956516060530491,27
molformer,mlp,crem_mean,50,0.09725309840616114,27
molformer,mlp,crem_mean,51,0.0936507936507936,27
molformer,xgboost,crem_lime,42,0.0556818181818182,27
molformer,xgboost,crem_lime,43,0.0803371343753831,27
molformer,xgboost,crem_lime,44,0.05441665011663595,27
molformer,xgboost,crem_lime,45,0.06532952362604955,27
molformer,xgboost,crem_lime,46,0.0827110389610389,27
molformer,xgboost,crem_lime,47,0.059590058968559595,27
molformer,xgboost,crem_lime,48,0.0738299818550777,27
molformer,xgboost,crem_lime,49,0.06436150965869525,27
molformer,xgboost,crem_lime,50,0.0771080985843084,27
molformer,xgboost,crem_lime,51,0.10054556355243695,27
molformer,xgboost,crem_mean,42,0.10226400464967636,27
molformer,xgboost,crem_mean,43,0.0908624502432552,27
molformer,xgboost,crem_mean,44,0.10054419361176585,27
molformer,xgboost,crem_mean,45,0.0923700797147859,27
molformer,xgboost,crem_mean,46,0.102134910109048,27
molformer,xgboost,crem_mean,47,0.0594762142738154,27
molformer,xgboost,crem_mean,48,0.0897435566040216,27
molformer,xgboost,crem_mean,49,0.0618387748598861,27
molformer,xgboost,crem_mean,50,0.08231064330408555,27
molformer,xgboost,crem_mean,51,0.0831173577884104,27
morgan,mlp,crem_lime,42,0.0889416272822186,27
morgan,mlp,crem_lime,43,0.1314727940220155,27
morgan,mlp,crem_lime,44,0.13312838025630883,27
morgan,mlp,crem_lime,45,0.10802720183949385,27
morgan,mlp,crem_lime,46,0.114818560047762,27
morgan,mlp,crem_lime,47,0.1182881076642891,27
morgan,mlp,crem_lime,48,0.1394856964953256,27
morgan,mlp,crem_lime,49,0.1282101864412871,27
morgan,mlp,crem_lime,50,0.08816373015911466,27
morgan,mlp,crem_lime,51,0.1284232804232804,27
morgan,mlp,crem_mean,42,0.10693766374482219,27
morgan,mlp,crem_mean,43,0.1215277777777777,27
morgan,mlp,crem_mean,44,0.102961942088905,27
morgan,mlp,crem_mean,45,0.1080730963883137,27
morgan,mlp,crem_mean,46,0.1211343732895457,27
