representation,predictor,explainer,target_balanced_trained_nap,target_balanced_random_nap,target_balanced_trained_minus_random_nap,targets,permutations_used,permutation_ids,full_10_trained_minus_random_nap,difference_from_10,absolute_difference_from_10
molformer,mlp,crem_lime,0.07397036587487008,0.0806046212757653,0.0,27,1,42,-0.034101962556831025,0.034101962556831025,0.034101962556831025
molformer,mlp,crem_mean,0.08040408664299416,0.10887403337403335,0.0,27,1,42,-0.00872336956401381,0.00872336956401381,0.00872336956401381
molformer,xgboost,crem_lime,0.08498574012329882,0.0556818181818182,0.013129897048071635,27,1,42,-0.03346605295859932,0.04659595000667095,0.04659595000667095
molformer,xgboost,crem_mean,0.09149980058265719,0.10226400464967636,0.0005408563224638868,27,1,42,-0.012401445760497478,0.012942302082961364,0.012942302082961364
morgan,mlp,crem_lime,0.09563225996512903,0.0889416272822186,0.00038684081921508406,27,1,42,-0.045341154077810454,0.04572799489702554,0.04572799489702554
morgan,mlp,crem_mean,0.09348907193692448,0.10693766374482219,-0.0007962896599772989,27,1,42,-0.01885237817622623,0.01805608851624893,0.01805608851624893
morgan,xgboost,crem_lime,0.040230179336101346,0.0392781395828215,-0.0018547838957202606,27,1,42,-0.08644123086443797,0.08458644696871771,0.08458644696871771
morgan,xgboost,crem_mean,0.0793128508379837,0.0747373286435786,0.0,27,1,42,-0.018631098375656144,0.018631098375656144,0.018631098375656144
unimol,mlp,crem_lime,0.08308362447215921,0.0820983414733414,0.0,27,1,42,-0.014382966505544409,0.014382966505544409,0.014382966505544409
unimol,mlp,crem_mean,0.10041329391306061,0.1119096360134964,0.0,27,1,42,-0.002875968638234491,0.002875968638234491,0.002875968638234491
unimol,xgboost,crem_lime,0.09392523041620304,0.0541933132254606,0.005165412586919604,27,1,42,-0.018292132990177415,0.02345754557709702,0.02345754557709702
unimol,xgboost,crem_mean,0.1091551298046829,0.10412395455426826,0.0,27,1,42,-0.0030426456226819755,0.0030426456226819755,0.0030426456226819755
molformer,mlp,crem_lime,0.07397036587487008,0.12359180692257568,-0.022616842156708197,27,3,"42,43,44",-0.034101962556831025,0.011485120400122829,0.011485120400122829
molformer,mlp,crem_mean,0.08040408664299416,0.11339127859913767,-0.004194276907499704,27,3,"42,43,44",-0.00872336956401381,0.004529092656514105,0.004529092656514105
molformer,xgboost,crem_lime,0.08498574012329882,0.11661404978779696,-0.02126692574786733,27,3,"42,43,44",-0.03346605295859932,0.012199127210731991,0.012199127210731991
molformer,xgboost,crem_mean,0.09149980058265719,0.11343231860067975,-0.0098406139412207,27,3,"42,43,44",-0.012401445760497478,0.002560831819276778,0.002560831819276778
morgan,mlp,crem_lime,0.09563225996512903,0.1705975179790591,-0.050365932990227597,27,3,"42,43,44",-0.045341154077810454,-0.005024778912417142,0.005024778912417142
morgan,mlp,crem_mean,0.09348907193692448,0.1430924417518971,-0.011500503829554838,27,3,"42,43,44",-0.01885237817622623,0.0073518743466713925,0.0073518743466713925
morgan,xgboost,crem_lime,0.040230179336101346,0.13547547641952673,-0.06741721057800314,27,3,"42,43,44",-0.08644123086443797,0.019024020286434837,0.019024020286434837
morgan,xgboost,crem_mean,0.0793128508379837,0.07982867708486907,-0.011900858228680382,27,3,"42,43,44",-0.018631098375656144,0.006730240146975762,0.006730240146975762
unimol,mlp,crem_lime,0.08308362447215921,0.11728699302814549,-0.01658088514801591,27,3,"42,43,44",-0.014382966505544409,-0.0021979186424714997,0.0021979186424714997
unimol,mlp,crem_mean,0.10041329391306061,0.1237262476694062,-0.002225932871833527,27,3,"42,43,44",-0.002875968638234491,0.0006500357664009637,0.0006500357664009637
unimol,xgboost,crem_lime,0.09392523041620304,0.11451868091692441,-0.015073897449026381,27,3,"42,43,44",-0.018292132990177415,0.0032182355411510336,0.0032182355411510336
unimol,xgboost,crem_mean,0.1091551298046829,0.1249691360811966,-0.0025586485459526687,27,3,"42,43,44",-0.0030426456226819755,0.00048399707672930684,0.00048399707672930684
molformer,mlp,crem_lime,0.07397036587487008,0.12246232683906694,-0.034484881863840945,27,5,"42,43,44,45,46",-0.034101962556831025,-0.0003829193070099199,0.0003829193070099199
molformer,mlp,crem_mean,0.08040408664299416,0.12126820999741456,-0.00599438741540087,27,5,"42,43,44,45,46",-0.00872336956401381,0.0027289821486129393,0.0027289821486129393
