dataset,representation,predictor,explainer,permutation_id,permutation_seed,median_normalized_ap_lift,mean_normalized_ap_lift,test_pairs
CHEMBL1862_Ki,morgan,mlp,crem_mean,43,20260945,0.263037943428961,0.3073483545076289,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,44,20260946,0.30625717112190515,0.22671504631895478,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,45,20260947,0.24072790684905693,0.23456585993864396,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,46,20260948,0.3393321379490874,0.32592278150751014,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,47,20260949,0.23234292761466402,0.2569867882788328,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,48,20260950,0.26508738621231387,0.2534217205788042,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,49,20260951,0.3521949029069772,0.39435956895001656,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,50,20260952,0.29935843109877647,0.398888947931199,8
CHEMBL1862_Ki,morgan,mlp,crem_mean,51,20260953,0.17450371559818675,0.25066724018301917,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,20260944,0.07578050349749804,0.19711682593922036,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,43,20260945,-0.0059615903725924995,0.04861469069826116,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,44,20260946,0.02858612975652625,-0.0014667438568272372,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,45,20260947,0.06120590441877215,0.1332168282804801,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,46,20260948,0.29715187813589017,0.2702203808358335,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,47,20260949,0.0452153603256058,-0.03223900564095315,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,48,20260950,-0.016642799884610447,0.013469030082999184,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,49,20260951,0.03147083047094185,0.14999381343275636,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,50,20260952,0.07678573382095895,0.15011374160435612,8
CHEMBL1862_Ki,morgan,xgboost,crem_lime,51,20260953,0.21818774296274723,0.18449876392887415,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,20260944,0.0787672343184765,0.16869891168089696,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,43,20260945,0.0,0.037995902957644934,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,44,20260946,0.062315475242493854,0.04120768564072608,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,45,20260947,0.0108695652173915,0.04334320114318688,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,46,20260948,0.23771891759238167,0.26195140964613184,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,47,20260949,0.09835856886267436,0.01615148896311172,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,48,20260950,0.0,0.024410652700126375,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,49,20260951,0.0155757984705352,0.050423066741716586,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,50,20260952,0.0234304813967283,0.08507007456163622,8
CHEMBL1862_Ki,morgan,xgboost,crem_mean,51,20260953,0.1013525021677195,0.1072280469556799,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,42,20260944,0.080505682054195,0.040472810315056784,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,43,20260945,0.0171485069801194,0.03145921852162921,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,44,20260946,0.2345644043986732,0.20302024053298762,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,45,20260947,0.053253400615525706,0.10302381559214094,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,46,20260948,0.0106862971236729,-0.04663741646763214,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,47,20260949,0.0337079192241457,0.01783186185086818,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,48,20260950,0.0366326703730347,0.04523843758744488,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,49,20260951,0.16602349114273912,0.15469220105121315,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,50,20260952,0.1681425047162871,0.09669789347949807,8
CHEMBL1862_Ki,unimol,mlp,crem_lime,51,20260953,0.07585346975755905,0.09013752489376506,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,42,20260944,0.14006379300345925,0.05958759908628991,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,43,20260945,0.049964016070359496,0.0924763041013966,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,44,20260946,0.2151642851379399,0.12149926500184921,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,45,20260947,0.050547729955851196,0.07612554761331408,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,46,20260948,0.08206062449670615,0.06252559963205759,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,47,20260949,0.1487318589220763,0.1105613439192877,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,48,20260950,0.1059106291931495,0.05526262091336697,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,49,20260951,0.18977829342956698,0.12569549066029181,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,50,20260952,0.1367635297513693,0.13458159005850992,8
CHEMBL1862_Ki,unimol,mlp,crem_mean,51,20260953,0.1278829161198011,0.1864652092386681,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,42,20260944,0.19939210793237439,0.24940508232214167,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,43,20260945,0.06437214437501075,0.12978257045446503,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,44,20260946,0.14308249143636842,0.2377550747669187,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,45,20260947,-0.0064124222646693005,0.03724636923953704,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,46,20260948,0.0220941381241732,0.03098725912495319,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,47,20260949,0.09531697179805959,0.09986563660225306,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,48,20260950,-0.07667889895993729,-0.019748750440722194,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,49,20260951,0.01413559261053755,0.01655537110806743,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,50,20260952,0.12776852405707909,0.10354510489262865,8
CHEMBL1862_Ki,unimol,xgboost,crem_lime,51,20260953,0.01390752695868165,0.07014396260618735,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,42,20260944,0.12714826958793907,0.12053312184494423,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,43,20260945,0.14924176379929904,0.26796715093308504,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,44,20260946,0.2898709370703476,0.22348435337872086,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,45,20260947,0.10407284365269309,0.06429611715433108,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,46,20260948,0.14411226727145382,0.14419188713456765,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,47,20260949,0.16778158282872985,0.17336059253208547,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,48,20260950,0.07777389361593845,0.09850818245189472,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,49,20260951,0.1429488245438968,0.12107643965024832,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,50,20260952,0.21351844506586035,0.23873660347401807,8
CHEMBL1862_Ki,unimol,xgboost,crem_mean,51,20260953,0.1314810533702888,0.1745466560639179,8
CHEMBL1871_Ki,molformer,mlp,crem_lime,42,20261944,0.0002051133148694,0.07107889203522084,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,43,20261945,0.0133352501437607,0.04794375090058389,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,44,20261946,0.0981540918723028,0.24579165578079246,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,45,20261947,0.0954094516594517,0.19220182464674113,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,46,20261948,0.006937879318394,0.12813314477645846,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,47,20261949,0.0156972817175047,0.09017908280346563,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,48,20261950,0.2006236030788727,0.14493419665160126,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,49,20261951,0.0298043726373297,0.08932554177059294,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,50,20261952,0.1722269689374952,0.21991588752654093,11
CHEMBL1871_Ki,molformer,mlp,crem_lime,51,20261953,0.0882205866580866,0.10848726140162589,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,42,20261944,0.1143617021276595,0.1936046073193289,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,43,20261945,0.0465425531914893,0.08100691517223807,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,44,20261946,0.0941964285714286,0.1584813645093846,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,45,20261947,0.0967261904761905,0.24410942757336923,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,46,20261948,0.1143617021276595,0.14432145345081612,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,47,20261949,0.1143617021276595,0.09326019019465927,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,48,20261950,0.1269909537776328,0.14545605153024274,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,49,20261951,0.1142279988918644,0.14861228587178593,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,50,20261952,0.18258873130668,0.16155265294019402,11
CHEMBL1871_Ki,molformer,mlp,crem_mean,51,20261953,0.1767361111111111,0.19980301910675477,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,42,20261944,0.0812370870808556,0.13196843313631018,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,43,20261945,0.0011775223282412,0.050586505798169375,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,44,20261946,-0.0062556047463167,0.03138044927408031,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,45,20261947,0.0609451347818087,0.08447138661898736,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,46,20261948,0.0532329372754904,0.1443126655019037,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,47,20261949,0.0134667609594547,0.10379672795340959,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,48,20261950,0.0031233623309925,0.052253176656143256,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,49,20261951,0.1364469925901394,0.14780278431191937,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,50,20261952,0.0372036729637901,0.10205711215391253,11
CHEMBL1871_Ki,molformer,xgboost,crem_lime,51,20261953,0.2056157914163061,0.20673227479170778,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,42,20261944,0.2100127197280898,0.16266433914541253,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,43,20261945,0.0886479591836734,0.07756945009099485,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,44,20261946,0.0691489361702127,0.12594568440026932,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,45,20261947,0.1323099415204678,0.15741591511384315,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,46,20261948,0.1230271464646464,0.18208557295848096,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,47,20261949,0.0,0.15620422911058196,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,48,20261950,0.0655588624338624,0.12920750701226477,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,49,20261951,0.0535714285714285,0.11680536015802202,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,50,20261952,0.1197916666666666,0.1207983035793232,11
CHEMBL1871_Ki,molformer,xgboost,crem_mean,51,20261953,0.1586964759378552,0.18825117150162918,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,42,20261944,0.1938593142758072,0.247555785972504,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,43,20261945,0.2561561648382622,0.3341336549929684,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,44,20261946,0.1643018018018018,0.14769523293188477,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,45,20261947,0.1857435109461379,0.19880930171959754,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,46,20261948,0.1068967706058023,0.1596342181431719,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,47,20261949,0.0930129817078346,0.16207874355259164,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,48,20261950,0.1894914113479583,0.25930692511822934,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,49,20261951,0.3034474206349206,0.3311039843820062,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,50,20261952,0.1417247750918432,0.2922457911525424,11
CHEMBL1871_Ki,morgan,mlp,crem_lime,51,20261953,0.276595744680851,0.28983365483068185,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,42,20261944,0.0806122448979591,0.16939456104978554,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,43,20261945,0.1598039215686273,0.1919952607618767,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,44,20261946,0.1019230769230769,0.12007122365260149,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,45,20261947,0.2502893518518518,0.290463421322598,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,46,20261948,0.205913134484563,0.20496976739220127,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,47,20261949,0.0615500570857713,0.1378560031173017,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,48,20261950,0.1026492983277754,0.20095629125939274,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,49,20261951,0.2336805555555555,0.22831738783884942,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,50,20261952,0.052312271062271,0.13986801884659866,11
CHEMBL1871_Ki,morgan,mlp,crem_mean,51,20261953,0.0758241758241758,0.16182868930643354,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,42,20261944,0.0113679424024251,0.09727393117390007,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,43,20261945,0.0652739097876829,0.1311547937294399,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,44,20261946,0.0692279048927876,0.18270323741063998,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,45,20261947,0.041555690062823,0.1003280667307236,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,46,20261948,0.1720364741641337,0.18814274102211248,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,47,20261949,0.1014397336607446,0.10270748491730392,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,48,20261950,0.1828528861997176,0.24814024111567312,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,49,20261951,0.0516268203455764,0.12679027518721947,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,50,20261952,0.1380984042553191,0.16676397194229847,11
CHEMBL1871_Ki,morgan,xgboost,crem_lime,51,20261953,0.1300801141487416,0.1947016327496307,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,42,20261944,0.0,0.009384709625476974,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,43,20261945,0.0442546583850931,0.07306865795420309,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,44,20261946,0.0833333333333333,0.12165277544665799,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,45,20261947,0.0,0.06975297002296965,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,46,20261948,0.1182266009852216,0.1504578892937271,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,47,20261949,0.0,0.04766118568639575,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,48,20261950,0.0351307189542483,0.2325394595612237,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,49,20261951,0.0,0.058700503099433636,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,50,20261952,0.0,0.012987012987012981,11
CHEMBL1871_Ki,morgan,xgboost,crem_mean,51,20261953,0.183564711150918,0.1982948270275628,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,42,20261944,0.1473662405872932,0.21898856183452275,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,43,20261945,0.1612254578452401,0.17503078167361477,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,44,20261946,0.101778715405535,0.22316562446791585,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,45,20261947,0.2211511894006171,0.15470847185861514,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,46,20261948,0.1897419485547434,0.25816427977934614,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,47,20261949,0.0731105704302068,0.10945587178763243,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,48,20261950,0.0397896635176931,0.10171224204144598,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,49,20261951,0.0053453604183262,0.0620272544916912,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,50,20261952,0.2983262979898906,0.2595993677827105,11
CHEMBL1871_Ki,unimol,mlp,crem_lime,51,20261953,0.0339072571495483,0.08260884250926853,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,42,20261944,0.1944362671384342,0.21642031921276478,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,43,20261945,0.1609966422466422,0.18500739111809636,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,44,20261946,0.1046007814065317,0.2122672418449498,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,45,20261947,0.121945404848596,0.2181629121669431,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,46,20261948,0.1365131578947368,0.2186989150576526,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,47,20261949,0.0385204081632653,0.1646161453844683,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,48,20261950,0.144477450715636,0.1468771742079232,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,49,20261951,0.1259803921568627,0.13641965795056024,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,50,20261952,0.2889582889409759,0.30101089172246376,11
CHEMBL1871_Ki,unimol,mlp,crem_mean,51,20261953,0.0490425723344977,0.10280582893820632,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,42,20261944,0.1224872297827337,0.1663039546432409,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,43,20261945,-0.0077670111300167,0.06437335755234636,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,44,20261946,0.0814452292800226,0.14551313952062753,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,45,20261947,0.0066286687963535,0.07395967532409813,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,46,20261948,0.150854196349222,0.21291806223679274,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,47,20261949,0.1846748697698452,0.2319112060707935,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,48,20261950,0.0718757013954687,0.14217151515085724,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,49,20261951,-0.0371325580756276,-0.02974903939147189,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,50,20261952,0.0302701879823853,0.12382011548863246,11
CHEMBL1871_Ki,unimol,xgboost,crem_lime,51,20261953,0.0890777700560309,0.18528904344819982,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,42,20261944,0.1143617021276595,0.17246229930599724,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,43,20261945,0.0675925925925925,0.16360187675156979,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,44,20261946,0.072337962962963,0.1626265094598791,11
