dataset,representation,predictor,seed,variant,parent_rows,mutant_rows,reference_max_abs_difference
CHEMBL244_Ki,morgan,mlp,23,trained,206,8930,9.5367431640625e-07
CHEMBL244_Ki,morgan,mlp,42,label_permuted,206,8930,4.76837158203125e-07
CHEMBL244_Ki,morgan,mlp,42,trained,206,8930,9.5367431640625e-07
CHEMBL244_Ki,morgan,xgboost,11,label_permuted,206,8930,1.1920928959519017e-06
CHEMBL244_Ki,morgan,xgboost,11,trained,206,8930,7.033348083496094e-06
CHEMBL244_Ki,morgan,xgboost,23,label_permuted,206,8930,2.384185791015625e-07
CHEMBL244_Ki,morgan,xgboost,23,trained,206,8930,3.814697265625e-06
CHEMBL244_Ki,morgan,xgboost,42,label_permuted,206,8930,4.76837158203125e-07
CHEMBL244_Ki,morgan,xgboost,42,trained,206,8930,4.76837158203125e-06
CHEMBL4616_EC50,molformer,mlp,11,label_permuted,38,1526,2.384185793236071e-07
CHEMBL4616_EC50,molformer,mlp,11,trained,38,1526,2.384185791015625e-07
CHEMBL4616_EC50,molformer,mlp,23,label_permuted,38,1526,1.1920928977282585e-07
CHEMBL4616_EC50,molformer,mlp,23,trained,38,1526,2.384185791015625e-07
CHEMBL4616_EC50,molformer,mlp,42,label_permuted,38,1526,1.1920928955078125e-07
CHEMBL4616_EC50,molformer,mlp,42,trained,38,1526,2.384185791015625e-07
CHEMBL4616_EC50,molformer,xgboost,11,label_permuted,38,1526,2.220446049250313e-16
CHEMBL4616_EC50,molformer,xgboost,11,trained,38,1526,4.76837158203125e-07
CHEMBL4616_EC50,molformer,xgboost,23,label_permuted,38,1526,1.1920928977282585e-07
CHEMBL4616_EC50,molformer,xgboost,23,trained,38,1526,1.9073486323684108e-06
CHEMBL4616_EC50,molformer,xgboost,42,label_permuted,38,1526,2.384185791015625e-07
CHEMBL4616_EC50,molformer,xgboost,42,trained,38,1526,1.4305114748314196e-06
CHEMBL239_EC50,molformer,mlp,11,label_permuted,130,6745,2.384185791015625e-07
CHEMBL239_EC50,molformer,mlp,11,trained,130,6745,4.76837158203125e-07
CHEMBL239_EC50,molformer,mlp,23,label_permuted,130,6745,2.384185795456517e-07
CHEMBL239_EC50,molformer,mlp,23,trained,130,6745,4.768371586472142e-07
CHEMBL239_EC50,molformer,mlp,42,label_permuted,130,6745,2.384185795456517e-07
CHEMBL239_EC50,molformer,mlp,42,trained,130,6745,4.76837158203125e-07
CHEMBL239_EC50,molformer,xgboost,11,label_permuted,130,6745,2.384185795456517e-07
CHEMBL239_EC50,molformer,xgboost,11,trained,130,6745,3.576278687411616e-06
CHEMBL239_EC50,molformer,xgboost,23,label_permuted,130,6745,4.76837158203125e-07
CHEMBL239_EC50,molformer,xgboost,23,trained,130,6745,4.529953002485598e-06
CHEMBL239_EC50,molformer,xgboost,42,label_permuted,130,6745,2.384185790571536e-06
CHEMBL239_EC50,molformer,xgboost,42,trained,130,6745,3.0994415283203125e-06
CHEMBL2835_Ki,molformer,mlp,11,label_permuted,20,357,1.3411045066136218e-07
CHEMBL2835_Ki,molformer,mlp,11,trained,20,357,4.76837158203125e-07
CHEMBL2835_Ki,molformer,mlp,23,label_permuted,20,357,1.4901161199398771e-07
CHEMBL2835_Ki,molformer,mlp,23,trained,20,357,4.76837158203125e-07
CHEMBL2835_Ki,molformer,mlp,42,label_permuted,20,357,1.1920928955078125e-07
CHEMBL2835_Ki,molformer,mlp,42,trained,20,357,2.384185791015625e-07
CHEMBL2835_Ki,molformer,xgboost,11,label_permuted,20,357,4.172325134277344e-07
CHEMBL2835_Ki,molformer,xgboost,11,trained,20,357,4.76837158203125e-07
CHEMBL2835_Ki,molformer,xgboost,23,label_permuted,20,357,5.551115123125783e-17
CHEMBL2835_Ki,molformer,xgboost,23,trained,20,357,4.76837158203125e-07
CHEMBL2835_Ki,molformer,xgboost,42,label_permuted,20,357,5.960464477539063e-08
CHEMBL2835_Ki,molformer,xgboost,42,trained,20,357,3.5762786865234375e-07
CHEMBL2147_Ki,molformer,mlp,11,label_permuted,54,1537,2.384185791015625e-07
CHEMBL2147_Ki,molformer,mlp,11,trained,54,1537,4.768371583141473e-07
CHEMBL2147_Ki,molformer,mlp,23,label_permuted,54,1537,2.384185791015625e-07
CHEMBL2147_Ki,molformer,mlp,23,trained,54,1537,4.76837158203125e-07
CHEMBL2147_Ki,molformer,mlp,42,label_permuted,54,1537,2.384185791015625e-07
CHEMBL2147_Ki,molformer,mlp,42,trained,54,1537,4.76837158203125e-07
CHEMBL2147_Ki,molformer,xgboost,11,label_permuted,54,1537,2.220446049250313e-16
CHEMBL2147_Ki,molformer,xgboost,11,trained,54,1537,3.337860107421875e-06
CHEMBL2147_Ki,molformer,xgboost,23,label_permuted,54,1537,3.5762786865234375e-07
CHEMBL2147_Ki,molformer,xgboost,23,trained,54,1537,4.0531158447265625e-06
CHEMBL2147_Ki,molformer,xgboost,42,label_permuted,54,1537,1.1920928977282585e-07
CHEMBL2147_Ki,molformer,xgboost,42,trained,54,1537,6.67572021484375e-06
CHEMBL287_Ki,molformer,mlp,11,label_permuted,102,2558,1.1920928977282585e-07
CHEMBL287_Ki,molformer,mlp,11,trained,102,2558,4.76837158203125e-07
CHEMBL287_Ki,molformer,mlp,23,label_permuted,102,2558,2.384185791015625e-07
CHEMBL287_Ki,molformer,mlp,23,trained,102,2558,4.76837158203125e-07
CHEMBL287_Ki,molformer,mlp,42,label_permuted,102,2558,1.1920928955078125e-07
CHEMBL287_Ki,molformer,mlp,42,trained,102,2558,4.76837158203125e-07
CHEMBL287_Ki,molformer,xgboost,11,label_permuted,102,2558,4.76837158203125e-07
CHEMBL287_Ki,molformer,xgboost,11,trained,102,2558,4.76837158203125e-06
CHEMBL287_Ki,molformer,xgboost,23,label_permuted,102,2558,2.220446049250313e-16
CHEMBL287_Ki,molformer,xgboost,23,trained,102,2558,4.5299530029296875e-06
CHEMBL287_Ki,molformer,xgboost,42,label_permuted,102,2558,4.76837158203125e-07
CHEMBL287_Ki,molformer,xgboost,42,trained,102,2558,2.384185791015625e-06
CHEMBL244_Ki,molformer,mlp,11,label_permuted,206,8930,2.384185795456517e-07
CHEMBL244_Ki,molformer,mlp,11,trained,206,8930,7.152557373879542e-07
CHEMBL244_Ki,molformer,mlp,23,label_permuted,206,8930,4.76837158203125e-07
CHEMBL244_Ki,molformer,mlp,23,trained,206,8930,7.152557373046875e-07
CHEMBL244_Ki,molformer,mlp,42,label_permuted,206,8930,2.384185791015625e-07
CHEMBL244_Ki,molformer,mlp,42,trained,206,8930,9.5367431640625e-07
CHEMBL244_Ki,molformer,xgboost,11,label_permuted,206,8930,4.440892098500626e-16
CHEMBL244_Ki,molformer,xgboost,11,trained,206,8930,4.76837158203125e-06
CHEMBL244_Ki,molformer,xgboost,23,label_permuted,206,8930,1.1920928977282585e-07
CHEMBL244_Ki,molformer,xgboost,23,trained,206,8930,6.198883056640625e-06
CHEMBL244_Ki,molformer,xgboost,42,label_permuted,206,8930,1.1920928999487046e-07
CHEMBL244_Ki,molformer,xgboost,42,trained,206,8930,3.337860107421875e-06
CHEMBL4616_EC50,unimol,mlp,11,label_permuted,38,1526,1.1920928955078125e-07
CHEMBL4616_EC50,unimol,mlp,11,trained,38,1526,1.1920928977282585e-07
CHEMBL4616_EC50,unimol,mlp,23,label_permuted,38,1526,1.1920928955078125e-07
CHEMBL4616_EC50,unimol,mlp,23,trained,38,1526,2.384185791015625e-07
CHEMBL4616_EC50,unimol,mlp,42,label_permuted,38,1526,1.1920928977282585e-07
CHEMBL4616_EC50,unimol,mlp,42,trained,38,1526,2.384185786574733e-07
CHEMBL4616_EC50,unimol,xgboost,11,label_permuted,38,1526,2.220446049250313e-16
CHEMBL4616_EC50,unimol,xgboost,11,trained,38,1526,1.9073486328125e-06
CHEMBL4616_EC50,unimol,xgboost,23,label_permuted,38,1526,2.384185791015625e-07
CHEMBL4616_EC50,unimol,xgboost,23,trained,38,1526,8.344650268554688e-07
CHEMBL4616_EC50,unimol,xgboost,42,label_permuted,38,1526,2.220446049250313e-16
CHEMBL4616_EC50,unimol,xgboost,42,trained,38,1526,1.1920928950637233e-06
CHEMBL239_EC50,unimol,mlp,11,label_permuted,130,6745,2.384185795456517e-07
CHEMBL239_EC50,unimol,mlp,11,trained,130,6745,4.768371586472142e-07
CHEMBL239_EC50,unimol,mlp,23,label_permuted,130,6745,2.384185795456517e-07
CHEMBL239_EC50,unimol,mlp,23,trained,130,6745,4.768371584251696e-07
CHEMBL239_EC50,unimol,mlp,42,label_permuted,130,6745,2.384185791015625e-07
CHEMBL239_EC50,unimol,mlp,42,trained,130,6745,4.76837158203125e-07
CHEMBL239_EC50,unimol,xgboost,11,label_permuted,130,6745,0.0
CHEMBL239_EC50,unimol,xgboost,11,trained,130,6745,3.337860107421875e-06
CHEMBL239_EC50,unimol,xgboost,23,label_permuted,130,6745,4.440892098500626e-16
CHEMBL239_EC50,unimol,xgboost,23,trained,130,6745,3.0994415283203125e-06
CHEMBL239_EC50,unimol,xgboost,42,label_permuted,130,6745,2.384185795456517e-07
CHEMBL239_EC50,unimol,xgboost,42,trained,130,6745,1.430511474609375e-06
CHEMBL2835_Ki,unimol,mlp,11,label_permuted,20,357,8.344650268554688e-07
CHEMBL2835_Ki,unimol,mlp,11,trained,20,357,2.980232238769531e-07
CHEMBL2835_Ki,unimol,mlp,23,label_permuted,20,357,1.192092894883312e-07
CHEMBL2835_Ki,unimol,mlp,23,trained,20,357,4.76837158203125e-07
CHEMBL2835_Ki,unimol,mlp,42,label_permuted,20,357,1.4901161199398771e-07
CHEMBL2835_Ki,unimol,mlp,42,trained,20,357,4.76837158203125e-07
CHEMBL2835_Ki,unimol,xgboost,11,label_permuted,20,357,8.344650268554688e-07
CHEMBL2835_Ki,unimol,xgboost,11,trained,20,357,2.384185791015625e-07
CHEMBL2835_Ki,unimol,xgboost,23,label_permuted,20,357,0.0
CHEMBL2835_Ki,unimol,xgboost,23,trained,20,357,2.384185791015625e-07
CHEMBL2835_Ki,unimol,xgboost,42,label_permuted,20,357,5.551115123125783e-17
CHEMBL2835_Ki,unimol,xgboost,42,trained,20,357,1.1920928977282585e-07
CHEMBL2147_Ki,unimol,mlp,11,label_permuted,54,1537,2.980232238769531e-07
CHEMBL2147_Ki,unimol,mlp,11,trained,54,1537,1.1920928959519017e-06
CHEMBL2147_Ki,unimol,mlp,23,label_permuted,54,1537,2.384185791015625e-07
CHEMBL2147_Ki,unimol,mlp,23,trained,54,1537,9.5367431640625e-07
CHEMBL2147_Ki,unimol,mlp,42,label_permuted,54,1537,2.384185793236071e-07
CHEMBL2147_Ki,unimol,mlp,42,trained,54,1537,9.5367431640625e-07
