scenario,variant,target_balanced_median_fitted_difference,maximum_fitted_difference,target_balanced_median_coefficient_relative_l2_difference,target_balanced_q95_coefficient_relative_l2_difference,maximum_coefficient_relative_l2_difference,targets
fixed_selected_absolute_domain_only,label_permuted,1.1823654297263286e-05,0.0010124401481809153,0.00013592744684220613,0.0003471742464820048,0.0006534867246552528,6
fixed_selected_absolute_domain_only,trained,6.122808378022926e-05,0.0010643272725869846,0.00012648799132031267,0.0003383356551403641,0.0006382378341238443,6
fixed_selected_support_0_60,label_permuted,2.8559894708513056e-05,0.0010124401481809153,0.0001839665961860154,0.00038807170887968984,0.0007453768495529078,6
fixed_selected_support_0_60,trained,0.00011329687071993944,0.0014432485973046028,0.00018450635961285842,0.00036895079331668236,0.0007855290079400344,6
fixed_selected_support_0_70_restriction,label_permuted,1.560469291611577e-05,0.0005515456548099706,0.0001277364960211933,0.00031132698210247113,0.0006486981060077523,6
fixed_selected_support_0_70_restriction,trained,5.403394964759167e-05,0.0006813589497052241,0.0001290201096719667,0.0003095692459468242,0.0006217067166209521,6
