scenario,rationale,explainer,target_balanced_median_trained_nap,target_balanced_median_permuted_nap,target_balanced_median_delta_nap,delta_ci95_low,delta_ci95_high,targets,components
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,0.06557457511644338,0.09418532613862196,0.0,-0.028267593722939733,0.003214487430118304,6,138
fixed_selected_absolute_domain_only,boundary_extended,crem_mean_abs_exponent_0,0.10383440184272727,0.14027948327219314,0.0,-0.008843857051677773,0.003788590625420645,6,138
fixed_selected_absolute_domain_only,boundary_extended,crem_mean_abs_exponent_0.5,0.10741647884800191,0.11965633657519396,0.0,-0.0037677263391920055,0.006799095706504228,6,138
fixed_selected_absolute_domain_only,strict_unmatched,crem_lime_abs,0.03324214290650536,0.063867592315694,-0.00016794579738262094,-0.01943119575731939,0.0,6,127
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_abs_exponent_0,0.05163238594031618,0.07643522429681535,-0.003503582474368963,-0.015487064215155442,0.0,6,127
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_abs_exponent_0.5,0.11121768933984617,0.11537388637354154,0.0,-0.01494118785838337,0.0018193360584664933,6,127
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,0.045934481648070805,0.08191555041342433,-0.011125196049288393,-0.04241292989731857,0.0056877537276331805,6,138
fixed_selected_support_0_60,boundary_extended,crem_mean_abs_exponent_0,0.07383759509666583,0.1315531384903392,-0.005019054760428625,-0.02020985989803816,0.005289583616510014,6,138
fixed_selected_support_0_60,boundary_extended,crem_mean_abs_exponent_0.5,0.09900502426558602,0.1143218523857717,-0.0015198863636363552,-0.013666269100034413,0.006105519599240062,6,138
fixed_selected_support_0_60,strict_unmatched,crem_lime_abs,0.034946557137859185,0.055563231443704675,-0.014145516333224691,-0.02445588713506068,0.001579852764587421,6,127
fixed_selected_support_0_60,strict_unmatched,crem_mean_abs_exponent_0,0.04500680473426478,0.07567901199257955,-0.007154263269047554,-0.02360187233675816,0.002414795156862503,6,127
fixed_selected_support_0_60,strict_unmatched,crem_mean_abs_exponent_0.5,0.11337433419399544,0.11330443362612312,-0.003317806027806589,-0.028067783364992882,0.006546593680095864,6,127
fixed_selected_support_0_70_restriction,boundary_extended,crem_lime_abs,0.05124667280953439,0.08412571341736833,-0.01724256269970106,-0.03949700074188506,0.01291166826897457,6,138
fixed_selected_support_0_70_restriction,boundary_extended,crem_mean_abs_exponent_0,0.0671755228290083,0.10350224254609573,-0.0021676426282700068,-0.011064298184608358,0.01808100071625731,6,138
fixed_selected_support_0_70_restriction,boundary_extended,crem_mean_abs_exponent_0.5,0.08141936044249493,0.08474512078858354,-0.0016469563196936294,-0.007171411967237799,0.008675328859576224,6,138
fixed_selected_support_0_70_restriction,strict_unmatched,crem_lime_abs,0.036500160916733915,0.05267993293702672,-0.009238057286181094,-0.0266290717598785,0.0,6,127
fixed_selected_support_0_70_restriction,strict_unmatched,crem_mean_abs_exponent_0,0.04474854938898366,0.061256981988803576,-0.0013249666707117868,-0.012232826188534473,0.0004127816627816623,6,127
fixed_selected_support_0_70_restriction,strict_unmatched,crem_mean_abs_exponent_0.5,0.09959703840851185,0.10509550351539079,-0.0003273435735889549,-0.013611602991142382,0.0024154589371980714,6,127
