scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,molformer,mlp,0.37692515915734565,0.5058371951937568,0.20689655172413793,0.4927552425563147,0.59770243375156,0.20689655172413793,-0.11583008339896905
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,molformer,xgboost,0.36149289936008694,0.493597816733862,0.20689655172413793,0.3942660981170032,0.5195903536790025,0.20689655172413793,-0.032773198756916255
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,morgan,mlp,0.495408460082906,0.5998067097209254,0.20689655172413793,0.750210942695491,0.801891437310217,0.20689655172413793,-0.25480248261258504
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,morgan,xgboost,0.6886927853079073,0.7531011745545472,0.20689655172413793,0.24604542239585628,0.4020360246587826,0.20689655172413793,0.4426473629120511
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,unimol,mlp,0.8770623545265153,0.9024977294520639,0.20689655172413793,0.6361496099803279,0.7114290010188807,0.20689655172413793,0.24091274454618739
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,6,unimol,xgboost,0.6921464440085723,0.7558402831792125,0.20689655172413793,0.338509082131357,0.4753692720352141,0.20689655172413793,0.3536373618772153
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,molformer,mlp,-0.025403422256483444,0.04917137208944262,0.07272727272727272,0.06400508159344505,0.13207743929573995,0.07272727272727272,-0.08940850384992849
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,molformer,xgboost,-0.01667976042665952,0.05726058578618844,0.07272727272727272,0.2209312179219475,0.27759076570944224,0.07272727272727272,-0.23761097834860703
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,morgan,mlp,-0.013888291819367361,0.05984903849476844,0.07272727272727272,-0.00047962251150801896,0.07228253185296529,0.07272727272727272,-0.013408669307859342
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,morgan,xgboost,-0.016288164164772006,0.057623702319938686,0.07272727272727272,0.018841690159850752,0.09019865814822524,0.07272727272727272,-0.03512985432462276
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,unimol,mlp,-0.00990529229363507,0.0635423653277202,0.07272727272727272,0.3622158485895403,0.40860015051030096,0.07272727272727272,-0.3721211408831754
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,7,unimol,xgboost,0.036837601785829156,0.10688577620140521,0.07272727272727272,0.2725867845771068,0.3254895638805899,0.07272727272727272,-0.23574918279127763
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,molformer,mlp,0.04892169474800626,0.6118047733665332,0.5918367346938775,-0.10436208374353173,0.5492399658189666,0.5918367346938775,0.153283778491538
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,molformer,xgboost,-0.1090004816094744,0.5473467422002145,0.5918367346938775,0.3457460228385559,0.7329575603422677,0.5918367346938775,-0.4547465044480303
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,morgan,mlp,0.22245084867598933,0.6826329994595874,0.5918367346938775,0.04869256285956519,0.6117112501467613,0.5918367346938775,0.17375828581642414
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,morgan,xgboost,0.409973602642107,0.7591728990375947,0.5918367346938775,-0.16973842299488015,0.5225557457163754,0.5918367346938775,0.5797120256369872
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,unimol,mlp,0.4251496823419834,0.7653672172824422,0.5918367346938775,-0.1455577178147471,0.5324254213001032,0.5918367346938775,0.5707074001567305
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,unimol,xgboost,-0.30071435618069114,0.4690961811507383,0.5918367346938775,-0.014761608104057545,0.5858115885289561,0.5918367346938775,-0.2859527480766336
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,molformer,mlp,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,molformer,xgboost,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,morgan,mlp,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,morgan,xgboost,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,unimol,mlp,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,unimol,xgboost,0.0,0.84,0.84,0.0,0.84,0.84,0.0
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,molformer,mlp,-0.0008496910988406206,0.4225867166737458,0.4230769230769231,-0.008726791224276442,0.4180422358321482,0.4230769230769231,0.007877100125435821
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,molformer,xgboost,0.5582440641443953,0.7451408062371511,0.4230769230769231,0.03255379813999231,0.4418579604653801,0.4230769230769231,0.525690266004403
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,morgan,mlp,0.018678715864021134,0.43385310530616605,0.4230769230769231,-0.05283816821293292,0.39259336449253873,0.4230769230769231,0.07151688407695406
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,morgan,xgboost,0.6551050147610813,0.8010221239006238,0.4230769230769231,-0.0348634604346528,0.4029633882107772,0.4230769230769231,0.6899684751957341
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,unimol,mlp,-0.0637484618094687,0.3862989643406911,0.4230769230769231,-0.03136070835749277,0.40498420671683105,0.4230769230769231,-0.032387753451975934
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,unimol,xgboost,0.0916012257501722,0.47592378408663777,0.4230769230769231,-0.07401524985819848,0.3803758173895009,0.4230769230769231,0.16561647560837067
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,molformer,mlp,0.06732373142800951,0.12685625920920038,0.06382978723404255,0.16640325505814635,0.2196115579267753,0.06382978723404255,-0.09907952363013683
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,molformer,xgboost,0.24469784028607558,0.29290861643802824,0.06382978723404255,0.2933718438700323,0.33847576872939195,0.06382978723404255,-0.04867400358395671
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,morgan,mlp,0.09355485158374162,0.15141305254648152,0.06382978723404255,0.18650759890733157,0.23843264578558698,0.06382978723404255,-0.09295274732358995
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,morgan,xgboost,-0.008544124404247518,0.055831032472619335,0.06382978723404255,0.07438236748361017,0.13346434402720952,0.06382978723404255,-0.0829264918878577
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,unimol,mlp,0.3177431785386331,0.3612914862914863,0.06382978723404255,0.27751723585056914,0.32363315696649025,0.06382978723404255,0.040225942688063954
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,unimol,xgboost,0.7527356902356903,0.7685185185185185,0.06382978723404255,0.26739117364117365,0.31415343915343913,0.06382978723404255,0.48534451659451666
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,molformer,mlp,-0.011788273797613269,0.23726730129103002,0.24615384615384617,0.28598164557463773,0.46174000974088075,0.24615384615384617,-0.297769919372251
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,molformer,xgboost,-0.04809078313816397,0.20990079424969177,0.24615384615384617,0.34926775673479815,0.5094480012308479,0.24615384615384617,-0.3973585398729621
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,morgan,mlp,0.3720728131341973,0.5266395052857796,0.24615384615384617,0.5520431615037161,0.6623094602104936,0.24615384615384617,-0.1799703483695188
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,morgan,xgboost,-0.10138927017582437,0.1697219347905324,0.24615384615384617,0.26848711197470065,0.4485518228732359,0.24615384615384617,-0.36987638215052504
fixed_selected_absolute_domain_only,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,unimol,mlp,-0.11233781541637777,0.16146841607073062,0.24615384615384617,0.08309352817750926,0.30879358277996855,0.24615384615384617,-0.19543134359388703
