scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap_rescore,delta_nap_reference,rescore_minus_reference_delta_nap
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,morgan,mlp,0.13274984057011016,0.6460203430898409,0.5918367346938775,0.06484863603341108,0.618305565727923,0.5918367346938775,0.06790120453669908,0.06790120453669912,-4.163336342344337e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,morgan,xgboost,0.4001592091216651,0.7551670241312918,0.5918367346938775,-0.17545350495745207,0.52022305920104,0.5918367346938775,0.5756127140791172,0.5756127140791171,1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,unimol,mlp,0.4169288028936582,0.7620117562831258,0.5918367346938775,-0.24784305124113615,0.4906763056158628,0.5918367346938775,0.6647718541347943,0.6647718541347943,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,8,unimol,xgboost,-0.3057096580979453,0.46705728240900185,0.5918367346938775,-0.01901061219603727,0.5840773011444745,0.5918367346938775,-0.28669904590190803,-0.2866990459019081,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,molformer,mlp,0.0,0.84,0.84,0.0,0.84,0.84,0.0,0.0,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,molformer,xgboost,0.0,0.84,0.84,0.0,0.84,0.84,0.0,0.0,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,morgan,mlp,0.0,0.84,0.84,0.0,0.84,0.84,0.0,0.0,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,morgan,xgboost,0.0,0.84,0.84,0.0,0.84,0.84,0.0,0.0,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,unimol,mlp,0.0,0.84,0.84,0.0,0.84,0.84,0.0,0.0,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,13,unimol,xgboost,0.0,0.84,0.84,0.0,0.84,0.84,0.0,0.0,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,molformer,mlp,-0.0008496910988406206,0.4225867166737458,0.4230769230769231,-0.008726791224276442,0.4180422358321482,0.4230769230769231,0.007877100125435821,0.007877100125435804,1.734723475976807e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,molformer,xgboost,0.5582440641443953,0.7451408062371511,0.4230769230769231,0.03255379813999231,0.4418579604653801,0.4230769230769231,0.525690266004403,0.525690266004403,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,morgan,mlp,0.018678715864021134,0.43385310530616605,0.4230769230769231,-0.05283816821293292,0.39259336449253873,0.4230769230769231,0.07151688407695406,0.07151688407695404,1.3877787807814457e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,morgan,xgboost,0.6551050147610813,0.8010221239006238,0.4230769230769231,-0.0348634604346528,0.4029633882107772,0.4230769230769231,0.6899684751957341,0.689968475195734,1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,unimol,mlp,-0.0637484618094687,0.3862989643406911,0.4230769230769231,-0.03136070835749277,0.40498420671683105,0.4230769230769231,-0.032387753451975934,-0.03238775345197589,-4.163336342344337e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,15,unimol,xgboost,0.0916012257501722,0.47592378408663777,0.4230769230769231,-0.07401524985819848,0.3803758173895009,0.4230769230769231,0.16561647560837067,0.16561647560837064,2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,molformer,mlp,0.06732373142800951,0.12685625920920038,0.06382978723404255,0.16640325505814635,0.2196115579267753,0.06382978723404255,-0.09907952363013683,-0.09907952363013685,1.3877787807814457e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,molformer,xgboost,0.24469784028607558,0.29290861643802824,0.06382978723404255,0.2933718438700323,0.33847576872939195,0.06382978723404255,-0.04867400358395671,-0.04859533609422201,-7.866748973470172e-05
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,morgan,mlp,0.09355485158374162,0.15141305254648152,0.06382978723404255,0.18650759890733157,0.23843264578558698,0.06382978723404255,-0.09295274732358995,-0.09931097243181504,0.006358225108225091
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,morgan,xgboost,-0.008544124404247518,0.055831032472619335,0.06382978723404255,0.07438236748361017,0.13346434402720952,0.06382978723404255,-0.0829264918878577,-0.08292649188785764,-5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,unimol,mlp,0.3177431785386331,0.3612914862914863,0.06382978723404255,0.27751723585056914,0.32363315696649025,0.06382978723404255,0.040225942688063954,0.030900545862666995,0.009325396825396959
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,18,unimol,xgboost,0.7527356902356903,0.7685185185185185,0.06382978723404255,0.26739117364117365,0.31415343915343913,0.06382978723404255,0.48534451659451666,0.48534451659451666,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,molformer,mlp,-0.011788273797613269,0.23726730129103002,0.24615384615384617,0.28598164557463773,0.46174000974088075,0.24615384615384617,-0.297769919372251,-0.29776991937225095,-5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,molformer,xgboost,-0.04809078313816397,0.20990079424969177,0.24615384615384617,0.34926775673479815,0.5094480012308479,0.24615384615384617,-0.3973585398729621,-0.39735853987296205,-5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,morgan,mlp,0.3720728131341973,0.5266395052857796,0.24615384615384617,0.5520431615037161,0.6623094602104936,0.24615384615384617,-0.1799703483695188,-0.1799703483695188,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,morgan,xgboost,-0.10138927017582437,0.1697219347905324,0.24615384615384617,0.26848711197470065,0.4485518228732359,0.24615384615384617,-0.36987638215052504,-0.369876382150525,-5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL2147_Ki,36,unimol,mlp,-0.11233781541637777,0.16146841607073062,0.24615384615384617,0.08309352817750926,0.30879358277996855,0.24615384615384617,-0.19543134359388703,-0.195431343593887,-2.7755575615628914e-17
