scenario,variant,target_balanced_median_in_sample_r2,target_balanced_median_press_r2,target_balanced_median_five_fold_r2,target_balanced_median_effective_df,target_balanced_median_local_samples,target_balanced_median_variable_bits,target_balanced_median_five_fold_available_fraction,targets
fixed_selected_absolute_domain_only,label_permuted,0.9496015327990754,-0.10339217783225536,-0.0903368522008238,17.107031141431207,22.5,174.75,0.8371212121212122,6
fixed_selected_absolute_domain_only,trained,0.9518704876037645,0.0005725687934698201,0.0002744981360967877,17.107031141431207,22.5,174.75,0.8484848484848485,6
fixed_selected_support_0_60,label_permuted,0.9473760840612084,-0.020453275141341886,-0.03029030326683505,26.574085822976937,35.75,292.0,0.9707264957264957,6
fixed_selected_support_0_60,trained,0.9508814170614716,0.07589588311926557,0.059873182571004664,26.574085822976937,35.75,292.0,0.9903846153846154,6
fixed_selected_support_0_70_restriction,label_permuted,0.9577057953626451,-0.07289771706005936,-0.08579609624431435,19.539281084451726,24.25,206.0,0.9027777777777777,6
fixed_selected_support_0_70_restriction,trained,0.9581067385991155,0.01889795784495636,-0.005857699088494248,19.539281084451726,24.25,206.0,0.9142857142857144,6
