source,dataset,component_id,rationale,representation,predictor,seed,variant,baseline,atoms,positive_atoms,prevalence,score_unique_values,score_zero_fraction,observed_ap,observed_nap,null_mean_ap,null_sd_ap,null_mean_nap,null_sd_nap,null_adjusted_nap,null_z,empirical_upper_p,precision_at_changed_count,recall_at_changed_count,changed_atom_enrichment_at_changed_count,cutoff_tie_atoms
generator,CHEMBL1862_Ki,3,boundary_extended,,,,generator_only,support_any,58,12,0.20689655172413793,2,0.3448275862068966,0.2537810042347247,0.05911517925247899,0.21337825166364185,0.026481896645816776,0.008172578184591911,0.03339021750994289,0.05094260106788708,1.5256744300248257,0.1497005988023952,0.2631578947368421,0.2631578947368421,1.2719298245614035,38
generator,CHEMBL1862_Ki,3,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,58,12,0.20689655172413793,19,0.3448275862068966,0.2548599194665275,0.060475550631708556,0.23651174019834081,0.05395675179776036,0.03734088981529928,0.0680324261797848,0.023134660816409275,0.34005344385738695,0.27944111776447106,0.16666666666666666,0.16666666666666666,0.8055555555555555,6
generator,CHEMBL1862_Ki,3,strict_unmatched,,,,generator_only,support_any,58,2,0.034482758620689655,2,0.3448275862068966,0.05263157894736842,0.018796992481203003,0.040917422867513605,0.010758030623855068,0.006664473684210525,0.01114224600327846,0.012132518796992477,1.088875509787043,0.4550898203592814,0.05263157894736842,0.05263157894736842,1.526315789473684,38
generator,CHEMBL1862_Ki,3,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,58,2,0.034482758620689655,19,0.3448275862068966,0.07179487179487179,0.03864468864468864,0.0652668586638458,0.04152896279554089,0.03188353218755456,0.04301214003823878,0.006761156457134078,0.15719181726654974,0.3013972055888224,0.0,0.0,0.0,6
generator,CHEMBL1862_Ki,8,boundary_extended,,,,generator_only,support_any,41,13,0.3170731707317073,2,0.24390243902439024,0.32130968952369426,0.006203473945409452,0.3212881437995521,0.03157055386262741,0.006171924849344198,0.046228311013132996,3.154909606525435e-05,0.0006824626592196191,0.5988023952095808,0.3225806451612903,0.3225806451612903,1.0173697270471465,31
generator,CHEMBL1862_Ki,8,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,41,13,0.3170731707317073,12,0.24390243902439024,0.40192398328665563,0.12424583266974575,0.3639731515504019,0.07324249392121601,0.06867497191308845,0.10724793752749488,0.05557086075665729,0.5181531881898497,0.27345309381237526,0.46153846153846156,0.46153846153846156,1.455621301775148,6
generator,CHEMBL1862_Ki,8,strict_unmatched,,,,generator_only,support_any,41,1,0.024390243902439025,2,0.24390243902439024,0.03225806451612903,0.008064516129032256,0.030102281667977966,0.003512632947432274,0.005854838709677417,0.0036004487711180804,0.0022096774193548392,0.6137227773049657,0.7265469061876247,0.03225806451612903,0.03225806451612903,1.3225806451612903,31
generator,CHEMBL1862_Ki,8,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,41,1,0.024390243902439025,12,0.24390243902439024,0.1111111111111111,0.08888888888888889,0.09621486182133783,0.16886878743464714,0.07362023336687128,0.17309050712051333,0.015268655522017616,0.08821197520316292,0.24750499001996007,0.0,0.0,0.0,1
generator,CHEMBL1862_Ki,9,boundary_extended,,,,generator_only,support_any,57,19,0.3333333333333333,2,0.3333333333333333,0.46629732225300086,0.19944598337950128,0.3379289012003693,0.030978772017270118,0.006893351800554009,0.04646815802590517,0.19255263157894728,4.14375434187864,0.003992015968063872,0.47368421052631576,0.47368421052631576,1.4210526315789473,38
generator,CHEMBL1862_Ki,9,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,57,19,0.3333333333333333,19,0.3333333333333333,0.6945309617627891,0.5417964426441836,0.37242823535064434,0.061659145175728194,0.05864235302596654,0.09248871776359228,0.48315408961821704,5.22392461806199,0.001996007984031936,0.5789473684210527,0.5789473684210527,1.736842105263158,6
generator,CHEMBL1862_Ki,9,strict_unmatched,,,,generator_only,support_any,57,5,0.08771929824561403,2,0.3333333333333333,0.13157894736842105,0.04807692307692308,0.09225263157894739,0.017622695282363196,0.004969230769230769,0.01931718521335966,0.04310769230769231,2.2315721380503857,0.1157684630738523,0.13157894736842105,0.13157894736842105,1.5,38
generator,CHEMBL1862_Ki,9,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,57,5,0.08771929824561403,19,0.3333333333333333,0.4948717948717949,0.44630177514792907,0.14094919851366314,0.0774540989608075,0.058348159909207664,0.08490160847626976,0.3879536152387214,4.569449533422627,0.001996007984031936,0.6,0.6,6.84,1
generator,CHEMBL1862_Ki,10,boundary_extended,,,,generator_only,support_any,56,15,0.26785714285714285,2,0.39285714285714285,0.36708683473389353,0.135533237685318,0.27273137254901963,0.02997245531172267,0.006657484457197519,0.040937987742840715,0.12887575322812048,3.1480724953477575,0.01996007984031936,0.3823529411764705,0.3823529411764705,1.4274509803921567,34
generator,CHEMBL1862_Ki,10,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,56,15,0.26785714285714285,15,0.39285714285714285,0.3482807569668183,0.10984688756443478,0.3000207229582867,0.05714390716205988,0.04393074355278183,0.07805021466037447,0.06591614401165295,0.8445350765334679,0.18562874251497005,0.26666666666666666,0.26666666666666666,0.9955555555555555,6
generator,CHEMBL1862_Ki,10,strict_unmatched,,,,generator_only,support_any,56,2,0.03571428571428571,2,0.39285714285714285,0.058823529411764705,0.023965141612200435,0.04266596638655462,0.012336241241610245,0.007209150326797384,0.012793139065373585,0.01675599128540305,1.3097638663801816,0.36726546906187624,0.058823529411764705,0.058823529411764705,1.647058823529412,34
