representation,predictor,targets,boundary_components,target_balanced_median_observed_nap_trained,target_balanced_median_observed_nap_permuted,target_balanced_median_null_adjusted_nap_trained,target_balanced_median_null_adjusted_nap_permuted,unadjusted_delta_nap,null_adjusted_delta_nap,strict_unmatched_components,strict_unmatched_null_adjusted_delta_nap
molformer,mlp,27,617,0.08040408664299421,0.10974083467855256,0.0335691176032116,0.05746761021382086,-0.00973703416428955,-0.00877116345988606,581,-0.00829065934065936
molformer,xgboost,27,617,0.09149980058265728,0.12335593173719128,0.04715586480939586,0.07609518105993801,-0.0116361885663355,-0.011131824131384707,581,-0.005615627741534179
morgan,mlp,27,617,0.09348907193692453,0.1520570130945889,0.0500148610444153,0.10495261458456531,-0.0130810654033066,-0.009570889198705329,581,-0.015826935730795078
morgan,xgboost,27,617,0.0793128508379837,0.10139233954451343,0.025227246772708163,0.07214377200738353,-0.008521127205708,-0.02054930790662639,581,-0.020152232589773174
unimol,mlp,27,617,0.10041329391306067,0.1350661842101957,0.056927932722109144,0.08795551054911559,-0.0005566967587725992,-0.00190834090203372,581,-0.013230788611740991
unimol,xgboost,27,617,0.10915512980468298,0.12170442195812176,0.056831402467537866,0.07936990334317479,-0.000284657391462,0.0,581,-0.002841329966329964
