source,dataset,component_id,rationale,representation,predictor,seed,variant,baseline,atoms,positive_atoms,prevalence,score_unique_values,score_zero_fraction,observed_ap,observed_nap,null_mean_ap,null_sd_ap,null_mean_nap,null_sd_nap,null_adjusted_nap,null_z,empirical_upper_p,precision_at_changed_count,recall_at_changed_count,changed_atom_enrichment_at_changed_count,cutoff_tie_atoms
model,CHEMBL1862_Ki,3,boundary_extended,morgan,xgboost,11,trained,,58,12,0.20689655172413793,19,0.3448275862068966,0.5232884986586402,0.3989289765695899,0.2481024968212215,0.0630573985648868,0.05195532207893148,0.07950715471224859,0.3469736544906584,4.3640557349388445,0.003992015968063872,0.4166666666666667,0.4166666666666667,2.013888888888889,6
model,CHEMBL1862_Ki,3,boundary_extended,morgan,xgboost,11,label_permuted,,58,12,0.20689655172413793,5,0.9310344827586207,0.3565613026819924,0.18870772946859907,0.2343692528735632,0.040456370408569906,0.034639492753623186,0.05101020616732727,0.15406823671497588,3.0203413844200195,0.015968063872255488,0.3611111111111111,0.3611111111111111,1.7453703703703705,54
model,CHEMBL1862_Ki,3,boundary_extended,morgan,xgboost,23,trained,,58,12,0.20689655172413793,19,0.3448275862068966,0.4351983385701406,0.28785877471887295,0.2516281950665812,0.06732006008958279,0.0564007676926458,0.08488181489556089,0.23145800702622715,2.7268267921817473,0.023952095808383235,0.3333333333333333,0.3333333333333333,1.611111111111111,1
model,CHEMBL1862_Ki,3,boundary_extended,morgan,xgboost,23,label_permuted,,58,12,0.20689655172413793,16,0.39655172413793105,0.4195082750074676,0.2680756510963722,0.25115302211009144,0.06163553335081273,0.05580163657359356,0.07771436813798127,0.21227401452277866,2.7314642016504305,0.021956087824351298,0.513888888888889,0.513888888888889,2.4837962962962967,6
model,CHEMBL1862_Ki,3,boundary_extended,morgan,xgboost,42,trained,,58,12,0.20689655172413793,19,0.3448275862068966,0.5241524974839769,0.4000183663928404,0.24741344018120662,0.06335330153553936,0.05108651153282575,0.0798802497622018,0.34893185486001466,4.368186828393271,0.001996007984031936,0.4166666666666667,0.4166666666666667,2.013888888888889,6
model,CHEMBL1862_Ki,3,boundary_extended,morgan,xgboost,42,label_permuted,,58,12,0.20689655172413793,6,0.6896551724137931,0.24094827586206896,0.04293478260869565,0.2392061157552537,0.050891279123842004,0.040738145952276386,0.06416726498223557,0.002196636656419261,0.03423297933965847,0.3772455089820359,0.25,0.25,1.2083333333333333,1
model,CHEMBL1862_Ki,3,boundary_extended,morgan,mlp,11,trained,,58,12,0.20689655172413793,19,0.3448275862068966,0.36745307137041416,0.20244082911921785,0.24244599349300314,0.06318321210812362,0.04482320918683002,0.07966578917980804,0.15761761993238782,1.9784856405130211,0.04790419161676647,0.5,0.5,2.4166666666666665,6
model,CHEMBL1862_Ki,3,boundary_extended,morgan,mlp,11,label_permuted,,58,12,0.20689655172413793,19,0.3448275862068966,0.47431478117330045,0.3371795066967701,0.24673239260549945,0.06085724116174355,0.05022779937215148,0.0767330432039375,0.2869517073246186,3.739610672835844,0.005988023952095809,0.4166666666666667,0.4166666666666667,2.013888888888889,6
model,CHEMBL1862_Ki,3,boundary_extended,morgan,mlp,23,trained,,58,12,0.20689655172413793,19,0.3448275862068966,0.31668675943413577,0.13843113146043207,0.25174916890571236,0.06598112567654593,0.05655329992459381,0.08319359324434053,0.08187783153583825,0.9841843385146513,0.16167664670658682,0.25,0.25,1.2083333333333333,1
model,CHEMBL1862_Ki,3,boundary_extended,morgan,mlp,23,label_permuted,,58,12,0.20689655172413793,19,0.3448275862068966,0.30583476832409257,0.12474818614776889,0.23516743433049744,0.048424748898306544,0.035645895460192464,0.06105729208916912,0.08910229068757643,1.4593226728340638,0.09381237524950099,0.3333333333333333,0.3333333333333333,1.611111111111111,1
