dataset,representation,predictor,components,median_delta_nap,median_delta_null_adjusted_nap
CHEMBL237_EC50,morgan,xgboost,18,-0.01689401455026445,-0.022542912931975446
CHEMBL237_EC50,unimol,mlp,18,0.046611414312170946,0.047152399783433274
CHEMBL237_EC50,unimol,xgboost,18,0.0146317784834193,0.01093779962259665
CHEMBL237_Ki,molformer,mlp,40,-0.026921601671617952,-0.02887149819165863
CHEMBL237_Ki,molformer,xgboost,40,-0.02100970017636675,-0.015952475337199762
CHEMBL237_Ki,morgan,mlp,40,-0.025054519905468302,-0.025301824575880358
CHEMBL237_Ki,morgan,xgboost,40,0.05192640026362875,0.03780705880631872
CHEMBL237_Ki,unimol,mlp,40,-0.00631607821454345,-0.00022520592671966544
CHEMBL237_Ki,unimol,xgboost,40,-0.01337541194315485,-0.009982760396255279
CHEMBL238_Ki,molformer,mlp,19,-0.000436765615337,0.0017655677655677576
CHEMBL238_Ki,molformer,xgboost,19,0.0,-0.0023736263736263766
CHEMBL238_Ki,morgan,mlp,19,-0.0118341237634479,-0.001817090049298243
CHEMBL238_Ki,morgan,xgboost,19,-0.008521127205708,-0.03076327955670061
CHEMBL238_Ki,unimol,mlp,19,0.0339935397948513,0.0360243442296824
CHEMBL238_Ki,unimol,xgboost,19,-0.0359333871524807,-0.04437486477317967
CHEMBL239_EC50,molformer,mlp,33,0.0122113124356411,0.017305092430911318
CHEMBL239_EC50,molformer,xgboost,33,-0.0273856726684457,-0.019176372342128822
CHEMBL239_EC50,morgan,mlp,33,-0.0132185300583526,-0.016316724338503622
CHEMBL239_EC50,morgan,xgboost,33,-0.0195266477524189,-0.02944298720828011
CHEMBL239_EC50,unimol,mlp,33,-0.0006980778616807,-0.00793263169663315
CHEMBL239_EC50,unimol,xgboost,33,0.0034519700324324,0.008039804328308881
CHEMBL244_Ki,molformer,mlp,52,-0.00973703416428955,-0.008419615546407057
CHEMBL244_Ki,molformer,xgboost,52,-0.0062529915539017,-0.004032345228645753
CHEMBL244_Ki,morgan,mlp,52,-0.04342973386221865,-0.04072081841812318
CHEMBL244_Ki,morgan,xgboost,52,-0.02980169260409855,-0.0321343379173169
CHEMBL244_Ki,unimol,mlp,52,-0.0197404976343731,-0.018726424164224188
CHEMBL244_Ki,unimol,xgboost,52,0.0189241121837046,0.017690188452629207
CHEMBL262_Ki,molformer,mlp,13,-0.0468665630718267,-0.03619972295362908
CHEMBL262_Ki,molformer,xgboost,13,-0.0170932968549198,-0.02294769990476464
CHEMBL262_Ki,morgan,mlp,13,-0.0148240234132031,-0.007166317139874503
CHEMBL262_Ki,morgan,xgboost,13,-0.0374074074074075,-0.060519999999999935
CHEMBL262_Ki,unimol,mlp,13,0.0264400870133312,0.03634671426308733
CHEMBL262_Ki,unimol,xgboost,13,0.0424543197798947,0.04223458034310537
CHEMBL264_Ki,molformer,mlp,46,-0.0010907055841222,0.0010537286997780123
CHEMBL264_Ki,molformer,xgboost,46,-0.0116361885663355,-0.016286535321013228
CHEMBL264_Ki,morgan,mlp,46,-0.00041002702281481084,0.007422602715763754
CHEMBL264_Ki,morgan,xgboost,46,0.0361599035189355,0.01834046078068878
CHEMBL264_Ki,unimol,mlp,46,0.0058950597206725,0.0027569075329599915
CHEMBL264_Ki,unimol,xgboost,46,0.0006522946955865945,-0.001131508048778115
CHEMBL2835_Ki,molformer,mlp,5,-0.0040773765646609,-0.0005990549897191833
CHEMBL2835_Ki,molformer,xgboost,5,0.0180460581561839,0.012995284673827656
CHEMBL2835_Ki,morgan,mlp,5,-0.0195413531945755,-0.010364110367297452
CHEMBL2835_Ki,morgan,xgboost,5,-0.1754309134721083,-0.16609749453333045
CHEMBL2835_Ki,unimol,mlp,5,0.0250592265649574,0.02695738193097358
CHEMBL2835_Ki,unimol,xgboost,5,0.2021198830409358,0.19218450772009216
CHEMBL287_Ki,molformer,mlp,26,0.00571906442827915,0.003547160249924408
CHEMBL287_Ki,molformer,xgboost,26,0.00669658146934205,-0.0002840590754449035
CHEMBL287_Ki,morgan,mlp,26,-0.01244063910977,-0.0091938940910169
CHEMBL287_Ki,morgan,xgboost,26,0.00605442232152945,0.0023225223725272907
CHEMBL287_Ki,unimol,mlp,26,-0.026740039228536197,-0.020380220862150078
CHEMBL287_Ki,unimol,xgboost,26,0.00021889568764575,0.0010442375155196443
CHEMBL2971_Ki,molformer,mlp,11,-0.0514045640093762,-0.05356106344405695
CHEMBL2971_Ki,molformer,xgboost,11,-0.0223195305597602,-0.022501609997095537
CHEMBL2971_Ki,morgan,mlp,11,0.0,-0.0002170329670330151
CHEMBL2971_Ki,morgan,xgboost,11,-0.0223292294125625,-0.03193478545264261
CHEMBL2971_Ki,unimol,mlp,11,0.0,0.002534981684981674
CHEMBL2971_Ki,unimol,xgboost,11,-0.0063250945700606,0.0022150581865504337
CHEMBL3979_EC50,molformer,mlp,17,-0.0306867932508053,-0.03070537216247761
CHEMBL3979_EC50,molformer,xgboost,17,-0.0132961740389044,-0.015657035795203847
CHEMBL3979_EC50,morgan,mlp,17,-0.011504817444219,-0.012427317147766369
CHEMBL3979_EC50,morgan,xgboost,17,-0.004449580620014,-0.013318639671463933
CHEMBL3979_EC50,unimol,mlp,17,-0.0043671326555313,-0.012399030106549047
CHEMBL3979_EC50,unimol,xgboost,17,0.0069981891574452,0.00790536759003363
CHEMBL4005_Ki,molformer,mlp,17,-0.0492388191106139,-0.025146257301837102
CHEMBL4005_Ki,molformer,xgboost,17,0.0511575202955516,0.044015495340200404
CHEMBL4005_Ki,morgan,mlp,17,-0.083098675620043,-0.0837259163122411
CHEMBL4005_Ki,morgan,xgboost,17,0.0036850742320633,0.010585273585118071
CHEMBL4005_Ki,unimol,mlp,17,-0.0622228843809697,-0.05862553019952532
CHEMBL4005_Ki,unimol,xgboost,17,-0.0157780991539963,-0.02452697057893799
CHEMBL4203_Ki,molformer,mlp,6,-0.039017008318478805,-0.03203780411785914
CHEMBL4203_Ki,molformer,xgboost,6,-0.12467653011810209,-0.1108751226364991
CHEMBL4203_Ki,morgan,mlp,6,-0.031241520234224898,-0.033032427125479144
CHEMBL4203_Ki,morgan,xgboost,6,0.03239890498245445,0.026846274440282054
CHEMBL4203_Ki,unimol,mlp,6,0.033487229048493,0.035699165390480035
CHEMBL4203_Ki,unimol,xgboost,6,-0.0130657841965481,-0.0182263594331678
