dataset,component_id,left_index,right_index,representation,predictor,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_ap,delta_nap
CHEMBL1862_Ki,3,60,126,molformer,mlp,0.2610672529902082,0.0683021885528712,0.3091706337978553,0.1289542773972958,0.2068965517241379,-0.048103380807647,-0.0606520888444245
CHEMBL1862_Ki,3,60,126,molformer,xgboost,0.3398771143773147,0.167671144214875,0.3186833350265405,0.140948552859551,0.2068965517241379,0.0211937793507742,0.026722591355324
CHEMBL1862_Ki,3,60,126,morgan,mlp,0.4019622894520617,0.2459524519178169,0.4579202387532162,0.3165081271236205,0.2068965517241379,-0.0559579493011545,-0.0705556752058035
CHEMBL1862_Ki,3,60,126,morgan,xgboost,0.4942131115709192,0.3622687058937677,0.3390059511838429,0.1665727210578889,0.2068965517241379,0.1552071603870762,0.1956959848358788
CHEMBL1862_Ki,3,60,126,unimol,mlp,0.3021164941852818,0.1200599274510074,0.2985776128637675,0.1155978596977937,0.2068965517241379,0.0035388813215142,0.0044620677532136
CHEMBL1862_Ki,3,60,126,unimol,xgboost,0.3331838968234805,0.1592318699078667,0.3363040516593029,0.163165978179121,0.2068965517241379,-0.0031201548358223,-0.0039341082712543
CHEMBL1862_Ki,8,109,114,molformer,mlp,0.30537527464025,-0.0171290621339196,0.3463512391182559,0.0428714572803033,0.3170731707317073,-0.0409759644780059,-0.0600005194142229
CHEMBL1862_Ki,8,109,114,molformer,xgboost,0.345159947038137,0.0411270653058435,0.352485409708491,0.0518536356445762,0.3170731707317073,-0.0073254626703539,-0.0107265703387327
CHEMBL1862_Ki,8,109,114,morgan,mlp,0.3389334056680166,0.0320096297281672,0.4107853333058549,0.1372213809121447,0.3170731707317073,-0.0718519276378382,-0.1052117511839774
CHEMBL1862_Ki,8,109,114,morgan,xgboost,0.3817061075339641,0.0946410860318761,0.3884131691370086,0.1044621405220483,0.3170731707317073,-0.0067070616030444,-0.0098210544901722
CHEMBL1862_Ki,8,109,114,unimol,mlp,0.3581343068694034,0.0601252350587692,0.4046715222873915,0.1282690147779661,0.3170731707317073,-0.0465372154179881,-0.0681437797191968
CHEMBL1862_Ki,8,109,114,unimol,xgboost,0.393062791524126,0.1112705161603274,0.3906687169038134,0.1077649068948696,0.3170731707317073,0.0023940746203126,0.0035056092654577
CHEMBL1862_Ki,9,115,163,molformer,mlp,0.4102908093817256,0.1154362140725884,0.4045329893206226,0.1067994839809339,0.3333333333333333,0.0057578200611029,0.0086367300916545
CHEMBL1862_Ki,9,115,163,molformer,xgboost,0.4210225127532094,0.1315337691298141,0.4198098927398397,0.1297148391097596,0.3333333333333333,0.0012126200133696,0.0018189300200545
CHEMBL1862_Ki,9,115,163,morgan,mlp,0.5067066798642018,0.2600600197963027,0.464995861935611,0.1974937929034164,0.3333333333333333,0.0417108179285908,0.0625662268928862
CHEMBL1862_Ki,9,115,163,morgan,xgboost,0.3722135216829482,0.0583202825244224,0.4527285372858671,0.1790928059288006,0.3333333333333333,-0.0805150156029189,-0.1207725234043782
CHEMBL1862_Ki,9,115,163,unimol,mlp,0.3876617511473029,0.0814926267209543,0.517037134778593,0.2755557021678896,0.3333333333333333,-0.1293753836312901,-0.1940630754469352
CHEMBL1862_Ki,9,115,163,unimol,xgboost,0.5750420193838829,0.3625630290758243,0.489972831965328,0.2349592479479919,0.3333333333333333,0.0850691874185548,0.1276037811278323
CHEMBL1862_Ki,10,135,144,molformer,mlp,0.4029244441654504,0.1844821676406152,0.3887041536657905,0.1650593318362015,0.2678571428571428,0.0142202904996599,0.0194228358044136
CHEMBL1862_Ki,10,135,144,molformer,xgboost,0.4096571239218298,0.1936780229176211,0.360308735171384,0.1262753455999391,0.2678571428571428,0.0493483887504457,0.067402677317682
CHEMBL1862_Ki,10,135,144,morgan,mlp,0.4762719606704839,0.2846641414035876,0.465620682446531,0.2701160540733107,0.2678571428571428,0.0106512782239528,0.0145480873302769
