dataset,representation,predictor,seed,pairs,exact_zero_ties,tie_fraction,strict_direction_accuracy,non_tie_direction_accuracy,sign_flipped_strict_accuracy,median_absolute_predicted_delta
CHEMBL2034_Ki,morgan,xgboost,11,12,10,0.8333333333333334,0.08333333333333333,0.5,0.08333333333333333,0.0
CHEMBL2034_Ki,morgan,xgboost,23,12,12,1.0,0.0,,0.0,0.0
CHEMBL2034_Ki,morgan,xgboost,42,12,0,0.0,0.5,0.5,0.5,0.0780706703662872
CHEMBL2034_Ki,unimol,mlp,11,12,0,0.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.0972291231155395
CHEMBL2034_Ki,unimol,mlp,23,12,0,0.0,0.5,0.5,0.5,0.11300474405288691
CHEMBL2034_Ki,unimol,mlp,42,12,0,0.0,0.5,0.5,0.5,0.2057411670684814
CHEMBL2034_Ki,unimol,xgboost,11,12,5,0.4166666666666667,0.25,0.42857142857142855,0.3333333333333333,0.0208281278610229
CHEMBL2034_Ki,unimol,xgboost,23,12,0,0.0,0.5,0.5,0.5,0.0623252391815185
CHEMBL2034_Ki,unimol,xgboost,42,12,0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.15810984373092646
CHEMBL2047_EC50,molformer,mlp,11,10,0,0.0,0.6,0.6,0.4,0.05493557453155515
CHEMBL2047_EC50,molformer,mlp,23,10,0,0.0,0.3,0.3,0.7,0.07420444488525385
CHEMBL2047_EC50,molformer,mlp,42,10,0,0.0,0.6,0.6,0.4,0.03102648258209225
CHEMBL2047_EC50,molformer,xgboost,11,10,4,0.4,0.3,0.5,0.3,0.0339206457138061
CHEMBL2047_EC50,molformer,xgboost,23,10,1,0.1,0.4,0.4444444444444444,0.5,0.0228911638259887
CHEMBL2047_EC50,molformer,xgboost,42,10,0,0.0,0.6,0.6,0.4,0.1306507587432861
CHEMBL2047_EC50,morgan,mlp,11,10,0,0.0,0.5,0.5,0.5,0.1030842065811157
CHEMBL2047_EC50,morgan,mlp,23,10,0,0.0,0.3,0.3,0.7,0.02151656150817865
CHEMBL2047_EC50,morgan,mlp,42,10,0,0.0,0.5,0.5,0.5,0.0688211917877197
CHEMBL2047_EC50,morgan,xgboost,11,10,9,0.9,0.0,0.0,0.1,0.0
CHEMBL2047_EC50,morgan,xgboost,23,10,6,0.6,0.0,0.0,0.4,0.0
CHEMBL2047_EC50,morgan,xgboost,42,10,1,0.1,0.3,0.3333333333333333,0.6,0.15410733222961426
CHEMBL2047_EC50,unimol,mlp,11,10,0,0.0,0.8,0.8,0.2,0.17343306541442866
CHEMBL2047_EC50,unimol,mlp,23,10,0,0.0,0.3,0.3,0.7,0.0255789756774902
CHEMBL2047_EC50,unimol,mlp,42,10,0,0.0,0.5,0.5,0.5,0.13730967044830317
CHEMBL2047_EC50,unimol,xgboost,11,10,2,0.2,0.5,0.625,0.3,0.0175789594650268
