representation,predictor,explainer,target_balanced_alternative_paired_delta_nap,target_balanced_original_paired_delta_nap,target_balanced_paired_selection_change,targets,target_balanced_alternative_full_delta_nap,paired_primary_estimate_change
molformer,mlp,crem_lime,-0.012539725828693452,-0.024203958319193704,0.0,6,-0.03379525256385655,0.011664232490500252
molformer,mlp,crem_mean,-0.0005834933744416002,-0.007921086300153278,0.0,6,-0.0005834933744416002,0.007337592925711678
molformer,xgboost,crem_lime,-0.024686707823278444,-0.02124324760858575,0.0,6,-0.02330456211230504,-0.003443460214692693
molformer,xgboost,crem_mean,-0.0115927729928057,-0.0013034780729289028,0.0,6,-0.0115927729928057,-0.010289294919876797
morgan,mlp,crem_lime,-0.034622330183863126,-0.033394471602934954,0.0,6,-0.034622330183863126,-0.001227858580928172
morgan,mlp,crem_mean,-0.01534696069839449,-0.015446582957107727,0.0,6,-0.01534696069839449,9.96222587132372e-05
morgan,xgboost,crem_lime,0.011697864309423274,-0.010150377792721823,0.0,6,0.011697864309423274,0.021848242102145095
morgan,xgboost,crem_mean,-0.002354457277379327,-0.0044229496812458,0.0,6,-0.0027052248245415765,0.002068492403866473
unimol,mlp,crem_lime,-0.0018585878172886483,0.005633069426336982,0.0,6,-0.005688583958268448,-0.007491657243625631
unimol,mlp,crem_mean,-0.026278262412343892,-0.019584713791886747,0.0,6,-0.026278262412343892,-0.0066935486204571445
unimol,xgboost,crem_lime,0.009970177947888247,0.027869513322603026,0.0,6,0.010091068279602346,-0.01789933537471478
unimol,xgboost,crem_mean,0.00035760318825552896,0.008861027681384949,0.0,6,0.00035760318825552896,-0.00850342449312942
