draw,alternative_full_delta_nap,alternative_paired_delta_nap,original_paired_delta_nap,paired_primary_estimate_change,paired_selection_change
0,-0.005926379401433452,-0.000722810160196749,0.0,-0.000722810160196749,0.0
1,-0.002117488710541404,-0.0025041071088324953,-0.002117488710541404,-0.0003866183982910911,0.0
2,-0.0051396641394935065,0.0,0.0,0.0,0.0
3,-0.0007962727219689514,0.0,-0.003755017332603496,0.003755017332603496,0.0
4,0.0,0.0,0.0,0.0,0.0
5,-0.0009272159392444135,-0.006193131167431858,-0.0060118422445681954,-0.00018128892286366216,0.0
6,-0.001085636843830895,-0.003294053240394503,-0.0016322345618723496,-0.0016618186785221532,0.0
7,-0.013317719761978753,-0.0083275486768133,-0.005250868922743998,-0.0030766797540693024,0.0
8,0.0,0.0,-0.0016721037621847522,0.0016721037621847522,0.0
9,-0.003313555363884488,-0.004867137643776949,-0.00432661841248419,-0.000540519231292759,0.0
10,0.0,-0.012133609277027349,-0.0017490894387146468,-0.010384519838312702,0.0
11,-0.0036166234969542063,-0.005888888888888805,-7.216449660063518e-16,-0.005888888888888083,0.0
12,0.0,-0.004671919385679898,-0.0014190225728687028,-0.003252896812811195,0.0
13,0.0,-0.0036799423806311536,-0.005084123507584,0.0014041811269528467,0.0
14,-0.0014840159972105485,0.0,0.0,0.0,0.0
15,0.0,-0.0014542048703539007,0.0,-0.0014542048703539007,0.0
16,-0.004873882286505249,-0.0010279913425998016,-0.0026774431594059514,0.0016494518168061498,0.0
17,0.0,0.0,-0.0021625288763299014,0.0021625288763299014,0.0
18,0.0,0.0,-5.5033698843853784e-05,5.5033698843853784e-05,0.0
19,0.0,0.0,-0.004259284358904901,0.004259284358904901,0.0
20,0.0,-0.0011755485893415948,-0.004078525641025552,0.0029029770516839568,0.0
21,-0.0014614928408031476,0.0,-0.0017224880382775004,0.0017224880382775004,0.0
22,0.0,0.0,0.0,0.0,0.0
23,-0.003335113960113739,-0.002968031994421097,-0.0028798290616523087,-8.820293276878832e-05,0.0
24,-0.0061913417890942036,0.0,0.0,0.0,0.0
25,0.0,-0.0019918513842123982,-0.004671202250581791,0.0026793508663693925,0.0
26,-0.006562408108460802,0.0,-0.00021851475632859996,0.00021851475632859996,0.0
