dataset,component_id,left_index,right_index,representation,predictor,explainer,seed,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_nap,delta_ap
CHEMBL1862_Ki,3,60,126,morgan,xgboost,crem_mean,42,0.5241524974839769,0.4000183663928404,0.2409482758620689,0.0429347826086956,0.2068965517241379,0.3570835837841448,0.28320422162190795
CHEMBL1862_Ki,8,109,114,morgan,xgboost,crem_mean,42,0.3606141706213442,0.0637564641241112,0.395336370946127,0.1145996860282574,0.3170731707317073,-0.050843221904146196,-0.03472220032478279
CHEMBL1862_Ki,9,115,163,morgan,xgboost,crem_mean,42,0.400082223801264,0.1001233357018961,0.4494987468671679,0.1742481203007518,0.3333333333333333,-0.07412478459885569,-0.04941652306590388
CHEMBL1862_Ki,10,135,144,morgan,xgboost,crem_mean,42,0.4617623339658444,0.2648461146850557,0.2678571428571428,0.0,0.2678571428571428,0.2648461146850557,0.19390519110870158
CHEMBL1862_Ki,19,431,477,morgan,xgboost,crem_mean,42,0.3323120552568854,0.0912025196552051,0.2653061224489796,0.0,0.2653061224489796,0.0912025196552051,0.06700593280790579
CHEMBL1862_Ki,22,456,533,morgan,xgboost,crem_mean,42,0.8899858231437179,0.822754937287101,0.6052922736492716,0.3640819964349376,0.3793103448275862,0.4586729408521634,0.28469354949444625
CHEMBL1862_Ki,25,576,727,morgan,xgboost,crem_mean,42,0.8461210369848813,-0.3336176794643618,0.8693860487338747,-0.1319875776397522,0.8846153846153846,-0.20163010182460964,-0.023265011748993425
CHEMBL1862_Ki,27,709,711,morgan,xgboost,crem_mean,42,0.2413690476190476,0.0104813664596273,0.8357142857142856,0.7857142857142856,0.2333333333333333,-0.7752329192546583,-0.5943452380952381
CHEMBL1862_Ki,3,60,126,morgan,xgboost,crem_lime,42,0.1850626436996044,-0.0275297101178899,0.1637450851380347,-0.0544083709129127,0.2068965517241379,0.0268786607950228,0.021317558561569694
CHEMBL1862_Ki,8,109,114,morgan,xgboost,crem_lime,42,0.2923617084147465,-0.0361846412498353,0.5982989423363092,0.4117948798495957,0.3170731707317073,-0.44797952109943096,-0.3059372339215627
CHEMBL1862_Ki,9,115,163,morgan,xgboost,crem_lime,42,0.4476539995495279,0.1714809993242918,0.3613993438211442,0.0420990157317163,0.3333333333333333,0.12938198359257552,0.0862546557283837
CHEMBL1862_Ki,10,135,144,morgan,xgboost,crem_lime,42,0.4611354618939508,0.2639898991722255,0.2487255639097744,-0.0261309370988446,0.2678571428571428,0.2901208362710701,0.21240989798417642
CHEMBL1862_Ki,19,431,477,morgan,xgboost,crem_lime,42,0.2154952599372825,-0.0677981184186987,0.3457271772546545,0.1094619912632798,0.2653061224489796,-0.1772601096819785,-0.13023191731737202
CHEMBL1862_Ki,22,456,533,morgan,xgboost,crem_lime,42,0.5786857164954857,0.3212158765760604,0.6113649181639296,0.3738657014863309,0.3793103448275862,-0.05264982491027054,-0.03267920166844385
CHEMBL1862_Ki,25,576,727,morgan,xgboost,crem_lime,42,0.9782874524751044,0.8118245881175715,0.8838298011588266,-0.0068083899568359,0.8846153846153846,0.8186329780744074,0.09445765131627781
CHEMBL1862_Ki,27,709,711,morgan,xgboost,crem_lime,42,0.1741820471147699,-0.0771538515894304,0.7907465498160987,0.7270607171514333,0.2333333333333333,-0.8042145687408637,-0.6165645027013288
CHEMBL1862_Ki,3,60,126,morgan,mlp,crem_mean,42,0.5217470375516352,0.3969853951738009,0.5936111667622558,0.4875966885263225,0.2068965517241379,-0.0906112933525216,-0.07186412921062058
CHEMBL1862_Ki,8,109,114,morgan,mlp,crem_mean,42,0.3606301705315201,0.0637798925640116,0.4419020004385858,0.1827850720707863,0.3170731707317073,-0.11900517950677468,-0.08127182990706572
CHEMBL1862_Ki,9,115,163,morgan,mlp,crem_mean,42,0.5609206849185666,0.3413810273778499,0.5014214130286634,0.2521321195429951,0.3333333333333333,0.08924890783485484,0.05949927188990323
CHEMBL1862_Ki,10,135,144,morgan,mlp,crem_mean,42,0.4607249103942651,0.2634291459043621,0.4460611126170898,0.2434005440623666,0.2678571428571428,0.020028601841995508,0.014663797777175303
CHEMBL1862_Ki,19,431,477,morgan,mlp,crem_mean,42,0.2982020476174659,0.0447750092571063,0.3682344404052767,0.1400968772182932,0.2653061224489796,-0.0953218679611869,-0.07003239278781082
CHEMBL1862_Ki,22,456,533,morgan,mlp,crem_mean,42,0.6689643582978015,0.4666647994797914,0.8462618462618462,0.7523107523107522,0.3793103448275862,-0.2856459528309608,-0.17729748796404465
CHEMBL1862_Ki,25,576,727,morgan,mlp,crem_mean,42,0.8304422340554879,-0.4695006381857711,0.8010740252186377,-0.7240251147718062,0.8846153846153846,0.2545244765860351,0.029368208836850207
CHEMBL1862_Ki,27,709,711,morgan,mlp,crem_mean,42,0.3619047619047619,0.1677018633540372,0.8137755102040817,0.7570984915705414,0.2333333333333333,-0.5893966282165042,-0.4518707482993198
CHEMBL1862_Ki,3,60,126,morgan,mlp,crem_lime,42,0.6934113272348568,0.6134316734700368,0.5299086678046181,0.4072761463623445,0.2068965517241379,0.2061555271076923,0.16350265943023867
CHEMBL1862_Ki,8,109,114,morgan,mlp,crem_lime,42,0.4447360946586952,0.1869349957502323,0.4765381249872565,0.2335022544456256,0.3170731707317073,-0.0465672586953933,-0.031802030328561326
CHEMBL1862_Ki,9,115,163,morgan,mlp,crem_lime,42,0.6025157289360898,0.4037735934041347,0.3335324906902898,0.0002987360354347,0.3333333333333333,0.40347485736870004,0.26898323824580006
CHEMBL1862_Ki,10,135,144,morgan,mlp,crem_lime,42,0.2696862237305666,0.0024982568027252,0.432945904264551,0.2254870887515818,0.2678571428571428,-0.2229888319488566,-0.16325968053398437
CHEMBL1862_Ki,19,431,477,morgan,mlp,crem_lime,42,0.1876610261445714,-0.1056836033032222,0.3378746839843268,0.0987738754231114,0.2653061224489796,-0.2044574787263336,-0.1502136578397554
CHEMBL1862_Ki,22,456,533,morgan,mlp,crem_lime,42,0.3952783080786875,0.0257261630156632,0.471871979666866,0.1491270783521731,0.3793103448275862,-0.12340091533650989,-0.07659367158817848
CHEMBL1862_Ki,25,576,727,morgan,mlp,crem_lime,42,0.8513102204386468,-0.2886447561983941,0.8687660954733184,-0.1373605058979068,0.8846153846153846,-0.15128425030048728,-0.01745587503467161
CHEMBL1862_Ki,27,709,711,morgan,mlp,crem_lime,42,0.234700198527045,0.0017828676439718,0.4601448227592392,0.295841073164225,0.2333333333333333,-0.2940582055202532,-0.2254446242321942
CHEMBL1871_Ki,1,9,11,morgan,xgboost,crem_mean,42,0.4574430199430199,0.3024267399267399,0.2222222222222222,0.0,0.2222222222222222,0.3024267399267399,0.23522079772079768
CHEMBL1871_Ki,6,91,92,morgan,xgboost,crem_mean,42,0.2581521739130434,-0.0036764705882353,0.2608695652173913,0.0,0.2608695652173913,-0.0036764705882353,-0.0027173913043478937
CHEMBL1871_Ki,12,182,185,morgan,xgboost,crem_mean,42,0.3813645075254983,0.1667358672792425,0.2718360071301247,0.0192076830732292,0.2575757575757575,0.1475281842060133,0.1095285003953736
CHEMBL1871_Ki,9,228,239,morgan,xgboost,crem_mean,42,0.3546747967479675,0.1731770833333333,0.2195121951219512,0.0,0.2195121951219512,0.1731770833333333,0.1351626016260163
CHEMBL1871_Ki,18,248,252,morgan,xgboost,crem_mean,42,0.681077694235589,0.6212797619047619,0.2149122807017544,0.0677083333333333,0.1578947368421052,0.5535714285714286,0.46616541353383456
CHEMBL1871_Ki,19,258,271,morgan,xgboost,crem_mean,42,0.7642857142857142,0.7073891625615762,0.1944444444444444,0.0,0.1944444444444444,0.7073891625615762,0.5698412698412698
CHEMBL1871_Ki,14,313,315,morgan,xgboost,crem_mean,42,0.1574815662344266,-0.0198907356109571,0.1739130434782608,0.0,0.1739130434782608,-0.0198907356109571,-0.016431477243834203
CHEMBL1871_Ki,25,408,409,morgan,xgboost,crem_mean,42,0.1838235294117647,0.1143617021276595,0.0784313725490196,0.0,0.0784313725490196,0.1143617021276595,0.10539215686274508
CHEMBL1871_Ki,35,574,576,morgan,xgboost,crem_mean,42,0.2411531719348948,-0.0472086227298451,0.2871853546910755,0.0163157894736842,0.2753623188405797,-0.0635244122035293,-0.04603218275618068
CHEMBL1871_Ki,37,597,605,morgan,xgboost,crem_mean,42,0.1936340270035922,-0.051781703908358,0.2333333333333333,0.0,0.2333333333333333,-0.051781703908358,-0.03969930632974111
CHEMBL1871_Ki,38,602,609,morgan,xgboost,crem_mean,42,0.2177901873625558,0.0372802306000686,0.1875,0.0,0.1875,0.0372802306000686,0.030290187362555787
CHEMBL1871_Ki,1,9,11,morgan,xgboost,crem_lime,42,0.6659358004435937,0.5704888862846205,0.2008022031656485,-0.027540024501309,0.2222222222222222,0.5980289107859295,0.4651335972779452
CHEMBL1871_Ki,6,91,92,morgan,xgboost,crem_lime,42,0.4689687135053267,0.2815459065072068,0.218656575179081,-0.0571116924047726,0.2608695652173913,0.3386575989119794,0.2503121383262457
CHEMBL1871_Ki,12,182,185,morgan,xgboost,crem_lime,42,0.8256501356198588,0.7651614071614424,0.5228836834366607,0.3573535327922368,0.2575757575757575,0.4078078743692056,0.3027664521831981
CHEMBL1871_Ki,9,228,239,morgan,xgboost,crem_lime,42,0.4014187156344019,0.2330677294065774,0.2122790462101796,-0.0092674720432073,0.2195121951219512,0.2423352014497847,0.1891396694242223
CHEMBL1871_Ki,18,248,252,morgan,xgboost,crem_lime,42,0.7301587301587301,0.6795634920634921,0.2719491363992642,0.1354395994741263,0.1578947368421052,0.5441238925893658,0.4582095937594659
CHEMBL1871_Ki,19,258,271,morgan,xgboost,crem_lime,42,0.7646497195369375,0.7078410311493017,0.2036019536019536,0.0113679424024251,0.1944444444444444,0.6964730887468766,0.561047765934984
CHEMBL1871_Ki,14,313,315,morgan,xgboost,crem_lime,42,0.1165561529607834,-0.0694320253632621,0.1294543121591106,-0.0538184642284449,0.1739130434782608,-0.015613561134817197,-0.012898159198327208
CHEMBL1871_Ki,25,408,409,morgan,xgboost,crem_lime,42,0.0806277056277056,0.0023832550428295,0.3261904761904762,0.2688449848024316,0.0784313725490196,-0.2664617297596021,-0.2455627705627706
CHEMBL1871_Ki,35,574,576,morgan,xgboost,crem_lime,42,0.4123097505101318,0.1889874557039818,0.3204801297896457,0.062262579109711,0.2753623188405797,0.12672487659427079,0.09182962072048612
CHEMBL1871_Ki,37,597,605,morgan,xgboost,crem_lime,42,0.3898658169018053,0.2041728046545287,0.2298549789809188,-0.0045369839379319,0.2333333333333333,0.2087097885924606,0.16001083792088647
CHEMBL1871_Ki,38,602,609,morgan,xgboost,crem_lime,42,0.1293155963647766,-0.0716115737048902,0.5019531336762041,0.3870192414476358,0.1875,-0.45863081515252596,-0.37263753731142746
CHEMBL1871_Ki,1,9,11,morgan,mlp,crem_mean,42,0.2432133838383838,0.0269886363636363,0.2849206349206349,0.0806122448979591,0.2222222222222222,-0.0536236085343228,-0.041707251082251096
CHEMBL1871_Ki,6,91,92,morgan,mlp,crem_mean,42,0.238244766505636,-0.0306100217864924,0.2325569358178053,-0.0383053221288515,0.2608695652173913,0.0076953003423591015,0.005687830687830714
CHEMBL1871_Ki,12,182,185,morgan,mlp,crem_mean,42,0.6435383244206774,0.5198679471788715,0.7914895561954385,0.7191491981407947,0.2575757575757575,-0.19928125096192317,-0.1479512317747611
CHEMBL1871_Ki,9,228,239,morgan,mlp,crem_mean,42,0.335230352303523,0.1482638888888889,0.3685636856368564,0.1909722222222222,0.2195121951219512,-0.04270833333333332,-0.03333333333333338
CHEMBL1871_Ki,18,248,252,morgan,mlp,crem_mean,42,0.6374269005847953,0.5694444444444445,0.540204678362573,0.4539930555555555,0.1578947368421052,0.115451388888889,0.09722222222222232
CHEMBL1871_Ki,19,258,271,morgan,mlp,crem_mean,42,0.8373015873015872,0.7980295566502462,0.401955980527409,0.2576005275512664,0.1944444444444444,0.5404290290989798,0.4353456067741782
CHEMBL1871_Ki,14,313,315,morgan,mlp,crem_mean,42,0.1732919254658385,-0.0007518796992481,0.1607919254658385,-0.0158834586466165,0.1739130434782608,0.015131578947368399,0.012499999999999983
CHEMBL1871_Ki,25,408,409,morgan,mlp,crem_mean,42,0.0945378151260504,0.0174772036474164,0.0838235294117647,0.0058510638297872,0.0784313725490196,0.011626139817629198,0.010714285714285704
CHEMBL1871_Ki,35,574,576,morgan,mlp,crem_mean,42,0.2293194824321615,-0.0635391142436171,0.2797041485931406,0.005991725058534,0.2753623188405797,-0.0695308393021511,-0.050384666160979086
CHEMBL1871_Ki,37,597,605,morgan,mlp,crem_mean,42,0.2776275673841596,0.0577750878923821,0.2226473922902494,-0.0139381839692398,0.2333333333333333,0.07171327186162191,0.054980175093910205
CHEMBL1871_Ki,38,602,609,morgan,mlp,crem_mean,42,0.709229176620481,0.6421282173790536,0.3640538929669364,0.2172970990362294,0.1875,0.42483111834282417,0.3451752836535446
CHEMBL1871_Ki,1,9,11,morgan,mlp,crem_lime,42,0.1956201654444277,-0.0342026444285928,0.4191848253690359,0.2532376326173319,0.2222222222222222,-0.2874402770459247,-0.2235646599246082
CHEMBL1871_Ki,6,91,92,morgan,mlp,crem_lime,42,0.3520927782815904,0.1234196412045047,0.230214353406573,-0.0414746983322835,0.2608695652173913,0.1648943395367882,0.1218784248750174
CHEMBL1871_Ki,12,182,185,morgan,mlp,crem_lime,42,0.6394381219638361,0.5143452255023099,0.6878994626297779,0.5796196843584763,0.2575757575757575,-0.06527445885616645,-0.048461340665941766
CHEMBL1871_Ki,9,228,239,morgan,mlp,crem_lime,42,0.3571919451251929,0.1764021796916534,0.3708170257762397,0.1938593142758072,0.2195121951219512,-0.017457134584153794,-0.013625080651046784
CHEMBL1871_Ki,18,248,252,morgan,mlp,crem_lime,42,0.4187377810361681,0.3097511149804496,0.1531896871809152,-0.0055872464726631,0.1578947368421052,0.3153383614531127,0.2655480938552529
CHEMBL1871_Ki,19,258,271,morgan,mlp,crem_lime,42,0.8880952380952382,0.8610837438423646,0.7922077922077921,0.7420510523958799,0.1944444444444444,0.11903269144648476,0.09588744588744602
CHEMBL1871_Ki,14,313,315,morgan,mlp,crem_lime,42,0.1283727447731954,-0.0551277300113949,0.11510576052512,-0.0711877635748547,0.1739130434782608,0.016060033563459808,0.013266984248075403
CHEMBL1871_Ki,25,408,409,morgan,mlp,crem_lime,42,0.2396103896103896,0.1748963802155291,0.108792701863354,0.0329452722347033,0.0784313725490196,0.1419511079808258,0.13081768774703562
CHEMBL1871_Ki,35,574,576,morgan,mlp,crem_lime,42,0.2444783130293313,-0.0426199280195228,0.446621334971081,0.2363374422600917,0.2753623188405797,-0.27895737027961454,-0.20214302194174968
CHEMBL1871_Ki,37,597,605,morgan,mlp,crem_lime,42,0.3013535942904087,0.0887220795092287,0.3495649452595983,0.1516064503386064,0.2333333333333333,-0.0628843708293777,-0.048211350969189604
CHEMBL1871_Ki,38,602,609,morgan,mlp,crem_lime,42,0.3048712952529693,0.1444569787728853,0.7170115357971146,0.6517065055964488,0.1875,-0.5072495268235635,-0.41214024054414533
CHEMBL2034_Ki,1,14,69,morgan,xgboost,crem_mean,42,0.3121693121693121,0.1925465838509316,0.3941673522555875,0.2888051526478636,0.1481481481481481,-0.09625856879693201,-0.08199804008627543
