dataset,component_id,left_index,right_index,representation,predictor,explainer,seed,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_nap,delta_ap,pair_index,original_pair_index,potency_difference,original_potency_difference,component_median_potency_difference,component_pair_count,same_as_original
CHEMBL1862_Ki,3,60,61,morgan,xgboost,crem_mean,42,0.4766926575698506,0.3785725308641975,0.1578947368421052,0.0,0.1578947368421052,0.3785725308641975,0.3187979207277454,17,30,1.4483495121496377,1.960232873128512,1.4483495121496377,23,False
CHEMBL1862_Ki,8,109,114,morgan,xgboost,crem_mean,42,0.3606141706213442,0.0637564641241112,0.395336370946127,0.1145996860282574,0.3170731707317073,-0.050843221904146196,-0.03472220032478279,42,42,1.1024864785694142,1.1024864785694142,1.1024864785694142,1,True
CHEMBL1862_Ki,9,163,165,morgan,xgboost,crem_mean,42,0.5115649266839298,0.2673473900258947,0.3510025062656642,0.0265037593984963,0.3333333333333333,0.2408436306273984,0.16056242041826563,58,44,1.2232038037013222,1.4273237863572463,1.237218165501444,4,False
CHEMBL1862_Ki,10,136,137,morgan,xgboost,crem_mean,42,0.2041953144894321,0.0905089308450652,0.6309523809523809,0.5782312925170068,0.125,-0.4877223616719416,-0.42675706646294886,53,52,1.698970004336018,3.4771212547196644,2.150514997831991,6,False
CHEMBL1862_Ki,19,540,753,morgan,xgboost,crem_mean,42,0.335672514619883,0.0035087719298245,0.3333333333333333,0.0,0.3333333333333333,0.0035087719298245,0.0023391812865496964,483,150,1.518876002826663,3.39794000867204,1.518876002826663,563,False
CHEMBL1862_Ki,22,456,533,morgan,xgboost,crem_mean,42,0.8899858231437179,0.822754937287101,0.6052922736492716,0.3640819964349376,0.3793103448275862,0.4586729408521634,0.28469354949444625,266,266,1.414973347970819,1.414973347970819,1.414973347970819,1,True
CHEMBL1862_Ki,25,576,727,morgan,xgboost,crem_mean,42,0.8461210369848813,-0.3336176794643618,0.8693860487338747,-0.1319875776397522,0.8846153846153846,-0.20163010182460964,-0.023265011748993425,543,543,3.330413773349191,3.330413773349191,3.179898775517201,2,True
CHEMBL1862_Ki,27,701,706,morgan,xgboost,crem_mean,42,0.2214486151240861,0.0105909483868594,0.2885666246321984,0.0958867521367521,0.2131147540983606,-0.0852958037498927,-0.06711800950811231,708,715,1.439332693830261,1.8195439355418688,1.439332693830261,23,False
CHEMBL1862_Ki,3,60,61,morgan,xgboost,crem_lime,42,0.2070384245006848,0.0583581290945632,0.1192930856911925,-0.0458394607417088,0.1578947368421052,0.104197589836272,0.0877453388094923,17,30,1.4483495121496377,1.960232873128512,1.4483495121496377,23,False
CHEMBL1862_Ki,8,109,114,morgan,xgboost,crem_lime,42,0.2923617084147465,-0.0361846412498353,0.6038056330364023,0.419858248374732,0.3170731707317073,-0.4560428896245673,-0.3114439246216558,42,42,1.1024864785694142,1.1024864785694142,1.1024864785694142,1,True
CHEMBL1862_Ki,9,163,165,morgan,xgboost,crem_lime,42,0.4487032419600556,0.1730548629400834,0.3374098400652904,0.0061147600979356,0.3333333333333333,0.1669401028421478,0.11129340189476522,58,44,1.2232038037013222,1.4273237863572463,1.237218165501444,4,False
CHEMBL1862_Ki,10,136,137,morgan,xgboost,crem_lime,42,0.1287804054624331,0.0043204633856378,0.6746753246753245,0.6282003710575138,0.125,-0.623879907671876,-0.5458949192128915,53,52,1.698970004336018,3.4771212547196644,2.150514997831991,6,False
CHEMBL1862_Ki,19,540,753,morgan,xgboost,crem_lime,42,0.2350880396585101,-0.1473679405122347,0.2845505753326456,-0.0731741370010315,0.3333333333333333,-0.07419380351120321,-0.0494625356741355,483,150,1.518876002826663,3.39794000867204,1.518876002826663,563,False
CHEMBL1862_Ki,22,456,533,morgan,xgboost,crem_lime,42,0.5786857164954857,0.3212158765760604,0.6113649181639296,0.3738657014863309,0.3793103448275862,-0.05264982491027054,-0.03267920166844385,266,266,1.414973347970819,1.414973347970819,1.414973347970819,1,True
CHEMBL1862_Ki,25,576,727,morgan,xgboost,crem_lime,42,0.9782874524751044,0.8118245881175715,0.8838298011588266,-0.0068083899568359,0.8846153846153846,0.8186329780744074,0.09445765131627781,543,543,3.330413773349191,3.330413773349191,3.179898775517201,2,True
CHEMBL1862_Ki,27,701,706,morgan,xgboost,crem_lime,42,0.2148395643246177,0.0021919463292017,0.4067599106552481,0.2460907197910444,0.2131147540983606,-0.24389877346184272,-0.19192034633063038,708,715,1.439332693830261,1.8195439355418688,1.439332693830261,23,False
CHEMBL1862_Ki,3,60,61,morgan,mlp,crem_mean,42,0.4784519168291098,0.3806616512345679,0.4742416771776937,0.3756619916485113,0.1578947368421052,0.004999659586056637,0.004210239651416092,17,30,1.4483495121496377,1.960232873128512,1.4483495121496377,23,False
CHEMBL1862_Ki,8,109,114,morgan,mlp,crem_mean,42,0.3606301705315201,0.0637798925640116,0.4419020004385858,0.1827850720707863,0.3170731707317073,-0.11900517950677468,-0.08127182990706572,42,42,1.1024864785694142,1.1024864785694142,1.1024864785694142,1,True
CHEMBL1862_Ki,9,163,165,morgan,mlp,crem_mean,42,0.4373251759735664,0.1559877639603497,0.4778858171612971,0.2168287257419456,0.3333333333333333,-0.0608409617815959,-0.04056064118773067,58,44,1.2232038037013222,1.4273237863572463,1.237218165501444,4,False
CHEMBL1862_Ki,10,136,137,morgan,mlp,crem_mean,42,0.6190476190476191,0.5646258503401361,0.4687208216619981,0.3928237961851407,0.125,0.17180205415499544,0.150326797385621,53,52,1.698970004336018,3.4771212547196644,2.150514997831991,6,False
