scope,configuration,datasets,components,rows,negative_rows,zero_rows,positive_rows,target_balanced_median_change,row_abs_q50,row_abs_q75,row_abs_q90,row_abs_q95,row_abs_q100
All paired components,All configurations,27,617,3702,993,1776,933,0.0,0.0051008403495281,0.1275680577111912,0.2952000965961388,0.4328063398989704,1.1481134591415882
All paired components,molformer/mlp,27,617,617,168,297,152,0.0,0.0034718522860835,0.1189663765687643,0.27177845924447946,0.4273572103367286,0.7892299829799827
All paired components,molformer/xgboost,27,617,617,153,297,167,0.0,0.003618881118881,0.1242190389817579,0.29514042265503454,0.443040846357581,1.1481134591415882
All paired components,morgan/mlp,27,617,617,175,296,146,0.0,0.0034744667097609,0.1335445289270887,0.28581227252585817,0.4171628494197533,0.936722226223381
All paired components,morgan/xgboost,27,617,617,168,296,153,0.0,0.0058617136120788,0.1208908787627321,0.31412363687366895,0.4769734598330785,0.880353455864964
All paired components,unimol/mlp,27,617,617,167,295,155,0.0,0.0073518161700121,0.1264098160573963,0.2650396578488029,0.3701163679019863,0.7144550563166732
All paired components,unimol/xgboost,27,617,617,162,295,160,0.0,0.0084382801545337,0.1483457977207978,0.3123903437678338,0.4557257235656906,0.819118866321232
Changed pair only,All configurations,27,328,1968,993,42,933,0.0,0.1183864278956438,0.24426373767594117,0.4168767197264634,0.5200383907780819,1.1481134591415882
Changed pair only,molformer/mlp,27,328,328,168,8,152,0.0,0.10662497222872795,0.22106425981762018,0.42132460464119886,0.48222738721947855,0.7892299829799827
Changed pair only,molformer/xgboost,27,328,328,153,8,167,-0.0025378773317303,0.11182790603303205,0.24438222946035448,0.39561562548364365,0.4992203158743642,1.1481134591415882
Changed pair only,morgan/mlp,27,328,328,175,7,146,0.0,0.12315886572690625,0.24775628311637837,0.4054864667741549,0.5107789586426511,0.936722226223381
Changed pair only,morgan/xgboost,27,328,328,168,7,153,0.00681091086415315,0.1093383710252249,0.2675280015556083,0.4658152886652109,0.5910889093247078,0.880353455864964
Changed pair only,unimol/mlp,27,328,328,167,6,155,0.0,0.11793128617510029,0.22901851020628558,0.3653558391788569,0.4533477769101627,0.7144550563166732
Changed pair only,unimol/xgboost,27,328,328,162,6,160,-0.0070708839091193,0.1348321395242043,0.27509752572758617,0.44816809536316354,0.5180559309615944,0.819118866321232
Unchanged pair only,All configurations,27,289,1734,0,1734,0,0.0,0.0,0.0,0.0,0.0,0.0
Unchanged pair only,molformer/mlp,27,289,289,0,289,0,0.0,0.0,0.0,0.0,0.0,0.0
Unchanged pair only,molformer/xgboost,27,289,289,0,289,0,0.0,0.0,0.0,0.0,0.0,0.0
Unchanged pair only,morgan/mlp,27,289,289,0,289,0,0.0,0.0,0.0,0.0,0.0,0.0
Unchanged pair only,morgan/xgboost,27,289,289,0,289,0,0.0,0.0,0.0,0.0,0.0,0.0
Unchanged pair only,unimol/mlp,27,289,289,0,289,0,0.0,0.0,0.0,0.0,0.0,0.0
Unchanged pair only,unimol/xgboost,27,289,289,0,289,0,0.0,0.0,0.0,0.0,0.0,0.0
