omitted_dataset,estimand,datasets,components,estimate,ci95_low,ci95_high
CHEMBL237_EC50,Unadjusted,26,599,-0.0076354146620052,-0.014230435950657193,-0.000506694995881456
CHEMBL237_EC50,Null-adjusted,26,599,-0.009009155540836524,-0.0159376731553752,-0.003152283277355838
CHEMBL237_Ki,Unadjusted,26,577,-0.004595345233208375,-0.014479751212088693,-0.0001897874906849258
CHEMBL237_Ki,Null-adjusted,26,577,-0.00738494663426245,-0.015703006298065352,-0.0024087019967571495
