dataset,representation,predictor,seed,variant,test_rows,unique_test_predictions,test_prediction_min,test_prediction_max,test_prediction_range,endpoint_constant,role,best_step,path,sha256
CHEMBL1871_Ki,morgan,xgboost,42,label_permuted,57,1,-1.9188482761383057,-1.9188482761383057,0.0,True,confirmation,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1871_Ki--morgan--seed42.json,c196dd05d40f9b6877604e970f3f23b33b89dee5b6e4ca2bd9ea6c06e1a8d976
CHEMBL234_Ki,morgan,xgboost,23,label_permuted,248,1,-1.550672173500061,-1.550672173500061,0.0,True,development,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL234_Ki--morgan--seed23.json,ab9045ba69e2760ebc6bee753d7124731c1f94081e08a95d7b67c72eb4d2ae2e
CHEMBL2835_Ki,unimol,xgboost,23,label_permuted,16,1,-0.3168638348579407,-0.3168638348579407,0.0,True,confirmation,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2835_Ki--unimol--seed23.json,2392a59e839eb351b240663a2b7ef608609aca91083770daa88e286f780c27e6
