draw,target_balanced_median_delta_nap
0,0.0015380922865650005
1,-0.014550434092636353
2,4.9250311831377375e-05
3,-0.009366951061110282
4,-0.0044195676064322995
5,-0.003793879119063351
6,0.00020627373622577336
7,-0.0037324870904948807
8,-0.007356876179643151
9,-0.0026344699867754486
10,0.0011905061478925
11,-0.02161267566177
12,-0.012358443388254647
13,-0.020464152541249423
14,-0.012697010318470625
15,-0.009925575048769952
16,-0.004909808332782001
17,-0.004146157385754643
18,-0.0023762797024007992
19,-0.005546212845334748
20,-0.00802769387771803
21,-0.011258617689253075
22,-0.0013837232723190986
23,0.0011054762840789767
24,-0.006559174946878175
25,-0.009067485267229176
26,-0.011271944925130596
27,-0.007554945054945042
28,-0.004922254369466647
29,-0.004529615260785599
30,9.850062366275475e-05
31,-0.007086403696325299
32,-0.0019378186796067016
33,0.0
34,-0.007823714139427902
35,-0.005205448115691399
36,0.0027930378966950008
37,-0.001883281554892013
38,-0.0012726532272302245
39,-0.0314601188236201
40,0.00015167111745467742
41,-0.009968397177958156
42,-0.0031977521604444753
43,-0.011852479856885322
44,-0.014122583347007752
45,-0.003770718723563951
46,-0.006546435203458871
47,-0.007366253186247524
48,-0.00560923390136685
49,-0.018715151039376272
50,0.0
51,-0.016827233528145694
52,-0.003909131611260221
53,-0.003853306469956901
54,0.001028699178487651
55,-0.008423278140401374
56,-0.011997288113430059
57,-0.030497664270903044
58,-0.002048467262825775
59,-0.015821912631516367
60,-0.0035920837946929072
61,-0.0030726060235227656
62,6.052350977949969e-05
63,0.0
64,-0.0014034820657685527
65,-0.0060145962395955245
66,-0.004211454164645478
67,-0.023397040242446376
68,-0.0034854192124844207
69,-0.030234387071169
70,-0.001442440831466078
71,-0.0006470133913179994
72,-0.009427443997850223
73,-0.019571788284334625
74,-0.006206920613186725
75,-0.009021321289313624
76,-0.016470686773642523
77,-0.0047108287008486
78,-0.008307133663171581
79,-0.012771515508856935
80,-0.004107370528567175
81,-0.0164911889300235
82,0.000665885624063025
83,-0.014198950676110754
84,-0.023884814981259744
85,0.0005093931080773495
86,-0.0021069002459629194
87,-0.013733229904036179
88,-0.006719178057069826
89,-0.0219494402318711
90,-0.00765424735658983
91,-0.0006429010546947964
92,-0.001198043166215977
93,-0.029785883765630197
94,-0.005005178063475304
95,-0.003309704418164126
96,-0.0019457933797967257
97,-0.014627937767086749
98,-0.0034162257770984535
99,-0.0036395480441733484
100,-0.02247374461477057
101,-0.005495504420407405
102,0.002915254902028399
103,9.850062366275475e-05
104,-0.011299313775004625
105,-0.015088456841516199
106,-0.008346200929325524
107,-0.004449705016331
108,-0.0048150483725442
109,0.00044369360359967523
110,-0.00356868728438195
111,-0.003251853636256406
112,-0.0012954782331812409
113,-0.004179352057220703
114,-0.011685708761556727
115,-0.01312197488298805
116,0.0
117,-0.01361073354950353
118,-0.0098277608375185
119,-0.011364470580647525
120,-0.00555028459213735
121,-0.01407922104225938
122,-0.002753921838249824
123,-0.03449349521817256
124,0.00026139134043361156
125,-0.0037304928519221996
126,-0.004268330362775064
127,0.00015167111745467742
128,-0.02999380748998509
129,-0.017926120471385927
130,3.3405425943974776e-05
131,-0.0014017397360257706
132,-0.0009709313320812743
133,-0.013543294648092747
134,-0.010562200494939653
135,-0.0021690645696611846
136,-0.00097212257676145
137,-0.0005246913580246992
138,-0.004659193487007399
139,-0.014833934846259549
140,-0.003162965621358373
141,-0.006896432658912096
142,-0.0020697230490362047
143,-0.021357805526296673
144,0.00040328140568902764
145,0.0006132050531140742
146,-0.0017152759788718998
147,-0.01778247946747883
148,-0.022029376250873145
149,-0.01028598990476805
150,-0.01955157823027276
151,-0.027420734801404615
152,-0.010569390230581496
153,-0.01649986045441583
154,0.0
155,-0.018931415483596715
156,-0.016296894516856855
157,0.0029746831543618246
158,0.0013561183745652008
159,-5.416326562910018e-05
160,-0.02265486959887042
161,0.0
162,-0.007882891392497177
163,-0.003639829146240775
164,-0.0003843477927691747
165,-0.010442220184635222
166,-0.002989482694427124
167,0.0005531821201427757
168,-0.04335801369354928
169,0.0
170,0.0
171,-5.4700734048574937e-05
172,-0.03775639930004002
173,-0.0010262858423905502
174,-0.009532760079173553
175,0.0038004209997650248
176,-0.0031187369556408967
177,-0.01925966695523345
178,-0.015016132605008501
179,-0.003475774104534774
180,0.0
181,-0.003980552449561223
182,-0.022434933931700575
183,-0.0031426911200427726
184,-0.008006217810969975
185,-0.00786850834616125
186,-0.007317112669292175
187,-0.0042664992495768245
188,-0.013934586831245904
189,-0.007978185812548453
190,0.0
191,-0.05062051377805705
192,-0.009331413194376137
193,-0.001341609165299372
194,-0.049268843941217125
195,-0.0191962929660507
196,-0.0059743790333992505
197,-0.0027907238326676264
198,-5.4700734048574937e-05
199,-0.00539447209395595
200,-0.02327599986655825
201,-0.0018521445659603307
202,-0.06091683450435362
203,-0.006414137820628475
204,-0.009409933971843344
205,-0.00460142723275145
206,-0.0108615284245809
207,-0.0142795887267791
208,-0.0146724348537802
209,-0.0035150916463822894
210,-0.012472010344940776
211,-0.01027808541095995
212,0.003556792023630651
213,-0.002971047981368725
214,-0.012919669544053002
215,-0.002848589399283067
216,-0.0024854007981276495
217,0.0006638845092832094
218,-0.010687475591529851
219,-0.0480768982203824
220,-0.01849911391952987
221,-0.003620673489796674
222,-0.0005286282368671489
223,-0.024729660118163674
224,-0.0057240436986112225
225,-0.0019937665287772
226,-0.003944154774537026
227,0.0
228,-0.021756496526945352
229,-0.0060076328985219744
230,-0.01804314089197405
231,-0.005204826038159499
232,-0.02429523635322809
233,-0.00195853775411805
234,0.001028699178487651
235,-0.007294474967654177
236,-0.02232035989007367
237,-0.006151991028551676
238,-0.0056831558635227755
239,-0.007463861931341648
240,-0.0005325651157095986
241,-0.0115644203144868
242,0.0013647890414159496
243,0.0
244,0.0009508132677977506
245,-0.016681929544936802
246,-0.019785050384431326
247,-0.014770885964489174
248,-0.009990942453817474
249,-0.0025006096892621495
250,-0.0008186643819371019
251,-0.005721975378814252
252,-0.0038648892971476245
253,-0.011507474569779835
254,-0.0265373802094745
255,-0.003923777933235
256,-0.00925862437902165
257,-0.011817237341886208
258,-0.01203723514850605
259,-0.0029354550144390992
260,0.00023343688317770117
261,0.002477745811422587
262,-0.002914097051401575
263,-0.0048150483725442
264,-0.012685992873218276
265,-0.00924662856619693
266,-0.0122254668303919
267,-0.005654216310705477
268,-0.018949174266051975
269,-0.00856060644431603
270,-0.00220471428387615
271,-0.01220713626238131
272,-0.007310155438573515
273,-0.006780705609120649
274,-0.0058321647639108
275,-0.009533436995334899
276,0.003939295454007699
277,-0.015003017383612198
278,-0.0016233009535948032
279,-0.0008776412503602492
280,-0.014065254655218054
281,-0.008058787548792024
282,-0.005749444692374375
283,-5.4700734048574937e-05
284,-0.0029354550144390992
285,-0.0019937665287772
286,-0.00023556085617730017
287,-0.00013706023251454542
288,-0.0015056818181818019
289,0.0002048416112466001
290,-0.01507989621185598
291,-0.00010832653125820036
292,-0.00548479951758153
293,-0.0015102321860720764
294,-0.012337631918796776
295,-0.018978864850627747
296,-0.011572907410547676
297,-0.03299304312585642
298,0.00015167111745467742
299,-5.4700734048574937e-05
300,0.0
301,-0.005272612929894024
302,-0.002175730324169024
303,-0.00758771610715445
304,-0.0011368494073745773
305,-0.0050973100761543735
306,0.0
307,-0.0030840151594887493
308,-0.0013997090702960752
309,0.0
310,-0.0016501863677271765
311,0.0005707591182012237
312,-0.014625086032525825
313,0.0003039468658700521
314,-0.0019486373281455
315,-0.0150902002269905
316,-0.006598952157616601
317,-0.023397040242446376
318,0.0003816857871696516
319,-0.0015461027238574216
320,-0.002426905892063176
321,0.0
322,-0.002267528760973499
323,-0.013478200772860497
324,-0.004154656778979511
325,-0.006627083704282526
326,-0.0030351122202226504
327,-0.0031655027764551985
328,-0.0005286282368671489
329,-0.0072648926420855265
330,-0.003496658974208377
331,-0.032307593228649005
332,-0.020035220307880373
333,0.0009968757237424509
334,0.0
335,-0.008592139035123849
336,0.0004454085367380494
337,-0.006141201062764973
338,-0.013588873037071257
339,-0.0070017328116196535
340,-0.017306123119642625
341,-0.001536708309806149
342,-0.018274001502862694
343,0.0003327050328178001
344,-0.003868436402681759
345,-0.0008203329589288261
346,-0.01129516593941945
347,-0.0037219188013032445
348,-0.028235076315811274
349,-0.015985459457523225
350,0.003630098953853377
351,-0.0028640440037065993
352,-0.0014073975147433264
353,0.000985641680910899
354,-0.007411115285396909
355,-0.013832787503301174
356,-0.012685902141544896
357,-0.008868713498957275
358,-0.008227927007762018
359,-0.027630713235340068
360,-0.0020682225230457506
361,-0.017477236835994052
362,-0.0008949430199430737
363,-0.011229847153284324
364,0.0036265689707835995
365,-0.01987089625202871
366,-0.0042682331297531
367,-0.019621790278476978
368,-0.0030999562759795457
369,-0.002502133774741301
370,-0.02218548556165435
371,-0.001831190464673301
372,0.0006992910500069997
373,0.0
374,-0.015739097556938773
375,-0.019108804616929126
376,-0.011431320298942914
377,-0.0038030844008225743
378,-0.009242276372899124
379,-0.0012485876264450766
380,-0.007925866002602224
381,-0.00042758649353462526
382,-0.014821894217159598
383,-0.007938573207795646
384,-0.0024854007981276495
385,-0.0022391406931668257
386,-0.0038851098684237247
387,0.0
388,-0.01687820124054165
389,-0.013601562258910804
390,4.9250311831377375e-05
391,-0.015398404229768146
392,-0.013930392756334873
393,0.0
394,-0.0073044198317795
395,-0.004621746835129177
396,-0.0014712238017813256
397,-0.009489432425313873
398,-0.023981350572832086
399,0.0005093931080773495
400,-6.335554765310057e-05
401,0.0
402,-0.019142986544550523
403,-0.013441174659519151
404,-0.004094175182705249
405,-0.005579503281501023
406,-0.01376050779315725
407,-0.015477797645149949
408,0.0002104209728727999
409,-0.0023358870372638015
410,-0.0010580911775422254
411,-0.00327207164606685
412,-0.00031650894464144977
413,-0.021756496526945352
414,-0.010780270534868701
415,0.0
416,-0.00469731909772054
417,-0.0012954782331812409
418,0.0005945082574867499
419,-0.0053365598334527
420,-0.014019722639616147
421,0.0
422,-0.0046010839849322995
423,-0.008709576564922302
424,-0.007267417865420571
425,-0.007421381221818749
426,-0.011734233113388727
427,-0.007839524662389056
428,0.001028699178487651
429,-0.003216056914103275
430,-0.002637087398480613
431,-0.022403003597738808
432,0.0
433,-0.0014583333333333462
434,-0.0064631888313664764
435,-0.007466545792553149
436,-0.0322851047305065
437,-0.015215371300543148
438,-0.022482714418519772
439,-0.007957546475738276
440,-0.00508116386660855
441,-0.0015903341070157744
