scenario,target_balanced_median_delta_nap,ci95_low,ci95_high,targets,eligible_components,configuration_rows
original_seed42,-0.003585013611395531,-0.02297721997899936,0.0020649858245784564,6,138,1656
split_seed_20260903,-0.0021244237830847796,-0.02937525398949659,0.0021852375944146803,6,139,1668
split_seed_20260904,-0.0016384680901654555,-0.01474908203022958,0.0073982677764711565,6,139,1668
